epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.686208,4.126719,2.068847,0.4876,0.795528,0.9592,6.058e-05,28.2
2,2.186117,4.304376,1.278292,0.4616,1.94751,0.9448,0.00012058,27.1
3,1.96862,4.744921,0.778777,0.4124,2.57671,0.8981,0.00018058,26.7
4,1.819555,4.611256,0.623112,0.5023,2.628103,0.9281,0.00024058,28.0
5,1.789391,4.685045,0.548397,0.5118,2.888146,0.9508,0.0003,27.1
6,1.786788,4.805215,0.493176,0.493,2.973328,0.952,0.00029996,28.0
7,1.756318,4.748129,0.474114,0.5332,2.832218,0.9604,0.00029986,27.5
8,1.790281,4.940622,0.440134,0.4661,2.876549,0.9508,0.00029968,27.4
9,1.767056,4.869837,0.437293,0.4977,2.794526,0.9496,0.00029944,27.9
10,1.739755,4.756296,0.446951,0.5232,2.777851,0.958,0.00029912,27.4
11,1.710252,4.625208,0.460985,0.5691,2.640568,0.964,0.00029874,27.8
12,1.735061,4.737188,0.448435,0.5381,2.891446,0.9448,0.00029828,27.7
13,1.730838,4.757753,0.433589,0.5358,2.706173,0.9329,0.00029776,27.7
14,1.717259,4.687652,0.444234,0.5455,2.636058,0.9592,0.00029717,27.4
15,1.740149,4.801107,0.42831,0.5185,2.725115,0.958,0.0002965,27.8
16,1.735171,4.802292,0.42069,0.5196,2.641242,0.958,0.00029577,27.7
17,1.728432,4.781306,0.420058,0.5214,2.589348,0.9604,0.00029498,27.3
18,1.709078,4.669043,0.440522,0.5461,2.619244,0.958,0.00029411,27.3
19,1.697859,4.623563,0.443985,0.5563,2.763023,0.9592,0.00029318,27.3
20,1.733648,4.812611,0.414092,0.5148,2.757235,0.9568,0.00029217,27.5
21,1.717143,4.733773,0.424302,0.5354,2.708998,0.9532,0.00029111,33.1
22,1.712508,4.72297,0.42231,0.5402,2.668574,0.9544,0.00028997,54.3
23,1.748909,4.884443,0.405109,0.4767,2.837499,0.9448,0.00028877,54.5
24,1.699057,4.671919,0.424973,0.5404,2.724333,0.9556,0.00028751,54.5
25,1.675537,4.557477,0.440419,0.5886,2.654236,0.9556,0.00028618,54.5
26,1.687266,4.608444,0.435333,0.5763,2.711704,0.9233,0.00028479,54.5
27,1.696365,4.671742,0.421203,0.5459,2.483839,0.9484,0.00028334,54.5
28,1.731707,4.817063,0.409411,0.5043,2.720338,0.9556,0.00028182,54.2
29,1.688597,4.642619,0.422587,0.5621,2.545873,0.9544,0.00028024,54.5
30,1.709433,4.718896,0.419664,0.5277,2.625212,0.946,0.0002786,54.5
31,1.721366,4.794628,0.404253,0.5112,2.58845,0.9544,0.0002769,54.4
32,1.686883,4.639857,0.421323,0.5491,2.565726,0.9436,0.00027514,54.3
33,1.701467,4.697814,0.417318,0.5206,2.534514,0.9616,0.00027332,54.6
34,1.699658,4.679767,0.422469,0.5335,2.698371,0.9376,0.00027145,54.2
35,1.68754,4.657572,0.41467,0.5473,2.523972,0.9544,0.00026952,54.6
36,1.709394,4.729865,0.414907,0.5197,2.660207,0.9424,0.00026753,54.6
37,1.679504,4.614507,0.421646,0.5603,2.521404,0.9556,0.00026548,54.6
38,1.671735,4.581189,0.424825,0.5646,2.448037,0.9532,0.00026339,54.7
39,1.675367,4.583237,0.429136,0.5479,2.460289,0.9628,0.00026124,68.4
40,1.70971,4.750374,0.406568,0.5159,2.459904,0.9568,0.00025904,68.1
41,1.698621,4.688319,0.417323,0.5315,2.637001,0.9376,0.00025678,68.5
42,1.648183,4.477531,0.435605,0.5968,2.471229,0.9508,0.00025448,68.2
43,1.67099,4.580735,0.423956,0.5531,2.443195,0.9556,0.00025213,68.6
44,1.679039,4.600254,0.42709,0.5627,2.442955,0.9604,0.00024973,69.8
45,1.699672,4.700855,0.413451,0.514,2.617068,0.952,0.00024728,69.8
46,1.702108,4.734231,0.402627,0.516,2.53168,0.9508,0.00024479,69.7
47,1.673088,4.594965,0.420855,0.5497,2.479319,0.958,0.00024226,69.7
48,1.675756,4.606024,0.419926,0.5471,2.537991,0.9305,0.00023968,70.6
49,1.681339,4.631759,0.416873,0.5425,2.522941,0.9353,0.00023706,83.8
50,1.670233,4.584889,0.421095,0.5514,2.436981,0.9592,0.0002344,83.8
51,1.686194,4.648333,0.416705,0.5452,2.499208,0.9412,0.0002317,84.1
52,1.665802,4.563935,0.423745,0.5606,2.860304,0.7506,0.00022896,83.6
53,1.671985,4.603889,0.415454,0.5553,2.439942,0.9412,0.00022618,84.1
54,1.691469,4.6722,0.414012,0.5236,2.516032,0.94,0.00022337,84.0
55,1.664158,4.582024,0.413644,0.555,2.305228,0.952,0.00022053,83.8
56,1.667683,4.567659,0.424835,0.5546,2.399866,0.9568,0.00021765,83.7
57,1.667184,4.569039,0.423532,0.5564,2.393031,0.9472,0.00021474,84.0
58,1.685821,4.659294,0.411476,0.5366,2.428215,0.9484,0.0002118,83.6
59,1.674511,4.604794,0.418676,0.5431,2.475649,0.9472,0.00020883,84.0
60,1.689366,4.666162,0.413596,0.5235,2.418063,0.9508,0.00020584,83.9
61,1.65888,4.551678,0.41911,0.5715,2.34616,0.958,0.00020281,84.1
62,1.681147,4.63474,0.415322,0.5411,2.406355,0.9424,0.00019977,83.9
63,1.700405,4.730776,0.401674,0.5018,2.450886,0.9472,0.0001967,83.8
64,1.694058,4.705772,0.403323,0.5161,2.398843,0.9604,0.00019361,83.7
65,1.6499,4.510192,0.42406,0.5826,2.370812,0.9472,0.0001905,83.7
66,1.679583,4.638428,0.411507,0.5277,2.413132,0.946,0.00018737,83.9
67,1.661809,4.553638,0.422454,0.5583,2.396868,0.9448,0.00018422,83.8
68,1.693501,4.693271,0.407886,0.5269,2.466912,0.9341,0.00018105,83.6
69,1.689615,4.691952,0.402899,0.5241,2.392017,0.9472,0.00017788,84.0
70,1.696538,4.716711,0.402178,0.5193,2.392002,0.9592,0.00017469,83.5
71,1.648378,4.512385,0.420946,0.5812,2.308433,0.9568,0.00017148,83.8
