epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.023559,1.638278,2.119879,0.98,0.880636,0.958,6.058e-05,57.0
2,1.459685,2.406783,1.22291,0.9468,2.055393,0.952,0.00012058,54.9
3,1.252725,3.017905,0.81143,0.9285,2.454671,0.9616,0.00018058,54.9
4,1.17875,3.205068,0.67217,0.9515,2.548814,0.9688,0.00024058,55.1
5,1.139989,3.276104,0.60596,0.9624,2.64904,0.9724,0.0003,50.2
6,1.122454,3.303137,0.577283,0.9694,2.619788,0.9736,0.00029996,44.1
7,1.106523,3.280848,0.562942,0.9731,2.641038,0.964,0.00029986,43.8
8,1.100279,3.296989,0.551101,0.9721,2.612823,0.97,0.00029968,43.8
9,1.0892,3.260885,0.546279,0.974,2.61835,0.9712,0.00029944,44.3
10,1.084292,3.253755,0.541926,0.9752,2.617087,0.97,0.00029912,44.1
11,1.08015,3.256747,0.536,0.974,2.573049,0.976,0.00029874,44.1
12,1.073564,3.229255,0.534641,0.9761,2.593909,0.9688,0.00029828,43.8
13,1.069529,3.225941,0.530427,0.9746,2.549048,0.9652,0.00029776,43.7
14,1.06441,3.203348,0.529675,0.9764,2.552416,0.9688,0.00029717,44.0
15,1.064783,3.214033,0.52747,0.9749,2.548879,0.9724,0.0002965,44.0
16,1.061245,3.209956,0.524067,0.9782,2.561114,0.97,0.00029577,44.2
17,1.058453,3.198506,0.523439,0.9761,2.571332,0.97,0.00029498,44.2
18,1.055216,3.191145,0.521233,0.9734,2.533205,0.9736,0.00029411,43.8
19,1.054983,3.195074,0.51996,0.9731,2.481631,0.9724,0.00029318,43.8
20,1.051273,3.183182,0.518295,0.9731,2.529446,0.9568,0.00029217,44.2
21,1.049313,3.174524,0.51801,0.9734,2.474762,0.9676,0.00029111,44.0
22,1.047473,3.175049,0.515579,0.9713,2.492402,0.9748,0.00028997,44.2
23,1.044149,3.158184,0.515641,0.9692,2.46636,0.9748,0.00028877,43.7
24,1.0435,3.153953,0.515887,0.9718,2.437394,0.9724,0.00028751,43.8
25,1.042001,3.155427,0.513644,0.9731,2.43003,0.9712,0.00028618,44.1
26,1.040707,3.153124,0.512603,0.9715,2.463085,0.97,0.00028479,44.1
27,1.03607,3.126204,0.513537,0.9734,2.49378,0.9688,0.00028334,44.2
28,1.037458,3.13966,0.511908,0.9689,2.449647,0.9712,0.00028182,43.8
29,1.036117,3.13646,0.511031,0.9709,2.379625,0.9712,0.00028024,43.9
30,1.033958,3.12937,0.510104,0.9736,2.403661,0.9688,0.0002786,43.8
31,1.033117,3.123601,0.510495,0.9695,2.410918,0.9748,0.0002769,44.2
32,1.032702,3.128053,0.508865,0.9672,2.396305,0.9688,0.00027514,44.1
33,1.030174,3.112854,0.509504,0.9712,2.395746,0.9736,0.00027332,43.9
34,1.029107,3.110742,0.508698,0.9698,2.426742,0.9688,0.00027145,43.7
35,1.029287,3.114618,0.507954,0.9684,2.432164,0.9628,0.00026952,43.7
36,1.028217,3.112365,0.507179,0.97,2.340187,0.976,0.00026753,44.2
37,1.025786,3.094967,0.508491,0.9694,2.379733,0.9688,0.00026548,44.1
38,1.025955,3.101759,0.507004,0.971,2.371952,0.9736,0.00026339,44.1
39,1.025592,3.103992,0.505993,0.968,2.331891,0.9736,0.00026124,43.7
40,1.02032,3.075127,0.506618,0.9689,2.386483,0.9688,0.00025904,43.9
41,1.022201,3.091744,0.504815,0.9692,2.351189,0.9712,0.00025678,44.0
42,1.024084,3.097094,0.505831,0.9707,2.350008,0.9712,0.00025448,44.1
