epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.271946,1.111714,2.769188,0.928,1.204548,0.9173,6.058e-05,30.5
2,1.719755,1.966627,1.613953,0.8779,2.181658,0.9173,0.00012058,28.2
3,1.505935,2.622036,1.027606,0.8726,2.51037,0.9353,0.00018058,27.4
4,1.447134,2.788516,0.872256,0.8888,2.543633,0.94,0.00024058,27.8
5,1.417595,2.836582,0.809457,0.9032,2.638526,0.9329,0.0003,27.5
6,1.398832,2.847516,0.777968,0.9124,2.854486,0.8537,0.0003,27.8
7,1.38077,2.8162,0.765585,0.9214,2.616589,0.9233,0.00029999,28.3
8,1.372111,2.806859,0.757219,0.9219,2.649232,0.9281,0.00029997,28.2
9,1.362435,2.789077,0.751018,0.9258,2.490324,0.9436,0.00029995,27.6
10,1.352786,2.768979,0.745846,0.9217,2.586513,0.9484,0.00029992,28.4
11,1.344838,2.745787,0.744431,0.9292,2.601231,0.9257,0.00029989,28.2
12,1.339204,2.736331,0.740435,0.9255,2.63507,0.9329,0.00029985,28.0
13,1.335929,2.733982,0.736763,0.9273,2.540841,0.9472,0.00029981,28.1
14,1.332437,2.732733,0.73231,0.9241,2.509283,0.9305,0.00029976,27.9
15,1.324853,2.707715,0.732197,0.9295,2.44582,0.94,0.0002997,27.9
16,1.319974,2.692306,0.731832,0.9298,2.443108,0.946,0.00029964,27.8
17,1.318425,2.692152,0.729685,0.9271,2.45532,0.9532,0.00029957,28.1
18,1.310636,2.671488,0.727414,0.9282,2.632392,0.9161,0.00029949,28.0
19,1.308507,2.666578,0.726476,0.9271,2.440753,0.9185,0.00029941,28.0
20,1.308021,2.676029,0.721732,0.9256,2.496445,0.9089,0.00029932,28.7
21,1.303923,2.652778,0.725842,0.9247,2.408698,0.9436,0.00029923,28.3
22,1.29916,2.645435,0.722185,0.9252,2.387554,0.94,0.00029913,27.8
23,1.293853,2.625191,0.72328,0.9271,2.310371,0.9472,0.00029903,28.0
24,1.291315,2.620064,0.721851,0.9288,2.331044,0.9508,0.00029891,27.9
25,1.288719,2.611111,0.72198,0.9217,2.394184,0.9293,0.0002988,28.8
26,1.285934,2.610518,0.718254,0.9288,2.378205,0.9424,0.00029867,28.4
27,1.282906,2.602627,0.717311,0.9274,2.38272,0.9137,0.00029855,28.2
28,1.276219,2.568084,0.722562,0.9277,2.315941,0.9472,0.00029841,27.8
29,1.273869,2.562701,0.721513,0.9265,2.325532,0.9341,0.00029827,28.0
30,1.271382,2.557876,0.720027,0.9283,2.29842,0.9436,0.00029812,28.1
31,1.269239,2.557609,0.71708,0.9283,2.389023,0.9161,0.00029797,28.1
32,1.264883,2.542053,0.717524,0.9294,2.261407,0.946,0.00029781,27.6
33,1.265501,2.546386,0.71655,0.9286,2.211661,0.9317,0.00029765,28.4
34,1.262346,2.534842,0.716991,0.9298,2.366474,0.9221,0.00029747,28.4
35,1.259629,2.531257,0.714645,0.9277,2.306167,0.9496,0.0002973,28.1
36,1.25779,2.520204,0.716756,0.9294,2.271622,0.94,0.00029712,28.3
37,1.257332,2.526561,0.713376,0.9276,2.305904,0.9341,0.00029693,28.0
38,1.253181,2.504712,0.716811,0.9276,2.285349,0.9329,0.00029673,28.0
39,1.254742,2.519759,0.712592,0.925,2.213758,0.9472,0.00029653,28.0
40,1.252123,2.507351,0.714168,0.9312,2.356015,0.9293,0.00029633,27.9
41,1.248823,2.497043,0.713871,0.9262,2.499963,0.8549,0.00029611,28.3
42,1.246789,2.487288,0.715146,0.9342,2.363387,0.9293,0.0002959,28.2
43,1.240801,2.473735,0.712401,0.9333,2.274116,0.9376,0.00029567,28.4
44,1.239387,2.461098,0.715797,0.9319,2.259893,0.9293,0.00029544,28.3
45,1.238982,2.460668,0.715402,0.9319,2.374982,0.9137,0.00029521,27.8
46,1.239253,2.468252,0.712539,0.9256,2.167166,0.9412,0.00029497,27.7
47,1.236088,2.454452,0.713932,0.9313,2.251887,0.9197,0.00029472,28.0
48,1.232654,2.450385,0.710769,0.9316,2.196569,0.946,0.00029447,28.0
49,1.232999,2.447477,0.712508,0.9324,2.333304,0.9101,0.00029421,28.3
50,1.231617,2.446248,0.711061,0.9324,2.196782,0.9353,0.00029394,28.5
51,1.234028,2.448834,0.713396,0.9285,2.233724,0.9041,0.00029367,28.8
52,1.232138,2.450951,0.709789,0.9334,2.342716,0.9149,0.0002934,28.6
53,1.229857,2.440488,0.711016,0.9321,2.237756,0.9388,0.00029312,27.9
54,1.230544,2.446488,0.709425,0.9295,2.24005,0.9209,0.00029283,28.5
55,1.226346,2.426698,0.711909,0.9354,2.254861,0.9197,0.00029254,27.7
56,1.228326,2.434798,0.711267,0.9325,2.146945,0.946,0.00029224,27.7
57,1.227329,2.439849,0.707678,0.9262,2.223297,0.9317,0.00029193,27.9
58,1.223809,2.419719,0.711277,0.9328,2.14853,0.9424,0.00029162,27.8
59,1.222958,2.42278,0.708748,0.9349,2.152889,0.9341,0.00029131,28.5
60,1.221023,2.409051,0.711868,0.9337,2.122407,0.9329,0.00029098,28.3
61,1.219863,2.412711,0.708643,0.9286,2.151929,0.9436,0.00029066,28.0
62,1.21964,2.412735,0.708314,0.9351,2.187859,0.9125,0.00029032,28.0
63,1.218118,2.399916,0.711634,0.9325,2.109595,0.9388,0.00028999,28.3
64,1.219648,2.415475,0.707151,0.9309,2.068469,0.946,0.00028964,28.2
65,1.215753,2.400908,0.70783,0.9337,2.042895,0.9496,0.00028929,28.6
66,1.215158,2.397,0.708654,0.9339,2.143458,0.9388,0.00028894,28.3
67,1.215379,2.40422,0.705875,0.9304,2.060461,0.9496,0.00028857,28.8
68,1.215332,2.397957,0.708493,0.9349,2.079891,0.9484,0.00028821,28.5
69,1.211926,2.387796,0.707982,0.9337,2.121582,0.946,0.00028784,28.5
70,1.209424,2.378991,0.708181,0.9349,2.066193,0.9472,0.00028746,28.4
71,1.20941,2.37922,0.708063,0.9334,2.074359,0.9496,0.00028708,27.9
72,1.210399,2.377195,0.710343,0.9331,2.609798,0.8345,0.00028669,28.5
73,1.212393,2.392369,0.70669,0.936,2.2267,0.8933,0.00028629,28.4
74,1.208952,2.382139,0.706158,0.9372,2.138309,0.9329,0.00028589,28.0
75,1.207396,2.376791,0.706226,0.9328,2.041814,0.9329,0.00028549,27.9
76,1.208345,2.379782,0.7063,0.9357,2.67992,0.7506,0.00028508,28.2
77,1.205564,2.372411,0.705487,0.9328,2.079459,0.9388,0.00028466,28.0
