epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.270195,1.115022,2.765269,0.928,1.202825,0.9185,6.058e-05,58.6
2,1.720027,1.969585,1.613073,0.8765,2.179027,0.9173,0.00012058,56.1
3,1.506949,2.62187,1.029126,0.8715,2.523496,0.9376,0.00018058,55.7
4,1.449144,2.790599,0.874235,0.8863,2.536517,0.9424,0.00024058,55.7
5,1.420509,2.841547,0.811493,0.9002,2.626256,0.9412,0.0003,56.0
6,1.402241,2.85843,0.77816,0.9114,2.751501,0.9017,0.00029996,55.7
7,1.384248,2.826262,0.766243,0.9192,2.631746,0.9197,0.00029986,56.4
8,1.375924,2.819737,0.757147,0.9201,2.648273,0.9365,0.00029968,55.6
9,1.367168,2.804876,0.751007,0.9247,2.510097,0.9341,0.00029944,56.2
10,1.357684,2.784052,0.746384,0.9189,2.591318,0.9472,0.00029912,55.5
11,1.350493,2.764982,0.744284,0.9265,2.614965,0.9173,0.00029874,56.3
12,1.345661,2.76057,0.739272,0.9237,2.585596,0.9496,0.00029828,55.8
13,1.342487,2.756603,0.736437,0.9235,2.546125,0.9376,0.00029776,55.8
14,1.339692,2.758763,0.731518,0.9213,2.594195,0.9029,0.00029717,56.0
15,1.33349,2.738804,0.731213,0.9243,2.467712,0.9353,0.0002965,55.3
16,1.32913,2.726582,0.730222,0.9234,2.461375,0.9436,0.00029577,56.2
17,1.327671,2.727393,0.72779,0.9232,2.455219,0.9484,0.00029498,55.3
18,1.320109,2.707274,0.72561,0.9214,2.639021,0.9173,0.00029411,56.1
19,1.319325,2.706033,0.725021,0.9193,2.525275,0.9101,0.00029318,55.6
20,1.319705,2.721179,0.719073,0.9162,2.671403,0.8597,0.00029217,56.1
21,1.315614,2.69973,0.722422,0.9171,2.423024,0.9293,0.00029111,52.6
22,1.311296,2.692834,0.719208,0.9199,2.41757,0.94,0.00028997,55.1
23,1.308076,2.681171,0.719606,0.9186,2.350385,0.9376,0.00028877,55.5
24,1.306484,2.678126,0.718637,0.9187,2.321914,0.9448,0.00028751,56.0
25,1.304599,2.674041,0.717695,0.9151,2.437259,0.9221,0.00028618,55.9
26,1.301722,2.669144,0.715684,0.922,2.39681,0.9365,0.00028479,55.7
27,1.298614,2.660924,0.714767,0.9202,2.412095,0.9173,0.00028334,49.7
28,1.293478,2.635596,0.718285,0.9166,2.43522,0.9293,0.00028182,42.3
29,1.292845,2.63724,0.716675,0.921,2.358956,0.9281,0.00028024,41.6
30,1.289959,2.632614,0.714536,0.9213,2.317351,0.9412,0.0002786,42.4
31,1.289698,2.635636,0.712867,0.9184,2.386083,0.9269,0.0002769,42.2
32,1.285966,2.627656,0.710957,0.9195,2.364708,0.9436,0.00027514,41.9
33,1.286972,2.630124,0.711336,0.9177,2.274467,0.9329,0.00027332,42.5
34,1.286276,2.62952,0.7106,0.9211,2.329159,0.9448,0.00027145,42.3
35,1.28361,2.626315,0.708166,0.918,2.286982,0.9412,0.00026952,42.3
36,1.282598,2.614847,0.711634,0.918,2.336233,0.9305,0.00026753,41.4
37,1.281918,2.621128,0.70797,0.9189,2.320612,0.9448,0.00026548,41.8
38,1.277607,2.602283,0.709889,0.9184,2.455471,0.9185,0.00026339,41.5
39,1.281592,2.622642,0.706856,0.9145,2.302867,0.9317,0.00026124,41.1
40,1.278897,2.610965,0.70801,0.916,2.29942,0.9341,0.00025904,42.0
41,1.276429,2.602124,0.708274,0.9129,2.527967,0.8669,0.00025678,42.8
42,1.275083,2.59654,0.708744,0.9181,2.342614,0.94,0.00025448,41.5
43,1.270793,2.588854,0.70591,0.9223,2.269168,0.9412,0.00025213,42.2
44,1.269766,2.579548,0.708431,0.9198,2.341039,0.9029,0.00024973,41.4
45,1.271396,2.589642,0.706433,0.9171,2.475064,0.9113,0.00024728,42.4
46,1.271707,2.593859,0.70507,0.9168,2.243164,0.9388,0.00024479,41.7
47,1.268974,2.578826,0.707608,0.9141,2.275914,0.9185,0.00024226,42.3
48,1.267378,2.583329,0.703399,0.916,2.310985,0.9365,0.00023968,42.0
49,1.267639,2.582778,0.704008,0.9204,2.339264,0.9209,0.00023706,43.0
50,1.267265,2.585037,0.702505,0.9153,2.508666,0.8813,0.0002344,41.9
51,1.270019,2.590224,0.704216,0.9121,2.199441,0.9341,0.0002317,42.0
52,1.268387,2.589249,0.702303,0.9187,2.570939,0.8717,0.00022896,41.9
