epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.539427,0.539427,2.574947,0.9824,0.348226,0.976,6.058e-05,30.1
2,0.473277,0.473277,2.999148,0.9799,0.300219,0.9784,0.00012058,27.9
3,0.428326,0.428326,3.411962,0.9794,0.268016,0.9772,0.00018058,28.4
4,0.39702,0.39702,3.797305,0.976,0.270924,0.9712,0.00024058,28.7
5,0.380655,0.380655,4.101482,0.9725,0.249195,0.9724,0.0003,27.9
6,0.354342,0.354342,4.350491,0.9737,0.266522,0.9664,0.00029996,28.4
7,0.338619,0.338619,4.580125,0.9728,0.408386,0.9305,0.00029986,29.1
8,0.312749,0.312749,4.770255,0.9743,0.196019,0.9712,0.00029968,28.5
9,0.309805,0.309805,4.928012,0.9742,0.223637,0.9688,0.00029944,28.0
10,0.291129,0.291129,5.10178,0.9766,0.206009,0.9736,0.00029912,28.0
11,0.28489,0.28489,5.258142,0.9751,0.1945,0.9712,0.00029874,27.7
12,0.279926,0.279926,5.408478,0.9733,0.200371,0.97,0.00029828,28.1
13,0.262724,0.262724,5.531434,0.9731,0.204376,0.9664,0.00029776,28.6
14,0.251365,0.251365,5.681267,0.9772,0.231256,0.9592,0.00029717,28.7
15,0.249913,0.249913,5.764991,0.9794,0.185751,0.9664,0.0002965,28.4
16,0.246683,0.246683,5.874891,0.9755,0.280383,0.946,0.00029577,28.4
17,0.247025,0.247025,5.983418,0.9742,0.173966,0.9688,0.00029498,28.8
18,0.232246,0.232246,6.129816,0.9773,0.186967,0.9652,0.00029411,28.2
19,0.23297,0.23297,6.200709,0.9761,0.195805,0.9628,0.00029318,28.3
20,0.220539,0.220539,6.371305,0.9787,0.255127,0.9496,0.00029217,28.4
21,0.216032,0.216032,6.480782,0.9799,0.178625,0.9688,0.00029111,28.7
22,0.226255,0.226255,6.537163,0.9755,0.199157,0.97,0.00028997,28.5
23,0.21709,0.21709,6.58658,0.9752,0.180482,0.9664,0.00028877,29.2
24,0.208474,0.208474,6.727367,0.9788,0.148111,0.9736,0.00028751,28.6
25,0.21547,0.21547,6.762889,0.9761,0.154777,0.9748,0.00028618,28.2
26,0.200594,0.200594,6.962167,0.9796,0.138915,0.9784,0.00028479,28.2
27,0.206869,0.206869,7.026734,0.9761,0.153103,0.9688,0.00028334,28.5
28,0.195147,0.195147,7.12075,0.9787,0.187687,0.9592,0.00028182,28.3
29,0.186023,0.186023,7.186699,0.9794,0.131983,0.9844,0.00028024,28.4
30,0.192208,0.192208,7.269741,0.9757,0.136486,0.9832,0.0002786,28.5
31,0.192358,0.192358,7.384529,0.9787,0.136612,0.976,0.0002769,27.9
32,0.192175,0.192175,7.466332,0.9784,0.134979,0.976,0.00027514,28.0
33,0.194293,0.194293,7.538877,0.9724,0.31803,0.9317,0.00027332,27.7
34,0.192739,0.192739,7.553887,0.9784,0.13448,0.9772,0.00027145,28.3
35,0.188759,0.188759,7.628218,0.9784,0.13757,0.9736,0.00026952,26.2
36,0.185782,0.185782,7.726715,0.9778,0.282319,0.9329,0.00026753,28.5
37,0.183147,0.183147,7.852426,0.9764,0.116884,0.9736,0.00026548,28.3
38,0.182008,0.182008,7.903238,0.977,0.145217,0.9652,0.00026339,28.1
39,0.17339,0.17339,8.028124,0.9806,0.131283,0.9748,0.00026124,28.4
40,0.168659,0.168659,8.115154,0.9791,0.118465,0.976,0.00025904,28.3
41,0.173596,0.173596,8.125824,0.9784,0.153614,0.9724,0.00025678,28.0
42,0.174651,0.174651,8.117612,0.9788,0.115101,0.9784,0.00025448,27.8
43,0.181151,0.181151,8.218029,0.9769,0.138255,0.9688,0.00025213,28.9
44,0.167902,0.167902,8.335078,0.9764,0.160386,0.9652,0.00024973,28.3
45,0.179555,0.179555,8.281657,0.9766,0.151726,0.9676,0.00024728,28.5
46,0.166192,0.166192,8.456828,0.977,0.122529,0.9784,0.00024479,28.4
47,0.17196,0.17196,8.513423,0.9785,0.110617,0.9796,0.00024226,28.0
48,0.170537,0.170537,8.489069,0.977,0.110385,0.9796,0.00023968,28.3
49,0.162753,0.162753,8.563308,0.9782,0.121598,0.9724,0.00023706,28.2
50,0.164589,0.164589,8.714209,0.9791,0.110415,0.9832,0.0002344,28.1
51,0.163341,0.163341,8.709574,0.9773,0.120733,0.9772,0.0002317,28.2
52,0.161237,0.161237,8.75837,0.9782,0.111928,0.9736,0.00022896,28.1
53,0.170841,0.170841,8.783653,0.9745,0.326257,0.9221,0.00022618,28.1
54,0.164242,0.164242,8.868483,0.9785,0.105562,0.9772,0.00022337,28.4
55,0.155568,0.155568,8.950446,0.9808,0.107223,0.976,0.00022053,28.2
56,0.150379,0.150379,8.997408,0.9809,0.113633,0.9784,0.00021765,28.2
57,0.160631,0.160631,9.090859,0.9787,0.109444,0.9784,0.00021474,28.6
58,0.156469,0.156469,9.198785,0.9797,0.13421,0.9712,0.0002118,28.2
59,0.162027,0.162027,9.167247,0.9788,0.175319,0.9604,0.00020883,28.7
60,0.153568,0.153568,9.224908,0.98,0.102982,0.9784,0.00020584,28.4
61,0.157389,0.157389,9.260633,0.9758,0.106927,0.9772,0.00020281,28.1
62,0.149734,0.149734,9.311656,0.9829,0.110312,0.9772,0.00019977,27.9
63,0.153214,0.153214,9.339764,0.9776,0.105362,0.982,0.0001967,28.3
64,0.159275,0.159275,9.439915,0.9775,0.101243,0.9796,0.00019361,28.2
65,0.158282,0.158282,9.478799,0.9776,0.101463,0.976,0.0001905,28.1
66,0.154949,0.154949,9.414809,0.9793,0.103427,0.976,0.00018737,28.3
67,0.1531,0.1531,9.546989,0.9797,0.093099,0.9832,0.00018422,28.1
68,0.144415,0.144415,9.560899,0.9832,0.088828,0.9832,0.00018105,28.1
69,0.151344,0.151344,9.626089,0.9788,0.117149,0.9784,0.00017788,28.0
70,0.159097,0.159097,9.646203,0.9766,0.09702,0.982,0.00017469,26.9
71,0.149222,0.149222,9.724248,0.9794,0.090289,0.982,0.00017148,28.1
72,0.156589,0.156589,9.74906,0.9788,0.092935,0.9796,0.00016827,28.3
73,0.150342,0.150342,9.857121,0.9782,0.099739,0.9808,0.00016505,27.9
74,0.151049,0.151049,9.807538,0.9782,0.086791,0.9868,0.00016183,28.3
75,0.152843,0.152843,9.815878,0.9799,0.095472,0.9808,0.00015859,28.4
76,0.146643,0.146643,9.838406,0.9803,0.095722,0.9808,0.00015536,28.4
77,0.15168,0.15168,9.876363,0.9806,0.09482,0.9784,0.00015212,28.4
78,0.157197,0.157197,10.022986,0.9763,0.097965,0.9796,0.00014888,28.5
79,0.150102,0.150102,9.950737,0.979,0.092302,0.9832,0.00014564,28.3
80,0.149932,0.149932,10.007693,0.9772,0.08843,0.9808,0.00014241,27.9
81,0.152108,0.152108,9.980332,0.9772,0.088896,0.9772,0.00013917,28.4
82,0.143926,0.143926,10.051856,0.9796,0.086495,0.982,0.00013595,28.1
83,0.142688,0.142688,10.113741,0.9811,0.085307,0.9844,0.00013273,28.1
84,0.144197,0.144197,10.153154,0.9796,0.089946,0.9796,0.00012952,28.3
85,0.144062,0.144062,10.137345,0.9785,0.091223,0.9808,0.00012631,28.1
86,0.144543,0.144543,10.179789,0.9797,0.08925,0.9808,0.00012312,28.2
87,0.146132,0.146132,10.189359,0.9778,0.086369,0.9856,0.00011995,28.3
88,0.153793,0.153793,10.167789,0.9797,0.08924,0.9808,0.00011678,27.8
89,0.14766,0.14766,10.328065,0.9779,0.089343,0.9784,0.00011363,28.2
90,0.152784,0.152784,10.26296,0.9757,0.100122,0.9796,0.0001105,28.1
91,0.150472,0.150472,10.21522,0.9803,0.092072,0.9832,0.00010739,28.3
92,0.151243,0.151243,10.263682,0.9785,0.094965,0.982,0.0001043,28.2
93,0.143915,0.143915,10.395864,0.9802,0.088026,0.9844,0.00010123,28.1
94,0.143995,0.143995,10.424187,0.9791,0.086979,0.9856,9.819e-05,28.2
95,0.141001,0.141001,10.462046,0.9808,0.087343,0.9832,9.516e-05,28.6
96,0.150589,0.150589,10.443907,0.9773,0.09021,0.9808,9.217e-05,28.1
97,0.149181,0.149181,10.40303,0.9815,0.098738,0.9772,8.92e-05,28.2
98,0.145592,0.145592,10.472414,0.9796,0.087425,0.9832,8.626e-05,28.2
99,0.150585,0.150585,10.554749,0.9788,0.092288,0.9796,8.335e-05,28.4
100,0.151317,0.151317,10.544509,0.9778,0.087972,0.9808,8.047e-05,28.2
101,0.145341,0.145341,10.533754,0.9797,0.085722,0.982,7.763e-05,28.3
102,0.15106,0.15106,10.531257,0.9769,0.091048,0.9736,7.482e-05,28.3
103,0.149761,0.149761,10.51385,0.974,0.086457,0.9832,7.204e-05,27.8
104,0.144077,0.144077,10.541966,0.98,0.083783,0.982,6.93e-05,28.4
105,0.147926,0.147926,10.589155,0.9791,0.081459,0.9796,6.66e-05,28.2
106,0.155129,0.155129,10.557845,0.9761,0.083115,0.982,6.394e-05,29.6
107,0.155636,0.155636,10.62057,0.9769,0.087459,0.9796,6.132e-05,29.2
108,0.151676,0.151676,10.637286,0.9782,0.08569,0.9832,5.874e-05,29.2
109,0.153732,0.153732,10.67609,0.9797,0.090268,0.9796,5.621e-05,29.4
110,0.153105,0.153105,10.584418,0.9794,0.090724,0.9808,5.372e-05,29.9
111,0.151914,0.151914,10.588271,0.979,0.083519,0.982,5.127e-05,28.9
112,0.159259,0.159259,10.667269,0.9745,0.087543,0.9808,4.887e-05,29.1
113,0.147793,0.147793,10.742515,0.979,0.085405,0.9808,4.652e-05,28.4
114,0.161025,0.161025,10.632608,0.974,0.090938,0.9784,4.422e-05,28.4
115,0.155635,0.155635,10.675001,0.9805,0.084371,0.9808,4.196e-05,28.7
116,0.157363,0.157363,10.605208,0.9745,0.083389,0.982,3.976e-05,28.4
117,0.142952,0.142952,10.799027,0.9811,0.084682,0.9796,3.761e-05,28.6
118,0.160812,0.160812,10.739213,0.9754,0.084617,0.982,3.552e-05,28.3
119,0.160631,0.160631,10.675398,0.9748,0.083391,0.982,3.347e-05,28.1
120,0.15926,0.15926,10.764004,0.9746,0.085094,0.982,3.148e-05,27.8
121,0.159792,0.159792,10.678531,0.9752,0.085636,0.9808,2.955e-05,27.1
