epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,1.919484,1.600583,2.238385,0.9832,0.660533,0.97,6.058e-05,86.0
2,1.721993,1.832358,1.611627,0.9791,0.922628,0.976,0.00012058,83.7
3,1.667657,1.953672,1.381642,0.9797,0.969444,0.9724,0.00018058,83.7
4,1.643385,1.990902,1.295868,0.9785,1.028442,0.9748,0.00024058,83.7
5,1.632688,2.02078,1.244595,0.9785,1.107679,0.9724,0.0003,83.6
6,1.616211,2.024548,1.207873,0.9818,1.103579,0.9736,0.00029999,83.9
7,1.608021,2.025619,1.190423,0.9811,1.09345,0.9736,0.00029995,83.4
8,1.594563,2.011821,1.177304,0.9853,1.066159,0.9772,0.00029989,83.5
9,1.593369,2.018273,1.168465,0.9839,1.134045,0.9736,0.0002998,83.5
10,1.585361,2.016012,1.154711,0.9818,1.034809,0.9796,0.00029969,83.6
11,1.581179,2.010366,1.151992,0.983,1.032222,0.9772,0.00029956,83.4
12,1.574317,1.999449,1.149185,0.9838,1.024531,0.9772,0.0002994,83.4
13,1.565772,1.992672,1.138872,0.9826,1.086384,0.9688,0.00029921,83.4
14,1.562282,1.988958,1.135606,0.9835,1.028011,0.9832,0.00029901,83.4
15,1.56336,1.995731,1.13099,0.9835,1.01796,0.9772,0.00029877,83.7
16,1.558125,1.989329,1.12692,0.9833,1.089217,0.9736,0.00029852,83.5
17,1.554089,1.988044,1.120133,0.983,1.019312,0.976,0.00029823,83.3
18,1.548637,1.981467,1.115807,0.9832,0.995666,0.976,0.00029793,83.5
19,1.549237,1.983926,1.114548,0.9814,1.000805,0.9808,0.0002976,83.7
20,1.544819,1.974421,1.115217,0.9829,1.094776,0.9724,0.00029724,83.6
21,1.535167,1.963776,1.106558,0.986,0.972355,0.9796,0.00029686,83.6
22,1.542465,1.979273,1.105657,0.9827,1.01615,0.9808,0.00029646,83.6
23,1.533484,1.965957,1.101012,0.9836,0.96666,0.9832,0.00029604,83.6
24,1.531398,1.96809,1.094707,0.9856,1.000088,0.976,0.00029558,83.6
25,1.533468,1.970681,1.096255,0.985,1.004404,0.9772,0.00029511,83.4
26,1.526562,1.957956,1.095168,0.9842,1.031434,0.9772,0.00029461,83.6
27,1.529949,1.972684,1.087214,0.9833,0.973983,0.9796,0.00029409,83.6
28,1.520287,1.953151,1.087422,0.9844,0.992657,0.976,0.00029355,83.6
29,1.51572,1.945272,1.086168,0.9854,0.994569,0.9832,0.00029298,83.4
30,1.517917,1.953526,1.082307,0.9848,0.981339,0.9784,0.00029238,83.4
31,1.519816,1.963046,1.076586,0.9838,0.949302,0.9808,0.00029177,83.6
32,1.513369,1.950958,1.075781,0.9835,0.945685,0.9784,0.00029113,83.9
33,1.514072,1.95061,1.077535,0.9826,1.139345,0.9508,0.00029047,83.5
34,1.514197,1.95615,1.072243,0.9847,0.971082,0.9832,0.00028978,83.5
35,1.512993,1.955029,1.070957,0.9823,0.97,0.982,0.00028907,83.7
36,1.511391,1.953927,1.068855,0.9832,0.959046,0.9832,0.00028834,83.6
37,1.50769,1.947805,1.067574,0.9844,0.951468,0.9784,0.00028759,83.5
38,1.508051,1.951164,1.064938,0.9832,0.916475,0.982,0.00028681,83.9
39,1.504065,1.945607,1.062523,0.9847,0.950106,0.9796,0.00028602,83.7
40,1.500051,1.936888,1.063214,0.9844,0.929065,0.982,0.00028519,83.5
41,1.500388,1.94079,1.059986,0.9839,0.938887,0.9772,0.00028435,83.7
42,1.499835,1.939361,1.060309,0.982,0.950925,0.9772,0.00028349,83.8
43,1.502068,1.948933,1.055203,0.9845,0.923077,0.9832,0.0002826,83.6
44,1.498253,1.943091,1.053416,0.9844,0.990465,0.9748,0.00028169,83.8
45,1.50223,1.952315,1.052145,0.9826,0.984752,0.9772,0.00028076,83.6
46,1.499916,1.944537,1.055295,0.9836,0.991722,0.9796,0.00027981,83.5
47,1.495308,1.938308,1.052307,0.9851,0.960347,0.9832,0.00027884,83.9
48,1.491417,1.93238,1.050453,0.9829,0.95776,0.9796,0.00027784,83.6
49,1.495279,1.939382,1.051176,0.9844,0.933343,0.9772,0.00027683,83.8
50,1.493794,1.937636,1.049951,0.9854,0.969882,0.976,0.00027579,83.6
51,1.490633,1.934627,1.046638,0.9856,0.896082,0.9784,0.00027474,83.7
52,1.482616,1.921804,1.043428,0.9874,0.877948,0.9808,0.00027366,83.6
53,1.497937,1.950493,1.04538,0.9827,0.900004,0.9832,0.00027256,83.9
54,1.493734,1.940501,1.046967,0.9835,0.906956,0.9832,0.00027145,83.6
55,1.48939,1.934133,1.044647,0.9845,0.961917,0.9784,0.00027031,83.7
56,1.48535,1.927937,1.042763,0.9845,0.959554,0.982,0.00026915,83.5
57,1.489406,1.937803,1.041008,0.9835,0.946814,0.9772,0.00026798,83.7
58,1.487695,1.93459,1.040799,0.9833,1.010719,0.97,0.00026678,83.7
59,1.488826,1.940688,1.036963,0.9838,0.895906,0.9844,0.00026557,83.8
60,1.488582,1.933509,1.043655,0.9856,0.873928,0.9832,0.00026434,83.7
61,1.483042,1.927091,1.038993,0.9857,0.912179,0.9796,0.00026308,83.5
62,1.486047,1.932243,1.03985,0.9848,0.903486,0.9748,0.00026181,83.5
63,1.487039,1.939288,1.034791,0.9859,0.93309,0.982,0.00026052,83.7
64,1.485885,1.932611,1.039158,0.9844,0.897718,0.9844,0.00025922,83.5
65,1.48697,1.939641,1.0343,0.9853,0.950006,0.9772,0.00025789,83.4
