epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,1.749062,0.668982,2.211953,0.9808,0.767953,0.9664,6.058e-05,29.1
2,1.389167,1.342732,1.409068,0.9692,1.393085,0.9664,0.00012058,28.4
3,1.263908,1.741547,1.059206,0.9665,1.555671,0.9724,0.00018058,28.7
4,1.213598,1.858919,0.937031,0.9754,1.622632,0.9712,0.00024058,27.8
5,1.19121,1.934708,0.872568,0.9754,1.739717,0.9736,0.0003,28.1
6,1.172644,1.959074,0.835602,0.9778,1.692555,0.9688,0.00029996,28.6
7,1.163544,1.960506,0.821989,0.9799,1.715383,0.976,0.00029986,28.5
8,1.152332,1.960075,0.806157,0.9784,1.697805,0.9748,0.00029968,28.2
9,1.141847,1.936394,0.801327,0.9791,1.756944,0.976,0.00029944,28.1
10,1.139396,1.948923,0.792456,0.9788,1.699105,0.9748,0.00029912,28.1
11,1.129728,1.929578,0.786935,0.9794,1.851165,0.9436,0.00029874,27.9
12,1.125405,1.925997,0.782294,0.977,1.730879,0.97,0.00029828,28.4
13,1.124459,1.927272,0.780397,0.9787,1.632685,0.9784,0.00029776,28.5
14,1.120235,1.918489,0.778127,0.9778,1.633105,0.9664,0.00029717,28.5
15,1.116648,1.916822,0.773716,0.979,1.731406,0.9712,0.0002965,28.3
16,1.113157,1.912629,0.770526,0.9805,1.696977,0.97,0.00029577,28.2
17,1.109676,1.896639,0.772405,0.9743,1.608827,0.9784,0.00029498,27.3
18,1.104474,1.896795,0.764908,0.9781,1.608344,0.9772,0.00029411,28.2
19,1.103176,1.892145,0.765047,0.982,1.649907,0.9712,0.00029318,28.2
20,1.097591,1.874837,0.764486,0.9803,1.596917,0.9736,0.00029217,28.0
21,1.095591,1.877694,0.760404,0.98,1.634257,0.9748,0.00029111,28.1
22,1.092846,1.873312,0.758361,0.9785,1.630929,0.9688,0.00028997,28.2
23,1.09131,1.865149,0.759664,0.9772,1.683042,0.9544,0.00028877,28.7
24,1.087223,1.861543,0.755372,0.9799,1.637845,0.9712,0.00028751,27.9
25,1.083366,1.849656,0.754955,0.9782,1.60577,0.9724,0.00028618,28.4
