epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.67721,0.168868,1.185552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.261377,0.9808,2.019e-05,25.2
2,0.64605,0.211711,1.080389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.314796,0.9832,4.019e-05,24.4
3,0.618824,0.273499,0.96415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.354919,0.9808,6.019e-05,24.3
4,0.607147,0.306048,0.908246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.377755,0.982,8.019e-05,24.6
5,0.598059,0.31761,0.878508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.376802,0.9832,0.0001,24.3
6,0.589665,0.31992,0.85941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.376114,0.982,9.999e-05,24.3
7,0.583206,0.321996,0.844416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.393058,0.9796,9.996e-05,24.2
8,0.578108,0.319516,0.8367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.384699,0.9832,9.991e-05,24.2
9,0.572484,0.319048,0.82592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.372856,0.982,9.984e-05,24.1
10,0.567204,0.312068,0.82234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.379439,0.982,9.975e-05,24.4
11,0.562206,0.31214,0.812271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.374179,0.9796,9.963e-05,24.1
12,0.561049,0.312516,0.809582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.388303,0.9808,9.95e-05,24.3
13,0.559046,0.315199,0.802892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39084,0.9796,9.935e-05,24.2
14,0.554561,0.307357,0.801766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37663,0.9796,9.918e-05,24.3
15,0.552431,0.308297,0.796566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.371946,0.982,9.899e-05,24.3
16,0.549774,0.307445,0.792103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.379342,0.9784,9.877e-05,24.0
17,0.545481,0.303226,0.787736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.373657,0.9796,9.854e-05,24.4
18,0.545779,0.304027,0.787531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.368349,0.9784,9.829e-05,24.5
19,0.544896,0.306422,0.783369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.363346,0.9832,9.802e-05,24.2
20,0.539811,0.300755,0.778867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.381784,0.9808,9.773e-05,24.3
21,0.535917,0.296191,0.775643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.353756,0.982,9.742e-05,24.3
22,0.538367,0.302129,0.774604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.346237,0.9832,9.709e-05,24.2
23,0.535822,0.299356,0.772288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.352359,0.9832,9.674e-05,24.4
24,0.533997,0.298053,0.769942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.357599,0.9808,9.637e-05,24.0
25,0.532055,0.297413,0.766697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.35729,0.9796,9.599e-05,24.3
26,0.531065,0.295845,0.766286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.359808,0.9808,9.558e-05,24.2
27,0.529762,0.295112,0.764413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.348698,0.9832,9.516e-05,24.2
28,0.529273,0.295331,0.763215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.346626,0.9832,9.472e-05,24.1
29,0.528279,0.296397,0.76016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.343694,0.982,9.426e-05,24.1
30,0.525093,0.29317,0.757016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.334832,0.9832,9.378e-05,24.4
31,0.522006,0.28622,0.757793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.346815,0.9832,9.328e-05,24.4
32,0.522901,0.294085,0.751716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.346454,0.982,9.277e-05,24.2
33,0.518937,0.286161,0.751714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.351822,0.982,9.224e-05,24.4
34,0.519673,0.289098,0.750247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.362525,0.9808,9.169e-05,24.2
35,0.516091,0.283539,0.748643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.332108,0.9832,9.113e-05,24.2
36,0.519378,0.290631,0.748124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.338832,0.9844,9.055e-05,24.3
37,0.514165,0.282455,0.745876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33444,0.9832,8.995e-05,24.3
38,0.514093,0.284433,0.743753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.346356,0.9832,8.933e-05,24.4
39,0.514561,0.288766,0.740355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.34416,0.982,8.87e-05,24.1
40,0.513138,0.285749,0.740528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.336526,0.9832,8.806e-05,24.1
41,0.513474,0.28668,0.740268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.325433,0.9844,8.74e-05,24.3
42,0.511537,0.284354,0.738721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.349031,0.982,8.672e-05,24.2
43,0.509299,0.281765,0.736833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.340423,0.9832,8.603e-05,24.4
44,0.510191,0.284273,0.736109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.321786,0.9844,8.532e-05,24.4
45,0.508874,0.282234,0.735513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.331554,0.9832,8.46e-05,24.2
46,0.509076,0.284119,0.734034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.327243,0.9832,8.387e-05,24.3
47,0.507343,0.283476,0.73121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.346744,0.9844,8.312e-05,24.1
48,0.506705,0.28262,0.730789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.320737,0.9832,8.236e-05,24.5
49,0.507424,0.282451,0.732396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.335305,0.9856,8.159e-05,24.4
50,0.503937,0.278883,0.728991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.322559,0.9844,8.08e-05,24.3
51,0.503692,0.279595,0.727789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333428,0.9856,8e-05,24.4
52,0.506625,0.285771,0.727479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.333683,0.9832,7.919e-05,24.4
53,0.50315,0.278389,0.72791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.320465,0.9832,7.836e-05,24.2
54,0.503981,0.281576,0.726385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.326699,0.9844,7.753e-05,24.3
