epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,1.009807,0.293638,1.725977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.331048,0.976,2.019e-05,17.3
2,0.963908,0.359515,1.568301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971,0.428938,0.9748,4.019e-05,16.0
3,0.916702,0.463439,1.369965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.497871,0.9772,6.019e-05,15.5
4,0.893889,0.53235,1.255427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989,0.52593,0.9724,8.019e-05,16.6
5,0.877618,0.55469,1.200546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.541482,0.9772,0.0001,16.5
6,0.867479,0.563209,1.171748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.566105,0.9808,9.999e-05,17.5
7,0.858888,0.570207,1.147569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.561605,0.9796,9.996e-05,19.4
8,0.8557,0.5761,1.1353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989,0.567682,0.9784,9.991e-05,26.0
9,0.850979,0.575409,1.126549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.561106,0.976,9.984e-05,24.4
10,0.843666,0.569207,1.118124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.558882,0.9784,9.975e-05,23.8
11,0.839724,0.572915,1.106533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986,0.552,0.9796,9.963e-05,24.3
12,0.835928,0.568894,1.102962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.544436,0.9748,9.95e-05,25.2
13,0.832213,0.567116,1.097311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.550574,0.9784,9.935e-05,24.0
14,0.830742,0.5696,1.091885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.562859,0.9772,9.918e-05,24.5
15,0.826148,0.573209,1.079088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.538217,0.976,9.899e-05,25.8
16,0.827214,0.568783,1.085646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.550739,0.9772,9.877e-05,25.4
17,0.823679,0.570413,1.076946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.559323,0.9748,9.854e-05,25.0
18,0.817011,0.555295,1.078728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989,0.557198,0.9784,9.829e-05,25.4
19,0.819048,0.569227,1.06887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986,0.555763,0.9748,9.802e-05,24.7
20,0.817891,0.565623,1.07016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.536602,0.976,9.773e-05,25.2
21,0.816285,0.566406,1.066164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.567958,0.9724,9.742e-05,24.9
22,0.813738,0.565811,1.061665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989,0.540829,0.9772,9.709e-05,24.8
23,0.810568,0.559024,1.062112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.558835,0.9748,9.674e-05,24.8
24,0.810248,0.564002,1.056493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989,0.539171,0.9772,9.637e-05,24.9
