epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.783946,0.169862,1.398029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.270127,0.988,2.019e-05,20.6
2,0.726152,0.295383,1.15692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.368735,0.9904,4.019e-05,19.8
3,0.704147,0.337864,1.070431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37932,0.9904,6.019e-05,19.1
4,0.688505,0.35258,1.024431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.396626,0.9904,8.019e-05,18.8
5,0.681879,0.367593,0.996164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.400358,0.9904,0.0001,18.8
6,0.671426,0.372977,0.969874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.401165,0.9904,9.999e-05,18.8
7,0.665121,0.373861,0.956381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.417539,0.9904,9.996e-05,20.2
8,0.658627,0.373976,0.943278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.45454,0.9892,9.991e-05,19.3
9,0.6538,0.375523,0.932078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.406354,0.9892,9.984e-05,19.0
10,0.650077,0.374674,0.92548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.404289,0.9892,9.975e-05,19.0
11,0.648704,0.376439,0.920969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.406863,0.988,9.963e-05,20.4
12,0.641477,0.368841,0.914112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.40723,0.9868,9.95e-05,19.6
13,0.64126,0.373995,0.908525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.401867,0.9868,9.935e-05,18.8
14,0.637297,0.371319,0.903276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.390636,0.9904,9.918e-05,20.9
15,0.633948,0.369243,0.898653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.407099,0.9868,9.899e-05,18.4
16,0.634678,0.374116,0.89524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.410224,0.988,9.877e-05,19.8
17,0.632206,0.370588,0.893824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.410641,0.9868,9.854e-05,18.8
18,0.626513,0.364533,0.888493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.3921,0.9916,9.829e-05,19.1
19,0.62647,0.369924,0.883017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.391046,0.9892,9.802e-05,18.5
20,0.626986,0.369615,0.884356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.383988,0.988,9.773e-05,19.3
21,0.621417,0.364027,0.878807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.38162,0.9916,9.742e-05,18.5
22,0.62014,0.36432,0.87596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.400492,0.9892,9.709e-05,21.1
23,0.617903,0.363069,0.872737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.378508,0.9892,9.674e-05,19.5
24,0.615127,0.360184,0.87007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.38264,0.9904,9.637e-05,21.4
25,0.616587,0.364156,0.869018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.393838,0.9892,9.599e-05,18.7
26,0.613725,0.361012,0.866439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.386046,0.9904,9.558e-05,21.0
27,0.611459,0.360376,0.862542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.366338,0.9904,9.516e-05,21.5
28,0.609916,0.358261,0.861571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38705,0.988,9.472e-05,19.6
29,0.607184,0.358277,0.856092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.374435,0.9892,9.426e-05,18.9
30,0.608316,0.358509,0.858123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.366541,0.9904,9.378e-05,20.7
31,0.606401,0.355746,0.857057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.382376,0.9904,9.328e-05,19.8
32,0.604642,0.356537,0.852748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.365373,0.9904,9.277e-05,21.2
33,0.603,0.353722,0.852279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.375936,0.9904,9.224e-05,19.7
34,0.601973,0.355447,0.848498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.387869,0.988,9.169e-05,18.9
35,0.60349,0.358613,0.848367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.377444,0.9904,9.113e-05,21.2
36,0.600409,0.353426,0.847392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.36165,0.9904,9.055e-05,20.7
37,0.60028,0.355864,0.844696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.382172,0.9868,8.995e-05,18.9
38,0.596058,0.349227,0.842889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.372635,0.9868,8.933e-05,20.1
39,0.600403,0.357542,0.843264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.402722,0.9916,8.87e-05,20.7
40,0.597901,0.35402,0.841781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.363923,0.9904,8.806e-05,20.1
41,0.595212,0.350369,0.840055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.394579,0.9892,8.74e-05,21.3
42,0.594636,0.351984,0.837288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.361222,0.9904,8.672e-05,20.7
43,0.596567,0.356561,0.836573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.352443,0.9868,8.603e-05,18.2
44,0.593215,0.3495,0.836931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361955,0.9892,8.532e-05,21.4
45,0.593443,0.350636,0.836249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.361067,0.9916,8.46e-05,21.3
46,0.594853,0.35564,0.834065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.36519,0.9916,8.387e-05,20.6
47,0.590925,0.349377,0.832474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.357447,0.9892,8.312e-05,21.4
48,0.588727,0.347148,0.830305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.353465,0.9916,8.236e-05,21.3
49,0.588305,0.34799,0.82862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.348385,0.9916,8.159e-05,20.4
50,0.589371,0.349113,0.829629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.367648,0.9892,8.08e-05,21.4
51,0.588896,0.349602,0.82819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.348084,0.9928,8e-05,21.1
52,0.588611,0.350708,0.826513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.355718,0.9904,7.919e-05,18.7
53,0.587119,0.348,0.826237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.350761,0.9916,7.836e-05,17.8
54,0.583123,0.342564,0.823681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.373052,0.9904,7.753e-05,18.8
55,0.585919,0.347277,0.824562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.353933,0.9892,7.668e-05,18.8
56,0.584006,0.347128,0.820883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.362718,0.9904,7.583e-05,18.9
57,0.58332,0.34602,0.82062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.347673,0.9916,7.496e-05,20.5
58,0.58574,0.349921,0.82156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.349401,0.9892,7.408e-05,20.2
59,0.581983,0.344108,0.819858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.351852,0.9904,7.32e-05,21.1
60,0.583749,0.347464,0.820034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.353193,0.9916,7.23e-05,20.9
61,0.581689,0.345463,0.817916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.342879,0.9904,7.139e-05,20.0
62,0.580195,0.341007,0.819383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.359321,0.9868,7.048e-05,20.8
63,0.583281,0.350751,0.815811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.345399,0.9868,6.956e-05,20.8
64,0.578576,0.34326,0.813893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.346409,0.9916,6.863e-05,20.9
65,0.581019,0.346295,0.815744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.344364,0.9916,6.769e-05,20.1
66,0.580053,0.344687,0.815419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.350703,0.9916,6.675e-05,21.2
67,0.577705,0.3411,0.814309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.347817,0.9892,6.58e-05,20.9
68,0.579422,0.347084,0.81176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.336513,0.9928,6.484e-05,21.3
69,0.583981,0.351527,0.816435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.341173,0.9904,6.388e-05,20.6
70,0.57894,0.342546,0.815335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.339949,0.9916,6.291e-05,21.3
71,0.57773,0.342433,0.813027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33956,0.9904,6.193e-05,21.0
72,0.579346,0.345983,0.812708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.346232,0.9904,6.096e-05,19.7
73,0.576529,0.341589,0.811469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.350388,0.988,5.997e-05,21.2
74,0.577186,0.344536,0.809836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.337048,0.988,5.899e-05,20.7
75,0.576601,0.342434,0.810767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.350995,0.9904,5.8e-05,19.5
76,0.574185,0.340127,0.808244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.345418,0.9904,5.7e-05,21.2
77,0.576832,0.346403,0.807262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.339614,0.9916,5.601e-05,20.5
78,0.576174,0.343606,0.808741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.337531,0.9916,5.501e-05,19.9
79,0.57334,0.34046,0.806221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.345761,0.9916,5.401e-05,21.2
80,0.579504,0.351916,0.807091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.330162,0.9916,5.301e-05,20.9
81,0.575903,0.342813,0.808994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.336032,0.9916,5.2e-05,20.4
82,0.579573,0.351297,0.807849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.335841,0.9916,5.1e-05,20.6
83,0.577088,0.346504,0.807673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.337452,0.9916,5e-05,19.8
84,0.573964,0.340908,0.807019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.337707,0.9892,4.9e-05,19.9
85,0.576464,0.345219,0.80771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.336084,0.9892,4.799e-05,21.5
86,0.574957,0.344706,0.805209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.345447,0.9904,4.699e-05,20.7
87,0.573036,0.341354,0.804717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333854,0.9904,4.599e-05,20.9
88,0.574397,0.344937,0.803857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333081,0.9904,4.499e-05,21.3
89,0.572717,0.34163,0.803805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.332684,0.9916,4.4e-05,19.1
90,0.571663,0.338323,0.805002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.330875,0.9916,4.3e-05,20.9
91,0.572773,0.344374,0.801171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.330438,0.9892,4.201e-05,20.8
92,0.572427,0.342038,0.802815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.33163,0.9904,4.103e-05,21.1
93,0.574541,0.346009,0.803073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.336549,0.988,4.004e-05,21.4
94,0.572906,0.34403,0.801783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.335951,0.9904,3.907e-05,21.4
95,0.57661,0.348958,0.804263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.334141,0.9916,3.809e-05,21.6
96,0.575078,0.344056,0.8061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.335269,0.9916,3.712e-05,21.3
97,0.574162,0.34532,0.803004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.325927,0.988,3.616e-05,21.4
98,0.572185,0.340669,0.803701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.329307,0.9916,3.52e-05,20.8
99,0.577066,0.352479,0.801652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.323078,0.9928,3.425e-05,20.9
100,0.572385,0.339052,0.805718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.330828,0.9904,3.331e-05,20.4
101,0.574947,0.347357,0.802537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.327604,0.9904,3.237e-05,20.0
102,0.573352,0.342512,0.804191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.339456,0.9904,3.144e-05,21.2
103,0.572862,0.345748,0.799975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.324693,0.988,3.052e-05,21.2
104,0.574511,0.346031,0.802991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.332314,0.988,2.961e-05,21.5
