epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.684548,0.5417,0.691130,0.5000,0.000109
2,0.650836,0.6458,0.695538,0.5500,0.000208
3,0.608206,0.7292,0.695915,0.4500,0.000307
4,0.527784,0.8333,0.634208,0.6500,0.000406
5,0.368074,0.9375,0.526585,0.9500,0.000505
6,0.230096,1.0000,0.376553,0.9500,0.000604
7,0.257013,1.0000,0.436514,0.8500,0.000703
8,0.225447,1.0000,0.640714,0.4500,0.000802
9,0.273128,1.0000,0.341817,1.0000,0.000901
10,0.228392,1.0000,0.237133,1.0000,0.001000
11,0.249707,1.0000,0.212191,1.0000,0.001000
12,0.219380,1.0000,0.231920,1.0000,0.000999
13,0.209422,1.0000,0.249575,1.0000,0.000997
14,0.213724,1.0000,0.205326,1.0000,0.000995
15,0.208865,1.0000,0.211154,1.0000,0.000992
16,0.218256,1.0000,0.211324,1.0000,0.000989
17,0.206920,1.0000,0.208947,1.0000,0.000985
18,0.212266,1.0000,0.211997,1.0000,0.000981
19,0.205163,1.0000,0.223616,1.0000,0.000976
20,0.203174,1.0000,0.249731,1.0000,0.000970
21,0.207877,1.0000,0.268133,1.0000,0.000964
22,0.222114,0.9792,0.244884,1.0000,0.000957
23,0.201648,1.0000,0.260546,1.0000,0.000949
24,0.201582,1.0000,0.256405,1.0000,0.000942
25,0.231046,0.9792,0.242934,1.0000,0.000933
26,0.267716,0.9583,0.215115,1.0000,0.000924
27,0.202435,1.0000,0.217642,1.0000,0.000915
28,0.201238,1.0000,0.205724,1.0000,0.000905
29,0.202715,1.0000,0.204216,1.0000,0.000894
30,0.201842,1.0000,0.205914,1.0000,0.000883
31,0.201758,1.0000,0.206668,1.0000,0.000872
32,0.202572,1.0000,0.202824,1.0000,0.000860
33,0.200388,1.0000,0.202376,1.0000,0.000847
34,0.201722,1.0000,0.201137,1.0000,0.000835
35,0.200119,1.0000,0.206901,1.0000,0.000822
36,0.199897,1.0000,0.212299,1.0000,0.000808
37,0.212632,0.9792,0.204199,1.0000,0.000794
38,0.200262,1.0000,0.202286,1.0000,0.000780
39,0.202296,1.0000,0.206716,1.0000,0.000765
40,0.202983,1.0000,0.205945,1.0000,0.000750
41,0.202168,1.0000,0.204704,1.0000,0.000735
42,0.207529,1.0000,0.206002,1.0000,0.000719
43,0.200565,1.0000,0.207788,1.0000,0.000704
44,0.199775,1.0000,0.203177,1.0000,0.000688
45,0.200278,1.0000,0.204007,1.0000,0.000671
46,0.199710,1.0000,0.209696,1.0000,0.000655
47,0.200115,1.0000,0.215083,1.0000,0.000638
48,0.200200,1.0000,0.214985,1.0000,0.000621
49,0.199959,1.0000,0.215253,1.0000,0.000604
50,0.199625,1.0000,0.207638,1.0000,0.000587
51,0.200069,1.0000,0.207524,1.0000,0.000570
52,0.200001,1.0000,0.214685,1.0000,0.000553
53,0.199456,1.0000,0.218197,1.0000,0.000535
54,0.199601,1.0000,0.212984,1.0000,0.000518
55,0.199308,1.0000,0.207363,1.0000,0.000500
56,0.199265,1.0000,0.205388,1.0000,0.000483
57,0.199307,1.0000,0.205700,1.0000,0.000466
58,0.199044,1.0000,0.206634,1.0000,0.000448
59,0.198979,1.0000,0.206519,1.0000,0.000431
60,0.198972,1.0000,0.205403,1.0000,0.000414
61,0.199159,1.0000,0.205358,1.0000,0.000397
62,0.198965,1.0000,0.204186,1.0000,0.000380
63,0.199022,1.0000,0.202929,1.0000,0.000363
64,0.198840,1.0000,0.202096,1.0000,0.000346
65,0.199172,1.0000,0.201990,1.0000,0.000330
66,0.199992,1.0000,0.202349,1.0000,0.000313
67,0.200656,1.0000,0.202591,1.0000,0.000297
68,0.199087,1.0000,0.202824,1.0000,0.000282
69,0.200107,1.0000,0.202986,1.0000,0.000266
70,0.199022,1.0000,0.203677,1.0000,0.000251
71,0.198956,1.0000,0.204043,1.0000,0.000236
72,0.199171,1.0000,0.204432,1.0000,0.000221
73,0.199457,1.0000,0.204327,1.0000,0.000207
74,0.198961,1.0000,0.204441,1.0000,0.000193
75,0.199071,1.0000,0.205002,1.0000,0.000179
76,0.198945,1.0000,0.205361,1.0000,0.000166
77,0.198892,1.0000,0.205123,1.0000,0.000154
78,0.199084,1.0000,0.204480,1.0000,0.000141
79,0.198929,1.0000,0.203707,1.0000,0.000129
80,0.198891,1.0000,0.203197,1.0000,0.000118
81,0.198874,1.0000,0.202904,1.0000,0.000107
82,0.198748,1.0000,0.202710,1.0000,0.000096
83,0.198937,1.0000,0.202538,1.0000,0.000086
84,0.198926,1.0000,0.202379,1.0000,0.000077
85,0.199008,1.0000,0.202142,1.0000,0.000068
86,0.199005,1.0000,0.201831,1.0000,0.000059
87,0.198977,1.0000,0.201653,1.0000,0.000052
88,0.198901,1.0000,0.201579,1.0000,0.000044
89,0.199472,1.0000,0.201407,1.0000,0.000037
90,0.198964,1.0000,0.201069,1.0000,0.000031
91,0.199277,1.0000,0.200835,1.0000,0.000025
92,0.198946,1.0000,0.200711,1.0000,0.000020
93,0.198945,1.0000,0.200658,1.0000,0.000016
94,0.198924,1.0000,0.200611,1.0000,0.000012
95,0.198887,1.0000,0.200553,1.0000,0.000009
96,0.198988,1.0000,0.200496,1.0000,0.000006
97,0.199086,1.0000,0.200387,1.0000,0.000004
98,0.199103,1.0000,0.200352,1.0000,0.000002
99,0.198753,1.0000,0.200294,1.0000,0.000001
100,0.198810,1.0000,0.200243,1.0000,0.000001
