epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,consistency_loss,view_agreement,lr,drop_path,epoch_time_sec
1,0.000970,0.999851,0.000461,1.000000,32.957921,0.000000,1.000000,0.00000624,0.0000,11.56
2,0.000843,0.999851,0.000522,1.000000,32.916584,0.000000,1.000000,0.00001218,0.0000,13.49
3,0.001378,0.999851,0.000835,1.000000,32.907460,0.000000,1.000000,0.00001812,0.0000,13.46
4,0.000856,1.000000,0.000829,1.000000,32.859782,0.000000,1.000000,0.00002406,0.0000,11.00
5,0.004659,0.999851,0.001874,1.000000,32.784571,0.000000,1.000000,0.00003000,0.0000,13.56
6,0.001756,1.000000,0.001698,1.000000,32.451777,0.000000,1.000000,0.00002999,0.0000,12.92
7,0.001986,1.000000,0.001666,1.000000,32.495796,0.000000,1.000000,0.00002997,0.0000,11.17
8,0.007418,1.000000,0.002265,0.998801,32.489412,0.000000,1.000000,0.00002993,0.0000,13.52
9,0.010315,1.000000,0.003462,0.998801,32.542142,0.000000,1.000000,0.00002987,0.0000,12.83
10,0.020728,1.000000,0.003593,0.998801,32.424312,0.000000,1.000000,0.00002980,0.0000,11.23
11,0.044683,1.000000,0.001686,0.998801,32.668448,0.000000,1.000000,0.00002972,0.0000,13.47
12,0.075205,1.000000,0.002456,0.998801,32.698437,0.000000,1.000000,0.00002961,0.0000,12.90
13,0.107645,1.000000,0.002272,0.998801,32.821440,0.000000,1.000000,0.00002950,0.0000,11.53
14,0.210598,1.000000,0.004699,0.997602,32.877073,0.000000,1.000000,0.00002936,0.0000,13.48
15,0.318199,1.000000,0.006345,0.997602,32.968257,0.000000,1.000000,0.00002921,0.0000,12.79
16,0.502335,1.000000,0.004076,0.997602,33.053139,0.000000,1.000000,0.00002905,0.0000,11.88
17,0.772119,1.000000,0.004065,0.997602,33.083534,0.000000,1.000000,0.00002887,0.0000,13.58
18,1.188677,1.000000,0.004193,0.997602,33.232843,0.000000,1.000000,0.00002868,0.0000,12.58
19,1.708561,1.000000,0.002394,0.998801,33.206704,0.000000,1.000000,0.00002847,0.0000,12.11
20,2.316102,1.000000,0.001924,0.998801,33.282779,0.000000,1.000000,0.00002825,0.0000,13.59
21,2.332595,1.000000,0.001678,1.000000,33.303575,0.000000,1.000000,0.00002802,0.0000,12.27
22,2.359912,1.000000,0.001769,0.998801,33.310123,0.000000,1.000000,0.00002777,0.0000,12.06
23,2.411158,1.000000,0.001859,0.998801,33.382253,0.000000,1.000000,0.00002751,0.0000,13.42
24,2.224249,0.999851,0.002494,0.998801,33.325443,0.000000,1.000000,0.00002723,0.0000,12.00
25,2.235164,1.000000,0.002390,0.998801,33.416864,0.000000,1.000000,0.00002694,0.0000,12.34
26,2.256897,1.000000,0.003083,0.998801,33.419314,0.000000,1.000000,0.00002664,0.0000,13.44
27,2.316322,1.000000,0.002770,0.998801,33.424253,0.000000,1.000000,0.00002633,0.0000,11.76
28,2.300276,1.000000,0.003193,0.998801,33.409199,0.000000,1.000000,0.00002600,0.0000,12.58
29,2.284521,1.000000,0.001776,0.998801,33.436473,0.000000,1.000000,0.00002567,0.0000,13.46
30,2.201491,1.000000,0.002141,0.998801,33.463048,0.000000,1.000000,0.00002532,0.0000,11.46
31,2.198867,0.999851,0.002491,0.998801,33.467626,0.000000,1.000000,0.00002496,0.0000,12.92
32,2.276540,1.000000,0.001549,1.000000,33.468755,0.000000,1.000000,0.00002459,0.0000,13.44
33,2.188559,1.000000,0.002041,0.998801,33.461560,0.000000,1.000000,0.00002422,0.0000,11.23
34,2.318773,1.000000,0.002264,0.998801,33.459374,0.000000,1.000000,0.00002383,0.0000,13.00
35,2.214767,1.000000,0.002135,0.998801,33.429904,0.000000,1.000000,0.00002343,0.0000,13.93
36,2.168925,1.000000,0.002118,0.998801,33.489096,0.000000,1.000000,0.00002303,0.0000,10.93
