epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.441067,0.000901,6.735158,0.001199,0.00010900,0.0007,17.09
2,9.435459,0.001202,6.730531,0.001199,0.00020800,0.0013,17.24
3,9.430601,0.001803,6.731833,0.002398,0.00030700,0.0020,16.11
4,9.424523,0.001502,6.723685,0.000000,0.00040600,0.0027,16.58
5,9.397760,0.001653,6.676161,0.003597,0.00050500,0.0033,16.07
6,9.320674,0.002404,6.588149,0.002398,0.00060400,0.0040,17.38
7,9.210094,0.003606,6.494751,0.014388,0.00070300,0.0047,15.89
8,9.082208,0.005409,6.393422,0.011990,0.00080200,0.0053,16.74
9,8.954284,0.007812,6.282843,0.020384,0.00090100,0.0060,16.59
10,8.811046,0.012320,6.184709,0.020384,0.00100000,0.0067,16.84
11,8.687636,0.016677,6.053023,0.035971,0.00099997,0.0073,16.85
12,8.549390,0.022987,6.050756,0.033573,0.00099988,0.0080,15.80
13,8.398046,0.027494,5.841425,0.076739,0.00099974,0.0087,16.67
14,8.275488,0.038011,5.743816,0.067146,0.00099953,0.0093,16.77
15,8.158323,0.043570,6.037384,0.033573,0.00099927,0.0100,16.65
16,8.038636,0.055889,5.561321,0.118705,0.00099895,0.0107,16.39
17,7.956622,0.061148,5.540246,0.122302,0.00099856,0.0113,15.65
18,7.853497,0.071965,5.579839,0.118705,0.00099813,0.0120,17.43
19,7.779174,0.078125,5.641264,0.098321,0.00099763,0.0127,16.02
20,7.707325,0.089093,5.331076,0.181055,0.00099707,0.0133,16.62
21,7.622558,0.098107,5.255336,0.233813,0.00099646,0.0140,16.07
22,7.559322,0.100060,5.335164,0.178657,0.00099579,0.0147,17.26
23,7.494231,0.113582,5.299077,0.164269,0.00099505,0.0153,15.84
24,7.416377,0.126803,5.391695,0.134293,0.00099427,0.0160,16.37
25,7.357077,0.135968,5.126684,0.206235,0.00099342,0.0167,16.59
26,7.282499,0.147686,5.101782,0.226619,0.00099252,0.0173,16.62
27,7.216842,0.165865,5.021720,0.261391,0.00099155,0.0180,16.86
28,7.134446,0.172776,5.091577,0.224221,0.00099053,0.0187,15.69
29,7.054525,0.193810,5.092592,0.209832,0.00098946,0.0193,16.79
30,7.011712,0.205379,4.866610,0.314149,0.00098832,0.0200,16.63
31,6.925523,0.214093,4.927359,0.284173,0.00098713,0.0207,16.70
32,6.855952,0.237831,4.748616,0.359712,0.00098588,0.0213,16.43
33,6.801125,0.236629,4.693356,0.374101,0.00098458,0.0220,15.79
34,6.712865,0.259465,4.588707,0.405276,0.00098321,0.0227,17.28
35,6.678430,0.264273,4.633516,0.399281,0.00098179,0.0233,16.14
36,6.609377,0.277043,4.560279,0.419664,0.00098032,0.0240,16.68
37,6.562110,0.294621,4.651447,0.371703,0.00097879,0.0247,16.15
38,6.491801,0.312049,4.371045,0.489209,0.00097720,0.0253,17.28
39,6.455824,0.307542,4.671082,0.344125,0.00097555,0.0260,15.65
40,6.413454,0.320312,4.404487,0.466427,0.00097385,0.0267,16.28
41,6.389420,0.329327,4.299819,0.500000,0.00097210,0.0273,16.64
42,6.355881,0.333534,4.381103,0.458034,0.00097029,0.0280,16.69
43,6.294748,0.348858,4.304869,0.504796,0.00096842,0.0287,16.79
44,6.252427,0.352915,4.450946,0.410072,0.00096650,0.0293,15.64
45,6.235096,0.354117,4.212729,0.532374,0.00096452,0.0300,16.67
46,6.180335,0.376052,4.215964,0.507194,0.00096249,0.0307,16.50
47,6.140826,0.381911,4.144213,0.563549,0.00096041,0.0313,16.71
48,6.124212,0.395433,4.206430,0.529976,0.00095827,0.0320,16.45
49,6.103203,0.395132,4.133149,0.558753,0.00095608,0.0327,15.69
50,6.053927,0.407151,4.119820,0.553957,0.00095383,0.0333,17.21
51,6.017359,0.413612,4.105646,0.538369,0.00095154,0.0340,15.94
52,5.989038,0.423528,4.166181,0.519185,0.00094918,0.0347,16.74
53,5.955291,0.424279,3.971249,0.601918,0.00094678,0.0353,16.01
54,5.918215,0.437650,4.094344,0.540767,0.00094432,0.0360,17.19
55,5.894786,0.445162,4.253117,0.467626,0.00094181,0.0367,15.50
56,5.877746,0.447867,3.935746,0.612710,0.00093925,0.0373,16.68
57,5.839641,0.450721,3.943172,0.624700,0.00093664,0.0380,16.64
58,5.807975,0.463942,3.925065,0.622302,0.00093398,0.0387,16.51
59,5.801610,0.461538,3.799035,0.665468,0.00093126,0.0393,16.73
60,5.751353,0.471004,4.025651,0.588729,0.00092850,0.0400,15.47
61,5.728704,0.484075,3.979199,0.600719,0.00092569,0.0407,16.79
62,5.706769,0.487230,3.865723,0.623501,0.00092282,0.0413,16.57
63,5.684486,0.492939,3.924053,0.583933,0.00091991,0.0420,16.65
64,5.655370,0.498798,4.278260,0.461631,0.00091694,0.0427,15.93
65,5.636836,0.496695,3.728209,0.677458,0.00091393,0.0433,16.09
66,5.628643,0.513522,3.918737,0.588729,0.00091087,0.0440,17.19
67,5.591041,0.516827,3.693317,0.683453,0.00090776,0.0447,16.42
68,5.585103,0.505859,3.680019,0.687050,0.00090460,0.0453,17.75
69,5.559916,0.517728,3.675728,0.681055,0.00090140,0.0460,21.91
70,5.562442,0.529898,3.816952,0.628297,0.00089815,0.0467,22.51
71,5.524607,0.522236,3.650084,0.689448,0.00089485,0.0473,20.63
72,5.514655,0.539062,3.592298,0.705036,0.00089151,0.0480,22.13
73,5.491507,0.535907,3.702087,0.659472,0.00088812,0.0487,22.44
74,5.490066,0.536809,3.580679,0.717026,0.00088468,0.0493,22.09
75,5.464874,0.541917,3.635079,0.694245,0.00088120,0.0500,22.06
76,5.455965,0.540865,3.675574,0.677458,0.00087767,0.0507,21.31
77,5.422940,0.559645,3.549712,0.721823,0.00087410,0.0513,22.54
78,5.425638,0.565505,3.627658,0.688249,0.00087049,0.0520,21.54
79,5.398751,0.558894,3.565935,0.705036,0.00086683,0.0527,22.19
80,5.403865,0.552584,3.751096,0.635492,0.00086313,0.0533,21.68
81,5.359739,0.570312,3.526276,0.718225,0.00085939,0.0540,21.63
82,5.354325,0.572716,3.641465,0.691847,0.00085561,0.0547,22.23
83,5.354478,0.571214,3.696140,0.658273,0.00085178,0.0553,21.69
84,5.331150,0.575571,3.433802,0.778177,0.00084791,0.0560,21.79
85,5.313686,0.588942,3.520262,0.720624,0.00084401,0.0567,22.10
86,5.299542,0.594501,3.494786,0.724221,0.00084006,0.0573,21.75
