epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.567435,0.001653,6.770374,0.001199,0.00010900,0.0007,14.50
2,9.525965,0.000901,6.744967,0.001199,0.00020800,0.0013,14.76
3,9.458975,0.001352,6.734032,0.001199,0.00030700,0.0020,13.00
4,9.421562,0.002554,6.656712,0.001199,0.00040600,0.0027,15.11
5,9.229012,0.002254,6.416867,0.004796,0.00050500,0.0033,13.95
6,9.023326,0.005409,6.433718,0.007194,0.00060400,0.0040,14.00
7,8.859610,0.009465,6.925116,0.002398,0.00070300,0.0047,14.78
8,8.667148,0.012770,6.235337,0.015588,0.00080200,0.0053,12.80
9,8.480138,0.019982,7.544765,0.005995,0.00090100,0.0060,15.11
10,8.275689,0.029748,5.808680,0.038369,0.00100000,0.0067,13.88
11,8.041553,0.039964,7.155572,0.007194,0.00099997,0.0073,13.78
12,7.786255,0.059495,5.853385,0.037170,0.00099988,0.0080,14.90
13,7.594402,0.077073,6.069351,0.032374,0.00099974,0.0087,14.57
14,7.403112,0.098708,5.955450,0.028777,0.00099953,0.0093,17.59
15,7.217708,0.125751,5.645783,0.070743,0.00099927,0.0100,17.27
16,7.058361,0.153996,4.692754,0.282974,0.00099895,0.0107,18.06
17,6.879848,0.189303,6.070495,0.062350,0.00099856,0.0113,16.52
18,6.747919,0.214243,5.114588,0.135492,0.00099813,0.0120,17.80
19,6.554962,0.259014,5.024810,0.160671,0.00099763,0.0127,17.66
20,6.404543,0.286208,5.531531,0.105516,0.00099707,0.0133,15.52
21,6.241499,0.329627,5.810316,0.097122,0.00099646,0.0140,19.24
22,6.050642,0.382963,5.392172,0.134293,0.00099579,0.0147,17.28
23,5.900975,0.423828,4.629716,0.260192,0.00099505,0.0153,16.31
24,5.732092,0.464994,4.706974,0.239808,0.00099427,0.0160,20.09
25,5.618005,0.494441,4.073046,0.428058,0.00099342,0.0167,15.26
26,5.457687,0.534405,4.583579,0.274580,0.00099252,0.0173,19.25
27,5.338543,0.561148,3.801252,0.511990,0.00099155,0.0180,19.50
28,5.201761,0.595553,4.394657,0.316547,0.00099053,0.0187,15.38
29,5.084161,0.630709,3.558898,0.613909,0.00098946,0.0193,20.66
30,4.958490,0.663011,3.488727,0.615108,0.00098832,0.0200,16.13
31,4.856069,0.686599,3.853399,0.477218,0.00098713,0.0207,17.83
32,4.754420,0.712290,4.304165,0.324940,0.00098588,0.0213,19.28
33,4.682461,0.728666,3.231742,0.727818,0.00098458,0.0220,14.60
34,4.566488,0.754056,4.292407,0.334532,0.00098321,0.0227,20.40
35,4.544579,0.764423,3.324152,0.675060,0.00098179,0.0233,16.73
36,4.434397,0.789062,3.090821,0.756595,0.00098032,0.0240,16.71
37,4.387276,0.796725,3.437859,0.627098,0.00097879,0.0247,19.45
38,4.348460,0.800931,3.014179,0.803357,0.00097720,0.0253,14.80
39,4.259494,0.826923,3.470548,0.610312,0.00097555,0.0260,17.27
40,4.214117,0.840745,3.461864,0.629496,0.00097385,0.0267,14.80
41,4.169625,0.847656,3.920389,0.456835,0.00097210,0.0273,12.79
42,4.136658,0.849910,3.272443,0.678657,0.00097029,0.0280,15.08
43,4.091447,0.859976,2.989001,0.798561,0.00096842,0.0287,13.96
44,4.060777,0.873197,3.144274,0.729017,0.00096650,0.0293,13.51
45,4.011123,0.882212,2.861912,0.852518,0.00096452,0.0300,14.91
46,3.974278,0.885216,2.894560,0.822542,0.00096249,0.0307,12.75
47,3.954754,0.893480,2.699030,0.884892,0.00096041,0.0313,14.94
48,3.901940,0.904447,3.286555,0.646283,0.00095827,0.0320,14.31
49,3.876181,0.907151,2.779331,0.860911,0.00095608,0.0327,13.24
50,3.861503,0.908203,2.734571,0.860911,0.00095383,0.0333,15.10
51,3.847851,0.913762,2.689422,0.886091,0.00095154,0.0340,12.84
52,3.803185,0.921875,2.725554,0.866906,0.00094918,0.0347,14.68
53,3.789423,0.923978,2.633500,0.911271,0.00094678,0.0353,14.47
54,3.765317,0.932242,2.828310,0.844125,0.00094432,0.0360,13.15
55,3.737175,0.930739,2.707347,0.872902,0.00094181,0.0367,15.12
56,3.718601,0.936148,2.554277,0.923261,0.00093925,0.0373,13.06
57,3.698545,0.938101,2.629482,0.898082,0.00093664,0.0380,14.46
58,3.680483,0.940956,2.611646,0.914868,0.00093398,0.0387,14.47
59,3.664212,0.943960,2.848514,0.821343,0.00093126,0.0393,13.17
60,3.644912,0.948317,2.523975,0.935252,0.00092850,0.0400,15.14
61,3.646612,0.945463,2.578112,0.917266,0.00092569,0.0407,13.10
62,3.638628,0.944862,2.584357,0.914868,0.00092282,0.0413,14.54
63,3.605476,0.957782,2.762529,0.848921,0.00091991,0.0420,14.50
64,3.603484,0.949519,2.743468,0.848921,0.00091694,0.0427,13.05
65,3.582570,0.955529,2.476062,0.930456,0.00091393,0.0433,15.08
66,3.582210,0.956581,2.455274,0.936451,0.00091087,0.0440,13.25
67,3.561993,0.959135,2.511236,0.925659,0.00090776,0.0447,14.40
68,3.552021,0.963792,2.499965,0.936451,0.00090460,0.0453,14.52
69,3.541637,0.964994,2.491111,0.929257,0.00090140,0.0460,13.00
70,3.534521,0.961989,2.559230,0.922062,0.00089815,0.0467,15.03
71,3.524098,0.963041,2.565332,0.910072,0.00089485,0.0473,13.28
72,3.521210,0.964093,2.504639,0.932854,0.00089151,0.0480,14.28
73,3.513713,0.968450,2.482247,0.925659,0.00088812,0.0487,14.66
74,3.506889,0.967548,2.490573,0.929257,0.00088468,0.0493,12.99
75,3.503455,0.967097,2.411171,0.948441,0.00088120,0.0500,15.05
76,3.482635,0.971154,2.455507,0.926859,0.00087767,0.0507,13.47
77,3.481005,0.972506,2.677528,0.878897,0.00087410,0.0513,14.13
78,3.475624,0.972356,2.468054,0.941247,0.00087049,0.0520,14.58
79,3.473924,0.970553,2.465330,0.935252,0.00086683,0.0527,12.98
80,3.462081,0.974459,2.762662,0.852518,0.00086313,0.0533,15.04
81,3.455972,0.970553,2.393395,0.954436,0.00085939,0.0540,13.51
82,3.449507,0.973708,2.431351,0.941247,0.00085561,0.0547,13.96
83,3.444701,0.975811,2.516337,0.917266,0.00085178,0.0553,14.62
84,3.436933,0.979267,2.679175,0.869305,0.00084791,0.0560,12.79
85,3.432731,0.971304,2.341127,0.958034,0.00084401,0.0567,15.30
86,3.430128,0.977464,2.447567,0.929257,0.00084006,0.0573,13.52
87,3.420152,0.977013,2.366050,0.955635,0.00083607,0.0580,11.50
88,3.420671,0.976562,2.431558,0.938849,0.00083204,0.0587,10.97
89,3.415734,0.979267,2.740895,0.852518,0.00082797,0.0593,11.02
90,3.413490,0.979718,2.395728,0.955635,0.00082387,0.0600,10.97
91,3.398369,0.980018,2.682829,0.865707,0.00081973,0.0607,10.99
92,3.397163,0.978666,3.497157,0.579137,0.00081555,0.0613,11.00
93,3.399361,0.979868,2.610752,0.896882,0.00081133,0.0620,11.05
94,3.397671,0.980319,2.406526,0.944844,0.00080707,0.0627,11.03
95,3.391136,0.978666,2.351839,0.964029,0.00080278,0.0633,11.08
96,3.383170,0.981220,2.350137,0.960432,0.00079846,0.0640,11.58
97,3.377961,0.983624,2.331168,0.959233,0.00079410,0.0647,11.87
98,3.377226,0.983474,2.498965,0.925659,0.00078970,0.0653,11.70
99,3.373548,0.982272,2.323599,0.960432,0.00078528,0.0660,11.43
100,3.363633,0.983323,2.384480,0.941247,0.00078081,0.0667,11.41
101,3.366532,0.983624,2.351514,0.946043,0.00077632,0.0673,11.09
102,3.371838,0.980919,2.405158,0.946043,0.00077179,0.0680,11.00
103,3.365539,0.983173,2.360872,0.949640,0.00076723,0.0687,11.00
104,3.368607,0.983924,2.303263,0.966427,0.00076264,0.0693,10.96
105,3.349572,0.984976,2.334460,0.953237,0.00075802,0.0700,11.01
