epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.576585,0.000751,6.765047,0.001199,0.00010900,0.0007,14.80
2,9.541100,0.000901,6.747151,0.002398,0.00020800,0.0013,14.41
3,9.472908,0.000451,6.728972,0.000000,0.00030700,0.0020,14.69
4,9.420856,0.001953,6.686025,0.003597,0.00040600,0.0027,13.22
5,9.256403,0.002855,6.727306,0.001199,0.00050500,0.0033,13.71
6,9.042506,0.007212,6.346798,0.009592,0.00060400,0.0040,14.19
7,8.826310,0.011418,6.427980,0.010791,0.00070300,0.0047,14.59
8,8.619861,0.019681,5.997738,0.029976,0.00080200,0.0053,13.82
9,8.337630,0.037410,6.250159,0.016787,0.00090100,0.0060,13.11
10,8.057422,0.053936,5.622284,0.075540,0.00100000,0.0067,13.26
11,7.798407,0.078576,5.335455,0.121103,0.00099997,0.0073,13.11
12,7.541762,0.109826,5.392730,0.112710,0.00099988,0.0080,14.66
13,7.305631,0.145132,5.501244,0.086331,0.00099974,0.0087,14.29
14,7.071654,0.186298,5.591566,0.080336,0.00099953,0.0093,13.71
15,6.867936,0.221304,4.939821,0.215827,0.00099927,0.0100,14.37
16,6.657655,0.257812,4.940514,0.208633,0.00099895,0.0107,13.29
17,6.456677,0.307091,4.713904,0.263789,0.00099856,0.0113,14.14
18,6.262910,0.350661,4.894723,0.225420,0.00099813,0.0120,13.81
19,6.070588,0.389874,4.598174,0.273381,0.00099763,0.0127,13.99
20,5.853345,0.446214,7.122184,0.037170,0.00099707,0.0133,13.35
21,5.671091,0.487530,4.445809,0.312950,0.00099646,0.0140,13.59
22,5.497753,0.520883,3.957952,0.527578,0.00099579,0.0147,14.15
23,5.305880,0.568660,3.653837,0.622302,0.00099505,0.0153,13.58
24,5.165994,0.606070,3.600345,0.640288,0.00099427,0.0160,14.61
25,5.017518,0.646034,3.518303,0.672662,0.00099342,0.0167,14.48
26,4.917462,0.664814,3.502656,0.655875,0.00099252,0.0173,14.55
27,4.800766,0.694712,3.662093,0.601918,0.00099155,0.0180,14.52
28,4.706796,0.718299,3.518401,0.639089,0.00099053,0.0187,14.34
29,4.630907,0.731370,3.716697,0.556355,0.00098946,0.0193,14.41
30,4.520218,0.755559,4.026143,0.478417,0.00098832,0.0200,14.23
31,4.446394,0.772536,3.383130,0.672662,0.00098713,0.0207,13.53
32,4.369420,0.796124,3.655617,0.587530,0.00098588,0.0213,13.36
33,4.305901,0.817458,3.335171,0.713429,0.00098458,0.0220,14.17
34,4.242204,0.823918,4.566831,0.291367,0.00098321,0.0227,13.66
35,4.186950,0.831881,3.748600,0.532374,0.00098179,0.0233,13.79
36,4.157400,0.842248,3.314385,0.685851,0.00098032,0.0240,13.93
37,4.093766,0.853666,3.027817,0.803357,0.00097879,0.0247,14.22
38,4.048016,0.866286,4.158895,0.412470,0.00097720,0.0253,14.77
