epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.569449,0.001352,6.787666,0.001199,0.00010900,0.0007,16.83
2,9.519182,0.000601,6.738472,0.001199,0.00020800,0.0013,15.70
3,9.450732,0.000901,6.714412,0.000000,0.00030700,0.0020,15.55
4,9.362487,0.003005,6.555184,0.003597,0.00040600,0.0027,15.49
5,9.143620,0.004507,6.411361,0.005995,0.00050500,0.0033,14.79
6,8.936205,0.006611,6.194359,0.017986,0.00060400,0.0040,15.77
7,8.724237,0.013371,7.126427,0.003597,0.00070300,0.0047,15.94
8,8.492488,0.021184,6.456764,0.015588,0.00080200,0.0053,15.21
9,8.260022,0.038161,5.773506,0.046763,0.00090100,0.0060,16.29
10,8.011676,0.052734,5.344950,0.105516,0.00100000,0.0067,15.90
11,7.733544,0.082332,6.124482,0.025180,0.00099997,0.0073,16.07
12,7.465582,0.103816,5.730052,0.049161,0.00099988,0.0080,15.31
13,7.242781,0.139123,5.351599,0.087530,0.00099974,0.0087,15.74
14,7.049130,0.169321,5.001170,0.146283,0.00099953,0.0093,16.01
15,6.799158,0.215445,6.301300,0.061151,0.00099927,0.0100,15.77
16,6.601995,0.273287,4.870100,0.190647,0.00099895,0.0107,15.39
17,6.379355,0.317758,5.380649,0.143885,0.00099856,0.0113,15.30
18,6.173634,0.363431,4.455938,0.310552,0.00099813,0.0120,15.98
19,5.964201,0.422025,4.758229,0.243405,0.00099763,0.0127,15.87
20,5.795604,0.463041,3.892494,0.521583,0.00099707,0.0133,15.94
21,5.600070,0.509916,4.798212,0.268585,0.00099646,0.0140,15.56
22,5.441644,0.554537,5.280562,0.135492,0.00099579,0.0147,15.76
23,5.290363,0.586088,4.044260,0.430456,0.00099505,0.0153,15.41
24,5.163661,0.621094,4.298221,0.370504,0.00099427,0.0160,15.53
25,5.062470,0.639123,5.398722,0.152278,0.00099342,0.0167,15.40
26,4.927525,0.674279,3.388762,0.670264,0.00099252,0.0173,15.58
27,4.810485,0.700120,3.741766,0.491607,0.00099155,0.0180,15.09
28,4.727493,0.717999,3.717471,0.523981,0.00099053,0.0187,15.46
29,4.620155,0.736779,4.284463,0.332134,0.00098946,0.0193,14.79
30,4.557691,0.756160,3.225629,0.717026,0.00098832,0.0200,15.75
31,4.452629,0.779748,3.218483,0.718225,0.00098713,0.0207,16.01
32,4.366768,0.802734,4.035095,0.362110,0.00098588,0.0213,15.81
33,4.320329,0.809946,3.294729,0.705036,0.00098458,0.0220,15.72
34,4.262509,0.822266,3.513174,0.576739,0.00098321,0.0227,15.94
35,4.172635,0.849159,3.541575,0.574341,0.00098179,0.0233,15.21
36,4.162286,0.841046,4.461823,0.302158,0.00098032,0.0240,15.74
37,4.094562,0.857121,3.111307,0.739808,0.00097879,0.0247,15.84
38,4.063872,0.866436,2.847403,0.840528,0.00097720,0.0253,15.72
39,4.010160,0.875150,3.174743,0.730216,0.00097555,0.0260,15.38
40,3.978342,0.882362,2.994188,0.772182,0.00097385,0.0267,15.02
41,3.925602,0.896184,2.676180,0.904077,0.00097210,0.0273,14.91
42,3.906343,0.893480,2.909611,0.803357,0.00097029,0.0280,15.62
43,3.868554,0.905649,3.320629,0.666667,0.00096842,0.0287,15.75
44,3.833915,0.912260,3.588168,0.537170,0.00096650,0.0293,16.03
45,3.798145,0.918720,2.930467,0.811751,0.00096452,0.0300,15.42
46,3.791693,0.916767,2.749096,0.863309,0.00096249,0.0307,15.82
47,3.760841,0.927284,2.985244,0.772182,0.00096041,0.0313,16.10
48,3.742134,0.929988,3.658381,0.504796,0.00095827,0.0320,16.16
49,3.715302,0.932692,2.788443,0.846523,0.00095608,0.0327,16.47
50,3.697583,0.936448,3.159810,0.688249,0.00095383,0.0333,15.61
51,3.658941,0.942758,2.632066,0.898082,0.00095154,0.0340,15.73
52,3.645780,0.946965,2.548625,0.907674,0.00094918,0.0347,16.05
53,3.629630,0.947266,2.676258,0.881295,0.00094678,0.0353,16.22
54,3.618825,0.952073,2.630080,0.894484,0.00094432,0.0360,16.42
55,3.606370,0.949820,2.487112,0.935252,0.00094181,0.0367,16.40
56,3.568510,0.961839,2.514964,0.923261,0.00093925,0.0373,16.23
57,3.572408,0.955829,2.514443,0.931655,0.00093664,0.0380,16.16
58,3.556997,0.958233,2.835882,0.818945,0.00093398,0.0387,15.66
59,3.534074,0.961088,2.515349,0.929257,0.00093126,0.0393,15.56
60,3.530763,0.960036,3.025229,0.752998,0.00092850,0.0400,14.91
61,3.520365,0.965595,2.804236,0.828537,0.00092569,0.0407,15.26
62,3.492994,0.970853,2.591001,0.908873,0.00092282,0.0413,16.16
63,3.487629,0.966496,2.466969,0.935252,0.00091991,0.0420,15.39
64,3.483854,0.966647,2.438640,0.938849,0.00091694,0.0427,15.64
65,3.475271,0.969050,2.545492,0.906475,0.00091393,0.0433,16.13
66,3.466346,0.969351,2.539485,0.913669,0.00091087,0.0440,15.92
67,3.450377,0.973107,2.380272,0.955635,0.00090776,0.0447,14.66
68,3.440407,0.974159,2.423781,0.946043,0.00090460,0.0453,15.24
69,3.439480,0.971304,2.408929,0.949640,0.00090140,0.0460,15.70
70,3.421499,0.975210,2.405828,0.944844,0.00089815,0.0467,16.12
71,3.415575,0.976562,2.498561,0.918465,0.00089485,0.0473,16.31
72,3.415680,0.975210,2.446226,0.936451,0.00089151,0.0480,15.71
73,3.407402,0.975661,2.486097,0.919664,0.00088812,0.0487,16.20
74,3.404145,0.975361,2.500862,0.918465,0.00088468,0.0493,15.34
75,3.385824,0.979417,2.779599,0.811751,0.00088120,0.0500,16.02
76,3.389639,0.979267,2.344480,0.961631,0.00087767,0.0507,16.32
77,3.379993,0.979417,2.374056,0.947242,0.00087410,0.0513,16.27
78,3.365269,0.981370,2.375423,0.960432,0.00087049,0.0520,16.12
79,3.365682,0.982272,2.714570,0.848921,0.00086683,0.0527,15.83
80,3.364062,0.981220,2.473929,0.925659,0.00086313,0.0533,16.24
81,3.356563,0.982572,2.741601,0.856115,0.00085939,0.0540,15.41
82,3.354437,0.981520,2.539924,0.910072,0.00085561,0.0547,16.30
83,3.344803,0.982873,2.371623,0.960432,0.00085178,0.0553,16.34
84,3.345383,0.983023,2.715196,0.859712,0.00084791,0.0560,15.92
85,3.338642,0.984375,2.368806,0.958034,0.00084401,0.0567,15.30
