epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.594194,0.001502,6.776037,0.002398,0.00010900,0.0007,22.96
2,9.543845,0.000901,6.746291,0.003597,0.00020800,0.0013,24.32
3,9.469896,0.001803,6.717512,0.002398,0.00030700,0.0020,23.96
4,9.370587,0.003906,6.553956,0.002398,0.00040600,0.0027,24.46
5,9.141572,0.006010,6.490549,0.008393,0.00050500,0.0033,23.83
6,8.910787,0.009615,6.580567,0.004796,0.00060400,0.0040,23.91
7,8.663868,0.019081,6.890655,0.005995,0.00070300,0.0047,24.10
8,8.402646,0.031701,6.028765,0.026379,0.00080200,0.0053,23.83
9,8.123939,0.050631,5.881088,0.041966,0.00090100,0.0060,23.92
10,7.848659,0.076172,6.720782,0.016787,0.00100000,0.0067,24.24
11,7.619079,0.102614,5.830340,0.055156,0.00099997,0.0073,23.98
12,7.351054,0.134014,5.014701,0.177458,0.00099988,0.0080,24.41
13,7.047860,0.194561,4.931845,0.205036,0.00099974,0.0087,24.48
14,6.778277,0.241286,7.444721,0.019185,0.00099953,0.0093,24.54
15,6.537536,0.297025,5.120282,0.183453,0.00099927,0.0100,24.60
16,6.243318,0.365535,4.973460,0.201439,0.00099895,0.0107,24.07
17,6.039440,0.411809,4.349125,0.358513,0.00099856,0.0113,24.11
18,5.820552,0.464543,4.030041,0.453237,0.00099813,0.0120,24.25
19,5.600021,0.507362,4.471284,0.304556,0.00099763,0.0127,24.72
20,5.395450,0.564754,3.844899,0.545564,0.00099707,0.0133,24.59
21,5.216747,0.603065,3.691914,0.589928,0.00099646,0.0140,24.20
22,5.044748,0.641076,3.852305,0.515588,0.00099579,0.0147,24.26
23,4.923271,0.666917,4.557545,0.300959,0.00099505,0.0153,24.67
24,4.756514,0.707031,3.656249,0.589928,0.00099427,0.0160,24.65
25,4.621122,0.743990,3.561951,0.603118,0.00099342,0.0167,25.07
26,4.501061,0.767879,3.508221,0.627098,0.00099252,0.0173,25.34
27,4.424676,0.784856,3.483287,0.623501,0.00099155,0.0180,25.67
28,4.337692,0.805138,3.384901,0.687050,0.00099053,0.0187,25.66
29,4.235314,0.830679,3.309163,0.720624,0.00098946,0.0193,25.37
30,4.184695,0.839093,3.362823,0.694245,0.00098832,0.0200,24.96
31,4.103295,0.861478,2.975809,0.829736,0.00098713,0.0207,24.92
32,4.067641,0.861478,3.180197,0.756595,0.00098588,0.0213,24.74
33,3.996095,0.883263,3.215209,0.733813,0.00098458,0.0220,24.67
34,3.945884,0.892728,2.933316,0.836930,0.00098321,0.0227,24.58
35,3.898527,0.899339,3.063312,0.772182,0.00098179,0.0233,24.63
36,3.874844,0.903846,4.258958,0.352518,0.00098032,0.0240,24.37
