epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.727527,0.001202,6.817583,0.002398,0.00010900,0.0007,21.47
2,9.583780,0.000751,6.739825,0.001199,0.00020800,0.0013,20.59
3,9.474630,0.001803,6.725522,0.001199,0.00030700,0.0020,20.13
4,9.421772,0.001052,6.680894,0.002398,0.00040600,0.0027,20.16
5,9.299122,0.002704,6.573101,0.003597,0.00050500,0.0033,19.81
6,9.085666,0.005108,6.325477,0.017986,0.00060400,0.0040,19.80
7,8.859272,0.007812,6.696480,0.010791,0.00070300,0.0047,19.65
8,8.621868,0.016076,6.052935,0.028777,0.00080200,0.0053,19.76
9,8.360832,0.027644,7.481439,0.003597,0.00090100,0.0060,19.95
10,8.109724,0.036959,6.439758,0.011990,0.00100000,0.0067,19.67
11,7.906352,0.052284,5.734182,0.057554,0.00099997,0.0073,19.58
12,7.697501,0.069561,6.023284,0.027578,0.00099988,0.0080,19.99
13,7.496526,0.086538,6.184511,0.033573,0.00099974,0.0087,19.92
14,7.328334,0.104117,5.707450,0.065947,0.00099953,0.0093,19.86
15,7.162465,0.120343,5.206538,0.112710,0.00099927,0.0100,19.93
16,6.958304,0.159706,5.266726,0.125899,0.00099895,0.0107,20.14
17,6.784452,0.177734,4.923544,0.188249,0.00099856,0.0113,19.94
18,6.553027,0.227464,5.043292,0.171463,0.00099813,0.0120,20.00
19,6.358975,0.268179,4.737486,0.232614,0.00099763,0.0127,19.76
20,6.135213,0.314904,5.396136,0.117506,0.00099707,0.0133,19.46
21,5.946866,0.356370,4.533836,0.322542,0.00099646,0.0140,19.42
22,5.736778,0.412410,4.170609,0.422062,0.00099579,0.0147,19.67
23,5.585283,0.441556,4.728400,0.238609,0.00099505,0.0153,19.87
24,5.402131,0.493089,3.933431,0.510791,0.00099427,0.0160,19.88
25,5.275166,0.516977,4.506669,0.294964,0.00099342,0.0167,20.46
26,5.139200,0.562500,3.649147,0.603118,0.00099252,0.0173,20.41
27,5.003030,0.596454,5.569557,0.110312,0.00099155,0.0180,20.15
28,4.906669,0.625300,4.111786,0.435252,0.00099053,0.0187,20.05
29,4.820374,0.640925,3.664703,0.595923,0.00098946,0.0193,19.99
30,4.728844,0.676232,3.968002,0.494005,0.00098832,0.0200,19.96
31,4.639796,0.700721,3.687169,0.580336,0.00098713,0.0207,20.21
32,4.555517,0.717999,3.797783,0.552758,0.00098588,0.0213,20.19
33,4.481140,0.740685,3.554725,0.604317,0.00098458,0.0220,20.64
34,4.414297,0.757212,5.942638,0.095923,0.00098321,0.0227,20.31
35,4.353620,0.776893,3.628654,0.613909,0.00098179,0.0233,20.66
36,4.327845,0.777043,3.144763,0.797362,0.00098032,0.0240,20.49
37,4.269542,0.791767,3.775839,0.521583,0.00097879,0.0247,20.01
38,4.209860,0.814002,3.043871,0.809353,0.00097720,0.0253,19.87
39,4.165082,0.820613,3.372622,0.697842,0.00097555,0.0260,20.57
40,4.119865,0.834435,3.533381,0.621103,0.00097385,0.0267,20.56
41,4.085259,0.843149,3.207844,0.745803,0.00097210,0.0273,20.56
42,4.043910,0.852614,3.261883,0.733813,0.00097029,0.0280,20.39
43,3.999892,0.868840,2.824009,0.890887,0.00096842,0.0287,20.80
44,3.967028,0.875901,3.191540,0.725420,0.00096650,0.0293,20.58
45,3.935484,0.881611,2.846892,0.878897,0.00096452,0.0300,20.63
46,3.894446,0.891376,2.953815,0.829736,0.00096249,0.0307,20.06
47,3.883952,0.888822,2.823562,0.880096,0.00096041,0.0313,19.60
48,3.840970,0.905198,2.821908,0.868106,0.00095827,0.0320,20.56
49,3.833515,0.901893,2.951255,0.830935,0.00095608,0.0327,20.19
50,3.792997,0.909856,2.787179,0.882494,0.00095383,0.0333,19.94
51,3.768890,0.914513,2.766965,0.877698,0.00095154,0.0340,20.13
52,3.752201,0.920823,2.797404,0.875300,0.00094918,0.0347,20.15
53,3.735579,0.924279,2.600810,0.937650,0.00094678,0.0353,20.82
54,3.712123,0.927584,2.837014,0.862110,0.00094432,0.0360,20.65
55,3.682795,0.936148,2.920192,0.829736,0.00094181,0.0367,20.48
56,3.681243,0.936899,2.718495,0.884892,0.00093925,0.0373,20.72
57,3.670187,0.936749,2.719593,0.898082,0.00093664,0.0380,20.02
