epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.664991,0.001202,6.805110,0.001199,0.00010900,0.0008,16.25
2,9.547493,0.000901,6.738602,0.001199,0.00020800,0.0017,15.34
3,9.467764,0.001202,6.722051,0.002398,0.00030700,0.0025,15.03
4,9.394988,0.002254,6.661785,0.003597,0.00040600,0.0033,14.65
5,9.284330,0.002103,6.618476,0.002398,0.00050500,0.0042,15.29
6,9.133057,0.004808,6.425824,0.009592,0.00060400,0.0050,15.57
7,8.963050,0.008113,6.333362,0.013189,0.00070300,0.0058,15.59
8,8.727947,0.014874,5.968761,0.037170,0.00080200,0.0067,15.07
9,8.493324,0.022987,5.845806,0.037170,0.00090100,0.0075,15.57
10,8.206896,0.039213,5.624329,0.056355,0.00100000,0.0083,15.45
11,7.964191,0.056340,5.354269,0.106715,0.00099997,0.0092,15.62
12,7.730670,0.073918,6.610205,0.016787,0.00099988,0.0100,15.42
13,7.524589,0.095553,5.065807,0.160671,0.00099974,0.0108,15.78
14,7.338098,0.120944,5.797516,0.059952,0.00099953,0.0117,15.76
15,7.160799,0.141677,5.959419,0.052758,0.00099927,0.0125,15.28
16,6.975759,0.173227,5.695815,0.094724,0.00099895,0.0133,15.18
17,6.809969,0.207632,4.526047,0.321343,0.00099856,0.0142,15.52
18,6.621877,0.253906,4.743592,0.260192,0.00099813,0.0150,15.83
19,6.444563,0.300631,5.480706,0.123501,0.00099763,0.0158,15.00
20,6.232760,0.350962,4.871525,0.235012,0.00099707,0.0167,14.92
21,6.050106,0.387320,4.811668,0.237410,0.00099646,0.0175,15.40
22,5.870076,0.447867,3.895971,0.523981,0.00099579,0.0183,15.25
23,5.746909,0.473407,7.106837,0.046763,0.00099505,0.0192,15.11
24,5.540547,0.530048,4.013940,0.477218,0.00099427,0.0200,15.48
25,5.423313,0.558594,4.828293,0.254197,0.00099342,0.0208,15.66
26,5.280629,0.588642,3.566903,0.642686,0.00099252,0.0217,15.85
27,5.121709,0.631460,3.903599,0.502398,0.00099155,0.0225,15.23
28,5.034081,0.651743,4.518154,0.282974,0.00099053,0.0233,15.23
29,4.887167,0.693359,3.532549,0.634293,0.00098946,0.0242,15.88
30,4.803374,0.709886,3.412564,0.689448,0.00098832,0.0250,15.19
31,4.705256,0.737230,3.388861,0.691847,0.00098713,0.0258,15.14
32,4.636066,0.752855,3.255033,0.735012,0.00098588,0.0267,15.21
33,4.548275,0.770733,3.858516,0.508393,0.00098458,0.0275,15.16
34,4.489925,0.780649,3.240043,0.730216,0.00098321,0.0283,15.43
35,4.408108,0.803636,3.899180,0.468825,0.00098179,0.0292,14.60
36,4.346011,0.822115,3.174289,0.758993,0.00098032,0.0300,15.60
37,4.287648,0.832632,3.216229,0.737410,0.00097879,0.0308,14.83
38,4.236339,0.849609,4.491263,0.297362,0.00097720,0.0317,15.48
39,4.184944,0.853365,2.978409,0.810552,0.00097555,0.0325,14.55
