epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.660375,0.001653,6.803609,0.001199,0.00010900,0.0007,8.14
2,9.545185,0.000601,6.736091,0.002398,0.00020800,0.0013,10.96
3,9.456119,0.001202,6.730158,0.001199,0.00030700,0.0020,12.77
4,9.432379,0.001502,6.728073,0.001199,0.00040600,0.0027,13.58
5,9.413239,0.001352,6.722047,0.001199,0.00050500,0.0033,16.22
6,9.377405,0.001352,6.701124,0.003597,0.00060400,0.0040,15.80
7,9.302933,0.001803,6.690628,0.002398,0.00070300,0.0047,15.79
8,9.199501,0.003005,6.586952,0.005995,0.00080200,0.0053,16.12
9,9.094787,0.003305,6.430540,0.003597,0.00090100,0.0060,16.36
10,9.008118,0.003756,6.730913,0.004796,0.00100000,0.0067,15.77
11,8.923782,0.005258,6.305113,0.011990,0.00099997,0.0073,16.33
12,8.839840,0.008263,6.248976,0.010791,0.00099988,0.0080,16.05
13,8.739229,0.009165,6.428320,0.008393,0.00099974,0.0087,16.26
14,8.632992,0.009916,6.754022,0.010791,0.00099953,0.0093,16.00
15,8.533984,0.015775,6.053785,0.019185,0.00099927,0.0100,15.86
16,8.417209,0.024489,6.757929,0.014388,0.00099895,0.0107,15.97
17,8.315218,0.023588,6.581181,0.015588,0.00099856,0.0113,16.23
18,8.230619,0.029297,7.041437,0.005995,0.00099813,0.0120,16.09
19,8.152089,0.034405,5.973802,0.021583,0.00099763,0.0127,16.04
20,8.050824,0.035156,5.712472,0.057554,0.00099707,0.0133,16.12
21,7.979283,0.046424,5.965554,0.020384,0.00099646,0.0140,16.26
22,7.900388,0.052734,6.105606,0.019185,0.00099579,0.0147,16.27
23,7.839770,0.051833,5.526348,0.089928,0.00099505,0.0153,16.17
24,7.758522,0.059345,6.212885,0.017986,0.00099427,0.0160,16.22
25,7.677531,0.070012,5.609010,0.062350,0.00099342,0.0167,16.34
26,7.628920,0.074519,5.862960,0.045564,0.00099252,0.0173,15.83
27,7.568632,0.074519,5.976463,0.049161,0.00099155,0.0180,13.83
28,7.507418,0.088041,5.434173,0.103118,0.00099053,0.0187,9.40
29,7.474032,0.091647,5.916205,0.043165,0.00098946,0.0193,9.19
30,7.419853,0.091797,5.272019,0.129496,0.00098832,0.0200,9.32
31,7.392385,0.100210,5.881244,0.040767,0.00098713,0.0207,9.20
32,7.313693,0.113131,5.671985,0.093525,0.00098588,0.0213,8.85
33,7.267771,0.115986,5.486280,0.099520,0.00098458,0.0220,9.22
34,7.230135,0.121094,5.193046,0.145084,0.00098321,0.0227,9.22
35,7.168549,0.134465,7.311230,0.022782,0.00098179,0.0233,9.77
36,7.127102,0.146334,6.971268,0.025180,0.00098032,0.0240,8.97
37,7.068538,0.149189,6.304629,0.037170,0.00097879,0.0247,9.21
38,7.034149,0.155499,5.943218,0.046763,0.00097720,0.0253,9.30
39,7.001903,0.158654,6.844901,0.055156,0.00097555,0.0260,9.15
40,6.957834,0.169621,6.505623,0.050360,0.00097385,0.0267,8.96
41,6.894839,0.179387,7.909623,0.016787,0.00097210,0.0273,9.25
42,6.859395,0.186298,4.911527,0.237410,0.00097029,0.0280,9.11
43,6.790344,0.198468,5.862761,0.051559,0.00096842,0.0287,8.97
44,6.746617,0.215745,6.839602,0.035971,0.00096650,0.0293,9.19
45,6.697330,0.220553,5.596831,0.109113,0.00096452,0.0300,9.06
46,6.639929,0.231821,5.396499,0.133094,0.00096249,0.0307,9.26
47,6.583409,0.236328,6.004138,0.058753,0.00096041,0.0313,8.98
48,6.533856,0.260817,5.479689,0.118705,0.00095827,0.0320,9.28
49,6.518252,0.262770,5.055939,0.172662,0.00095608,0.0327,9.50
50,6.462485,0.277644,8.083736,0.027578,0.00095383,0.0333,9.11
51,6.439282,0.273588,4.706281,0.306954,0.00095154,0.0340,9.26
52,6.344800,0.311599,5.911337,0.065947,0.00094918,0.0347,9.02
53,6.312361,0.306040,4.779379,0.245803,0.00094678,0.0353,9.26
54,6.275048,0.304988,6.145014,0.073141,0.00094432,0.0360,9.03
55,6.271970,0.316406,5.285339,0.136691,0.00094181,0.0367,8.94
56,6.215457,0.325871,5.025422,0.182254,0.00093925,0.0373,9.11
57,6.150784,0.338792,7.059810,0.041966,0.00093664,0.0380,9.14
58,6.146949,0.339844,8.849960,0.016787,0.00093398,0.0387,9.23
59,6.119855,0.351262,7.953968,0.021583,0.00093126,0.0393,9.16
60,6.055311,0.364784,4.487238,0.353717,0.00092850,0.0400,8.73
61,6.014170,0.367788,5.300809,0.100719,0.00092569,0.0407,9.19
62,5.987896,0.387470,5.168361,0.161871,0.00092282,0.0413,9.06
63,5.941625,0.391376,4.467231,0.346523,0.00091991,0.0420,9.22
64,5.924695,0.395733,4.215759,0.444844,0.00091694,0.0427,9.39
65,5.874964,0.404147,4.791936,0.270983,0.00091393,0.0433,9.29
66,5.839195,0.410757,4.576348,0.324940,0.00091087,0.0440,9.34
67,5.795148,0.441406,4.205659,0.479616,0.00090776,0.0447,9.21
68,5.784777,0.426833,4.148679,0.501199,0.00090460,0.0453,9.24
69,5.736569,0.450721,5.060570,0.182254,0.00090140,0.0460,9.35
70,5.703453,0.446965,4.926257,0.217026,0.00089815,0.0467,9.33
71,5.700615,0.446815,6.253446,0.086331,0.00089485,0.0473,8.99
72,5.657869,0.458383,5.409493,0.133094,0.00089151,0.0480,9.01
73,5.638025,0.471905,4.548633,0.346523,0.00088812,0.0487,9.14
74,5.608473,0.474609,4.635068,0.303357,0.00088468,0.0493,9.34
75,5.548252,0.483173,4.360237,0.393285,0.00088120,0.0500,9.45
76,5.549883,0.483924,5.058823,0.212230,0.00087767,0.0507,9.34
77,5.530642,0.489633,4.145730,0.483213,0.00087410,0.0513,9.18
78,5.510362,0.497596,5.032577,0.237410,0.00087049,0.0520,9.40
79,5.469815,0.519531,4.506995,0.347722,0.00086683,0.0527,9.21
80,5.436866,0.534105,4.601390,0.293765,0.00086313,0.0533,9.08
81,5.442662,0.521184,4.323680,0.372902,0.00085939,0.0540,8.87
82,5.409495,0.539814,3.863856,0.595923,0.00085561,0.0547,8.81
83,5.368763,0.546575,3.875069,0.553957,0.00085178,0.0553,8.87
84,5.361442,0.546124,5.009026,0.230216,0.00084791,0.0560,9.29
85,5.347041,0.541617,3.700322,0.660671,0.00084401,0.0567,9.39
86,5.323706,0.556641,3.945757,0.555156,0.00084006,0.0573,9.56
87,5.318804,0.552584,3.774547,0.640288,0.00083607,0.0580,9.11
88,5.282115,0.567608,3.843317,0.594724,0.00083204,0.0587,8.95
89,5.280934,0.565956,3.867071,0.588729,0.00082797,0.0593,9.30
90,5.241625,0.579778,3.551912,0.742206,0.00082387,0.0600,9.28
91,5.241046,0.576773,3.675421,0.665468,0.00081973,0.0607,9.11
92,5.214622,0.586088,3.991403,0.502398,0.00081555,0.0613,9.50
93,5.203396,0.591196,3.909809,0.565947,0.00081133,0.0620,8.93
94,5.204735,0.581881,5.091870,0.219424,0.00080707,0.0627,8.76
95,5.166063,0.600210,3.710405,0.649880,0.00080278,0.0633,9.27
96,5.164350,0.597055,3.901084,0.545564,0.00079846,0.0640,8.98
97,5.130928,0.616887,3.951220,0.544365,0.00079410,0.0647,9.35
98,5.147977,0.602915,3.552466,0.707434,0.00078970,0.0653,9.01
99,5.105926,0.612530,3.838713,0.561151,0.00078528,0.0660,9.09
100,5.095168,0.623948,3.591368,0.706235,0.00078081,0.0667,8.79
101,5.073915,0.625300,3.807685,0.601918,0.00077632,0.0673,9.15
102,5.077780,0.614183,3.520165,0.739808,0.00077179,0.0680,9.40
103,5.049545,0.632662,4.272493,0.417266,0.00076723,0.0687,9.15
104,5.045348,0.630709,3.630233,0.691847,0.00076264,0.0693,9.17
105,5.041153,0.633714,3.745835,0.647482,0.00075802,0.0700,9.03
106,5.039930,0.633413,3.601903,0.685851,0.00075337,0.0707,9.36
107,4.999509,0.642127,3.574931,0.684652,0.00074869,0.0713,9.25
108,5.008942,0.640775,4.949553,0.260192,0.00074398,0.0720,9.29
109,4.977284,0.657602,3.816884,0.577938,0.00073924,0.0727,9.16
110,4.977734,0.656701,3.585112,0.689448,0.00073447,0.0733,9.23
111,4.968668,0.651442,3.539656,0.708633,0.00072968,0.0740,9.13
112,4.952877,0.651593,4.124597,0.472422,0.00072485,0.0747,9.52
113,4.949279,0.657602,3.860335,0.581535,0.00072001,0.0753,9.25
114,4.931524,0.665865,5.349781,0.151079,0.00071513,0.0760,9.47
115,4.918512,0.666466,3.350822,0.799760,0.00071023,0.0767,9.18
116,4.922611,0.662410,3.689018,0.637890,0.00070531,0.0773,8.80
117,4.907000,0.676532,4.329497,0.435252,0.00070036,0.0780,8.92
118,4.916761,0.669020,3.330375,0.790168,0.00069539,0.0787,8.81
119,4.880043,0.680138,3.352125,0.784173,0.00069040,0.0793,8.74
120,4.875186,0.681040,3.999096,0.505995,0.00068538,0.0800,9.21
121,4.877393,0.676983,3.287076,0.811751,0.00068035,0.0807,8.80
122,4.866536,0.677885,3.357901,0.773381,0.00067529,0.0813,8.77
123,4.863846,0.685547,3.559692,0.691847,0.00067021,0.0820,9.13
124,4.849437,0.692458,3.657817,0.683453,0.00066511,0.0827,8.96
125,4.842670,0.690956,3.401153,0.761391,0.00065999,0.0833,9.31
126,4.825492,0.693209,3.577235,0.681055,0.00065485,0.0840,9.15
127,4.834761,0.697115,3.619891,0.667866,0.00064970,0.0847,9.52
128,4.829168,0.688702,3.339556,0.802158,0.00064453,0.0853,9.03
129,4.803727,0.696064,3.232387,0.828537,0.00063934,0.0860,9.00
130,4.812228,0.702073,3.326054,0.773381,0.00063413,0.0867,8.94
131,4.793457,0.703125,3.843658,0.574341,0.00062891,0.0873,9.28
132,4.794953,0.705379,3.283278,0.810552,0.00062367,0.0880,8.81
133,4.776285,0.713642,4.720393,0.294964,0.00061842,0.0887,8.94
134,4.789578,0.708233,3.206365,0.839329,0.00061316,0.0893,9.66
135,4.759921,0.707933,3.572267,0.707434,0.00060788,0.0900,8.97
136,4.765251,0.715745,3.139765,0.853717,0.00060259,0.0907,8.98
137,4.773921,0.706581,3.212037,0.834532,0.00059728,0.0913,9.10
138,4.764744,0.702825,3.287261,0.818945,0.00059197,0.0920,9.40
139,4.780747,0.701773,3.404794,0.756595,0.00058665,0.0927,9.30
140,4.755012,0.711388,3.163062,0.840528,0.00058131,0.0933,9.26
141,4.758201,0.711238,3.423688,0.774580,0.00057597,0.0940,9.33
142,4.746692,0.711689,3.473032,0.737410,0.00057061,0.0947,9.19
143,4.727742,0.726562,3.177490,0.853717,0.00056525,0.0953,8.99
144,4.759945,0.715895,3.235757,0.829736,0.00055988,0.0960,8.74
145,4.735922,0.714694,3.513755,0.712230,0.00055451,0.0967,9.09
146,4.728022,0.713942,3.505514,0.755396,0.00054912,0.0973,9.15
147,4.727223,0.721454,3.135173,0.858513,0.00054373,0.0980,8.88
148,4.711892,0.722506,3.134612,0.856115,0.00053834,0.0987,8.81
149,4.719320,0.724609,3.251799,0.820144,0.00053294,0.0993,9.43
150,4.716789,0.716346,3.152815,0.846523,0.00052754,0.1000,9.16
151,4.713965,0.728215,3.160962,0.850120,0.00052214,0.1007,9.15
152,4.710195,0.722055,3.139098,0.856115,0.00051673,0.1013,9.14
153,4.696380,0.738582,3.369449,0.769784,0.00051132,0.1020,9.38
154,4.690556,0.734075,3.252851,0.810552,0.00050591,0.1027,9.28
155,4.695927,0.727614,3.116450,0.859712,0.00050050,0.1033,9.11
156,4.666698,0.740835,3.063001,0.859712,0.00049509,0.1040,9.32
157,4.676944,0.738131,3.215419,0.814149,0.00048968,0.1047,9.15
158,4.678377,0.737680,3.097574,0.865707,0.00048427,0.1053,9.23
159,4.686323,0.738131,3.434723,0.744604,0.00047886,0.1060,9.12
160,4.673967,0.740234,3.293418,0.794964,0.00047346,0.1067,9.35
161,4.687097,0.735427,3.169825,0.851319,0.00046806,0.1073,9.29
162,4.662024,0.740084,3.087886,0.866906,0.00046266,0.1080,9.43
163,4.672097,0.739633,3.318276,0.802158,0.00045727,0.1087,9.06
164,4.666697,0.741887,3.047749,0.882494,0.00045188,0.1093,9.02
165,4.682649,0.730168,3.086920,0.858513,0.00044649,0.1100,8.85
166,4.665028,0.740234,3.321259,0.780576,0.00044112,0.1107,8.94
167,4.659799,0.739633,3.136115,0.846523,0.00043575,0.1113,9.07
168,4.655057,0.740084,3.226549,0.817746,0.00043039,0.1120,9.12
169,4.657149,0.738582,3.029251,0.877698,0.00042503,0.1127,9.03
170,4.624391,0.752254,3.352189,0.779376,0.00041969,0.1133,8.90
171,4.646045,0.749549,3.093895,0.863309,0.00041435,0.1140,9.06
172,4.648469,0.741737,3.303366,0.784173,0.00040903,0.1147,9.06
173,4.652594,0.751202,3.118178,0.865707,0.00040372,0.1153,8.69
174,4.669545,0.737230,3.063647,0.875300,0.00039841,0.1160,8.77
175,4.627942,0.754808,3.190327,0.846523,0.00039312,0.1167,8.89
176,4.646942,0.748047,3.126007,0.851319,0.00038784,0.1173,8.79
177,4.629466,0.743089,3.286797,0.794964,0.00038258,0.1180,9.02
178,4.615763,0.754207,3.017212,0.886091,0.00037733,0.1187,8.83
179,4.631252,0.751653,3.110157,0.850120,0.00037209,0.1193,8.85
180,4.635154,0.746094,3.061492,0.868106,0.00036687,0.1200,8.98
181,4.628725,0.757061,3.596479,0.677458,0.00036166,0.1207,9.44
182,4.622843,0.754507,2.985930,0.901679,0.00035647,0.1213,9.29
183,4.619508,0.751803,3.008314,0.898082,0.00035130,0.1220,8.95
184,4.620445,0.753756,3.114291,0.862110,0.00034615,0.1227,9.34
185,4.615177,0.756611,3.074102,0.872902,0.00034101,0.1233,8.73
186,4.639729,0.745192,3.061050,0.872902,0.00033589,0.1240,9.07
187,4.610671,0.756611,3.083367,0.874101,0.00033079,0.1247,9.23
188,4.615451,0.747746,3.239988,0.817746,0.00032571,0.1253,9.38
189,4.616247,0.752404,3.135885,0.853717,0.00032065,0.1260,9.28
190,4.634773,0.746845,3.091116,0.866906,0.00031562,0.1267,9.05
191,4.609488,0.751202,3.097817,0.864508,0.00031060,0.1273,9.57
192,4.610700,0.759014,3.175909,0.833333,0.00030561,0.1280,8.73
193,4.604287,0.761268,3.037606,0.884892,0.00030064,0.1287,8.69
194,4.618159,0.755859,3.011442,0.898082,0.00029569,0.1293,9.01
195,4.612079,0.762470,3.010107,0.889688,0.00029077,0.1300,9.09
196,4.602963,0.760968,2.987245,0.898082,0.00028587,0.1307,8.87
197,4.616621,0.753606,3.029967,0.887290,0.00028099,0.1313,8.92
198,4.610500,0.757812,3.106906,0.859712,0.00027615,0.1320,9.08
199,4.584151,0.767879,3.050333,0.881295,0.00027132,0.1327,9.19
200,4.598046,0.765475,3.235288,0.821343,0.00026653,0.1333,8.94
201,4.595311,0.762770,3.551647,0.697842,0.00026176,0.1340,9.32
202,4.597264,0.762620,3.143690,0.850120,0.00025702,0.1347,9.03
203,4.612249,0.756010,3.224015,0.817746,0.00025231,0.1353,8.99
204,4.628592,0.753005,2.989539,0.893285,0.00024763,0.1360,8.91
205,4.599112,0.762169,2.992693,0.902878,0.00024298,0.1367,9.49
206,4.595849,0.769832,2.977300,0.898082,0.00023836,0.1373,9.14
207,4.613964,0.750451,3.086176,0.869305,0.00023377,0.1380,9.22
208,4.606109,0.761268,3.044180,0.869305,0.00022921,0.1387,9.03
209,4.606998,0.755258,3.055008,0.875300,0.00022468,0.1393,9.20
210,4.596848,0.758413,3.221207,0.822542,0.00022019,0.1400,9.29
211,4.596885,0.763672,2.977074,0.902878,0.00021572,0.1407,9.24
212,4.595546,0.764273,3.186620,0.840528,0.00021130,0.1413,9.31
213,4.613360,0.755859,2.981951,0.907674,0.00020690,0.1420,9.01
214,4.601404,0.762770,2.986160,0.904077,0.00020254,0.1427,9.01
215,4.605837,0.762921,3.108315,0.850120,0.00019822,0.1433,9.10
216,4.604160,0.760066,3.059952,0.866906,0.00019393,0.1440,9.35
217,4.609951,0.761569,3.016148,0.896882,0.00018967,0.1447,9.13
218,4.594141,0.759014,2.980248,0.907674,0.00018545,0.1453,9.30
219,4.596571,0.768029,2.957469,0.907674,0.00018127,0.1460,9.96
220,4.607110,0.755108,3.054047,0.883693,0.00017713,0.1467,9.16
221,4.611706,0.756460,3.075018,0.869305,0.00017303,0.1473,9.16
222,4.594478,0.765775,2.957598,0.916067,0.00016896,0.1480,8.91
223,4.597540,0.770883,2.937462,0.912470,0.00016493,0.1487,8.74
224,4.609093,0.756310,2.936886,0.912470,0.00016094,0.1493,9.03
225,4.599920,0.757212,2.944971,0.910072,0.00015699,0.1500,8.93
226,4.605841,0.761719,3.021664,0.886091,0.00015309,0.1507,8.75
227,4.594775,0.762620,2.976821,0.902878,0.00014922,0.1513,9.33
228,4.601958,0.756460,3.030300,0.888489,0.00014539,0.1520,8.84
229,4.607713,0.762921,2.951040,0.908873,0.00014161,0.1527,8.89
230,4.602902,0.760066,2.965323,0.911271,0.00013787,0.1533,8.85
231,4.579015,0.769231,2.952495,0.911271,0.00013417,0.1540,9.10
232,4.609835,0.757662,2.968736,0.907674,0.00013051,0.1547,8.90
233,4.595523,0.763371,2.936445,0.913669,0.00012690,0.1553,8.86
234,4.612309,0.758714,3.002070,0.892086,0.00012333,0.1560,9.09
235,4.600672,0.764423,2.934076,0.920863,0.00011980,0.1567,9.00
236,4.604941,0.761118,2.943947,0.911271,0.00011632,0.1573,9.06
237,4.611712,0.761719,2.985686,0.905276,0.00011288,0.1580,9.20
238,4.601047,0.768930,2.948630,0.908873,0.00010949,0.1587,9.26
239,4.602586,0.762019,2.947268,0.910072,0.00010615,0.1593,9.01
240,4.613789,0.759165,2.966318,0.902878,0.00010285,0.1600,9.03
241,4.608266,0.762620,2.955442,0.912470,0.00009960,0.1607,9.14
242,4.615552,0.763071,2.934787,0.918465,0.00009640,0.1613,9.14
243,4.616066,0.756911,2.973564,0.902878,0.00009324,0.1620,9.03
244,4.592551,0.771034,2.922968,0.920863,0.00009013,0.1627,8.86
245,4.605991,0.768930,2.925859,0.912470,0.00008707,0.1633,9.43
246,4.619306,0.759615,2.922906,0.916067,0.00008406,0.1640,9.35
247,4.612185,0.757963,2.938946,0.918465,0.00008109,0.1647,8.91
248,4.601271,0.766376,2.936577,0.918465,0.00007818,0.1653,9.27
249,4.625586,0.756160,2.932456,0.918465,0.00007531,0.1660,8.96
250,4.628148,0.753756,2.922476,0.920863,0.00007250,0.1667,9.03
251,4.620551,0.754808,2.945637,0.913669,0.00006974,0.1673,9.15
252,4.628866,0.756611,2.940333,0.919664,0.00006702,0.1680,8.91
253,4.620663,0.760968,2.945206,0.916067,0.00006436,0.1687,9.64
254,4.639066,0.751653,2.951312,0.912470,0.00006175,0.1693,9.30
255,4.607099,0.762620,2.936296,0.920863,0.00005919,0.1700,9.17
256,4.641453,0.748948,2.921866,0.914868,0.00005668,0.1707,8.98
257,4.625366,0.756310,2.934999,0.912470,0.00005422,0.1713,9.56
258,4.621923,0.755709,2.922050,0.919664,0.00005182,0.1720,9.18
259,4.621058,0.754808,2.920637,0.919664,0.00004946,0.1727,9.00
260,4.635714,0.756160,2.925340,0.917266,0.00004717,0.1733,8.83
261,4.635056,0.750901,2.929473,0.922062,0.00004492,0.1740,8.99
262,4.648607,0.746995,2.926723,0.918465,0.00004273,0.1747,9.17
263,4.652277,0.747145,2.946587,0.914868,0.00004059,0.1753,8.94
264,4.637993,0.748347,2.942155,0.914868,0.00003851,0.1760,9.22
265,4.627008,0.757812,2.921751,0.924460,0.00003648,0.1767,9.16
266,4.644084,0.749700,2.929922,0.922062,0.00003450,0.1773,9.35
267,4.648219,0.748948,2.931390,0.925659,0.00003258,0.1780,9.31
268,4.633432,0.759315,2.921384,0.918465,0.00003071,0.1787,9.12
269,4.649211,0.745493,2.926945,0.920863,0.00002890,0.1793,9.21
270,4.666801,0.745793,2.921581,0.918465,0.00002715,0.1800,9.06
271,4.638218,0.750150,2.922688,0.920863,0.00002545,0.1807,9.35
272,4.646444,0.755559,2.923125,0.918465,0.00002380,0.1813,9.03
273,4.677191,0.749850,2.926576,0.923261,0.00002221,0.1820,8.71
274,4.667792,0.742939,2.922847,0.919664,0.00002068,0.1827,8.84
275,4.665063,0.748498,2.922741,0.925659,0.00001921,0.1833,8.74
276,4.668209,0.745944,2.919798,0.922062,0.00001779,0.1840,9.25
277,4.657825,0.758413,2.933841,0.922062,0.00001642,0.1847,9.04
278,4.666753,0.740835,2.923652,0.924460,0.00001512,0.1853,9.01
279,4.680062,0.736929,2.930993,0.917266,0.00001387,0.1860,8.85
280,4.677820,0.747746,2.932872,0.919664,0.00001268,0.1867,9.15
281,4.678864,0.741436,2.920155,0.920863,0.00001154,0.1873,9.30
282,4.699504,0.733774,2.928648,0.919664,0.00001047,0.1880,9.37
283,4.684336,0.748347,2.926047,0.920863,0.00000945,0.1887,8.97
284,4.683591,0.740685,2.926839,0.919664,0.00000848,0.1893,8.68
285,4.683548,0.742788,2.922995,0.923261,0.00000758,0.1900,9.13
