epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,lr,drop_path,epoch_time_sec
1,9.703305,0.001052,6.800985,0.001199,-1.254418,0.00010900,0.0000,39.19
2,9.557704,0.001202,6.737721,0.001199,-0.639632,0.00020800,0.0000,9.23
3,9.471111,0.000901,6.724156,0.001199,-0.270741,0.00030700,0.0000,8.98
4,9.434569,0.000601,6.706613,0.005995,-0.276874,0.00040600,0.0000,9.01
5,9.351297,0.002855,6.661832,0.005995,-1.007107,0.00050500,0.0000,9.03
6,9.145245,0.006010,6.641690,0.005995,-1.650135,0.00060400,0.0000,9.01
7,8.857190,0.011418,6.229369,0.008393,-1.442067,0.00070300,0.0000,8.99
8,8.506508,0.022686,6.144441,0.017986,-1.667410,0.00080200,0.0000,9.03
9,8.139618,0.042067,5.621617,0.051559,-1.161984,0.00090100,0.0000,8.97
10,7.792762,0.068209,5.451299,0.073141,-1.165033,0.00100000,0.0000,9.04
11,7.456929,0.104567,5.354401,0.088729,-1.336887,0.00099997,0.0000,9.01
12,7.119958,0.150992,6.102951,0.073141,-2.699446,0.00099988,0.0000,8.97
13,6.798146,0.206280,4.711090,0.231415,-0.860295,0.00099974,0.0000,8.95
14,6.515099,0.256160,4.774829,0.233813,-1.056766,0.00099953,0.0000,9.02
15,6.262730,0.309345,4.205181,0.417266,-0.322868,0.00099927,0.0000,9.01
16,5.979021,0.375000,4.193001,0.410072,-0.328643,0.00099895,0.0000,9.04
17,5.730212,0.430138,3.988661,0.525180,-0.089183,0.00099856,0.0000,9.05
18,5.470778,0.490535,4.091781,0.424460,-0.346009,0.00099813,0.0000,9.05
19,5.265976,0.542969,3.974688,0.484412,-0.167974,0.00099763,0.0000,9.05
20,5.059307,0.597055,3.665396,0.574341,0.254050,0.00099707,0.0000,9.09
21,4.834958,0.654447,4.118087,0.430456,-0.465907,0.00099646,0.0000,9.09
22,4.685188,0.690655,4.282911,0.376499,-0.701367,0.00099579,0.0000,8.96
23,4.510864,0.741436,3.599313,0.598321,0.313393,0.00099505,0.0000,8.98
24,4.373108,0.773588,3.945467,0.436451,-0.315646,0.00099427,0.0000,9.14
25,4.245784,0.804838,3.203399,0.760192,0.986960,0.00099342,0.0000,9.03
26,4.139586,0.838041,3.074819,0.799760,1.292379,0.00099252,0.0000,9.08
