epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.693757,0.001653,6.811592,0.002398,0.00010900,0.0000,20.66
2,9.561887,0.001502,6.739664,0.001199,0.00020800,0.0000,19.89
3,9.473772,0.000601,6.726151,0.000000,0.00030700,0.0000,19.89
4,9.433665,0.001352,6.702816,0.003597,0.00040600,0.0000,20.15
5,9.352600,0.002704,6.651898,0.000000,0.00050500,0.0000,20.00
6,9.182839,0.004357,6.455418,0.008393,0.00060400,0.0000,20.01
7,8.987180,0.006310,6.347319,0.004796,0.00070300,0.0000,19.90
8,8.754399,0.011118,6.051425,0.023981,0.00080200,0.0000,19.76
9,8.455386,0.022536,6.106825,0.019185,0.00090100,0.0000,19.94
10,8.093137,0.039964,6.314546,0.016787,0.00100000,0.0000,20.08
11,7.781513,0.063552,5.549274,0.067146,0.00099997,0.0000,19.95
12,7.493041,0.088041,5.410392,0.089928,0.00099988,0.0000,19.66
13,7.185050,0.120643,4.939073,0.181055,0.00099974,0.0000,19.83
14,6.888266,0.167668,5.249794,0.105516,0.00099953,0.0000,19.87
15,6.644165,0.215144,4.920538,0.182254,0.00099927,0.0000,19.71
16,6.419406,0.257812,5.866023,0.044365,0.00099895,0.0000,19.89
17,6.205456,0.294020,4.818718,0.223022,0.00099856,0.0000,19.93
18,6.006659,0.344651,4.597778,0.261391,0.00099813,0.0000,20.30
19,5.799264,0.394832,5.593926,0.076739,0.00099763,0.0000,19.95
20,5.611157,0.453876,5.720766,0.069544,0.00099707,0.0000,20.01
21,5.433918,0.485877,4.391528,0.342926,0.00099646,0.0000,19.86
22,5.251182,0.539964,3.850040,0.546763,0.00099579,0.0000,19.48
23,5.120787,0.565204,5.076358,0.153477,0.00099505,0.0000,19.81
24,4.978423,0.611028,4.041695,0.465228,0.00099427,0.0000,19.64
25,4.828472,0.653696,3.916731,0.491607,0.00099342,0.0000,19.37
26,4.699998,0.678035,3.980173,0.480815,0.00099252,0.0000,19.60
27,4.586830,0.710637,4.060225,0.420863,0.00099155,0.0000,19.70
28,4.463791,0.735126,3.560883,0.610312,0.00099053,0.0000,19.88
29,4.373786,0.765174,3.180596,0.792566,0.00098946,0.0000,20.01
30,4.284452,0.793870,3.448942,0.652278,0.00098832,0.0000,20.13
31,4.208970,0.813552,3.082000,0.798561,0.00098713,0.0000,20.05
32,4.127027,0.833233,3.055516,0.814149,0.00098588,0.0000,20.30
33,4.048723,0.854567,4.109190,0.363309,0.00098458,0.0000,19.92
34,3.985260,0.873798,2.991246,0.848921,0.00098321,0.0000,19.88
35,3.932154,0.878606,3.115586,0.797362,0.00098179,0.0000,19.83
36,3.870544,0.896635,2.967014,0.845324,0.00098032,0.0000,19.82
37,3.824977,0.904898,2.903931,0.863309,0.00097879,0.0000,19.61
38,3.786003,0.915715,3.429256,0.661871,0.00097720,0.0000,19.59
