epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,lr,drop_path,epoch_time_sec
1,46.977759,0.001488,14.883489,0.001199,-13.709225,0.00010900,0.0000,10.09
2,44.078101,0.001637,8.887559,0.001199,-5.437524,0.00020800,0.0000,9.22
3,42.257214,0.000744,7.320721,0.002398,-3.554587,0.00030700,0.0000,9.57
4,41.733539,0.000595,6.944935,0.003597,-2.487354,0.00040600,0.0000,9.16
5,41.419492,0.000595,6.950921,0.003597,-2.808049,0.00050500,0.0000,9.21
6,41.033735,0.000744,6.929231,0.007194,-3.269797,0.00060400,0.0000,9.14
7,40.383581,0.000298,6.616952,0.021583,-2.733618,0.00070300,0.0000,9.21
8,39.651197,0.000595,6.289874,0.015588,-2.836884,0.00080200,0.0000,9.20
9,38.763081,0.000298,6.477517,0.017986,-3.651953,0.00090100,0.0000,9.29
10,37.901944,0.002381,6.147411,0.025180,-3.339688,0.00100000,0.0000,9.21
11,37.020632,0.002232,5.605828,0.041966,-2.558465,0.00099997,0.0000,9.14
12,36.069932,0.004762,5.812689,0.033573,-3.542223,0.00099988,0.0000,9.19
13,35.092707,0.004315,5.011450,0.097122,-2.444803,0.00099974,0.0000,9.14
14,33.749697,0.005952,5.004184,0.097122,-2.525252,0.00099953,0.0000,9.17
15,31.560035,0.005952,5.500656,0.058753,-3.029161,0.00099927,0.0000,9.13
16,27.734910,0.005357,5.533946,0.074341,-1.812350,0.00099895,0.0000,9.15
17,21.913888,0.001786,6.586960,0.015588,-0.742281,0.00099856,0.0000,9.11
18,17.316079,0.000149,6.732768,0.001199,-0.471962,0.00099813,0.0000,9.12
19,17.053441,0.000149,6.731683,0.001199,-0.435122,0.00099763,0.0000,9.12
20,17.023596,0.000000,6.730762,0.001199,-0.361174,0.00099707,0.0000,9.15
21,17.042069,0.000000,6.730256,0.001199,-0.359825,0.00099646,0.0000,9.21
22,17.033233,0.000000,6.729963,0.001199,-0.350387,0.00099579,0.0000,9.27
23,17.029784,0.000149,6.729630,0.001199,-0.355686,0.00099505,0.0000,9.17
24,16.991834,0.000149,6.729069,0.001199,-0.307420,0.00099427,0.0000,9.13
25,17.030325,0.000149,6.729179,0.001199,-0.363372,0.00099342,0.0000,9.17
26,17.031831,0.000298,6.728901,0.001199,-0.286624,0.00099252,0.0000,9.15
27,17.042089,0.000000,6.728746,0.001199,-0.303569,0.00099155,0.0000,9.20
28,17.037303,0.000000,6.728477,0.001199,-0.252010,0.00099053,0.0000,9.16
29,17.042498,0.000298,6.728490,0.001199,-0.283184,0.00098946,0.0000,9.22
30,17.027634,0.000149,6.728235,0.001199,-0.247725,0.00098832,0.0000,9.19
31,16.986262,0.000000,6.728404,0.001199,-0.241636,0.00098713,0.0000,9.59
32,17.012720,0.000149,6.728192,0.001199,-0.221891,0.00098588,0.0000,9.52
33,17.015862,0.000000,6.728108,0.001199,-0.257049,0.00098458,0.0000,9.24
34,17.015449,0.000000,6.728047,0.001199,-0.265860,0.00098321,0.0000,9.19
35,17.005426,0.000149,6.727979,0.001199,-0.215209,0.00098179,0.0000,9.33
36,16.992554,0.000000,6.727998,0.001199,-0.246515,0.00098032,0.0000,9.12
37,16.999732,0.000000,6.728159,0.001199,-0.296225,0.00097879,0.0000,9.14
