epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,lr,drop_path,epoch_time_sec
1,18.331106,0.000893,15.357498,0.001199,-14.007046,0.00010900,0.0000,9.64
2,16.964603,0.000893,9.275972,0.001199,-6.277621,0.00020800,0.0000,9.12
3,16.707549,0.000595,7.465835,0.001199,-3.729895,0.00030700,0.0000,8.99
4,17.706362,0.000744,7.117527,0.004796,-3.208539,0.00040600,0.0000,9.03
5,19.250144,0.000595,7.024703,0.004796,-3.276676,0.00050500,0.0000,9.02
6,20.573639,0.000893,6.877515,0.007194,-3.634232,0.00060400,0.0000,9.00
7,21.761699,0.000446,6.866701,0.010791,-3.907508,0.00070300,0.0000,9.02
8,22.719562,0.000298,6.072135,0.023981,-3.316124,0.00080200,0.0000,9.06
9,23.557614,0.002381,9.616078,0.003597,-7.961285,0.00090100,0.0000,9.10
10,24.326868,0.002827,6.719432,0.015588,-4.612078,0.00100000,0.0000,9.00
11,25.147719,0.006548,6.224099,0.025180,-4.017549,0.00099997,0.0000,9.08
12,25.877129,0.009524,5.566646,0.053957,-3.454648,0.00099988,0.0000,9.04
13,26.754656,0.015625,4.110224,0.137890,-2.004548,0.00099974,0.0000,9.24
14,27.719808,0.028869,5.166792,0.073141,-3.446982,0.00099953,0.0000,9.06
15,28.760778,0.043155,3.961128,0.172662,-1.930906,0.00099927,0.0000,9.00
16,29.878616,0.060565,5.100978,0.070743,-3.264336,0.00099895,0.0000,9.02
17,31.012192,0.088690,3.680337,0.214628,-1.849213,0.00099856,0.0000,9.02
18,32.160952,0.123958,3.137827,0.303357,-1.276199,0.00099813,0.0000,9.06
19,33.357058,0.158036,3.252104,0.284173,-1.570626,0.00099763,0.0000,9.06
20,34.454051,0.196429,3.286501,0.316547,-1.659064,0.00099707,0.0000,9.05
21,34.096024,0.242113,4.835301,0.182254,-3.623315,0.00099646,0.0000,9.02
22,33.809936,0.279464,3.082098,0.341727,-1.229384,0.00099579,0.0000,9.01
23,33.423441,0.335119,3.077947,0.340528,-1.222520,0.00099505,0.0000,9.03
24,33.010762,0.393304,3.278725,0.381295,-1.306256,0.00099427,0.0000,9.05
25,32.562136,0.435863,3.196552,0.402878,-1.082480,0.00099342,0.0000,9.03
26,32.051877,0.480060,4.578122,0.224221,-3.186343,0.00099252,0.0000,9.06
27,31.464108,0.531696,2.517300,0.516787,0.454811,0.00099155,0.0000,9.02
28,30.712491,0.577679,4.942833,0.257794,-3.639505,0.00099053,0.0000,9.02
29,29.820581,0.638988,4.335384,0.350120,-2.412587,0.00098946,0.0000,9.04
30,28.750249,0.688542,2.444099,0.601918,1.136331,0.00098832,0.0000,9.02
31,27.805713,0.730506,1.620050,0.737410,4.365953,0.00098713,0.0000,9.10
32,26.718702,0.772470,1.573797,0.751799,4.765362,0.00098588,0.0000,9.03
33,25.684839,0.805655,0.954015,0.838129,7.399535,0.00098458,0.0000,9.04
34,24.684498,0.828423,1.674784,0.747002,5.388833,0.00098321,0.0000,9.00
35,23.641365,0.856101,1.185103,0.816547,6.975767,0.00098179,0.0000,9.03
36,22.687666,0.881994,1.066012,0.842926,7.527226,0.00098032,0.0000,8.99
37,21.826746,0.890476,2.587529,0.641487,2.275386,0.00097879,0.0000,9.02
38,21.013683,0.903423,0.652104,0.896882,10.139016,0.00097720,0.0000,9.01
39,20.430878,0.918155,0.814471,0.880096,9.643196,0.00097555,0.0000,9.03
40,19.747900,0.923958,0.423524,0.937650,13.028397,0.00097385,0.0000,9.01
41,19.045149,0.934821,0.855478,0.881295,10.371419,0.00097210,0.0000,9.08
42,18.322432,0.944494,0.561815,0.912470,11.592460,0.00097029,0.0000,9.06
43,17.838564,0.947024,0.479509,0.925659,13.339596,0.00096842,0.0000,9.03
44,17.142832,0.956399,0.365479,0.942446,15.178258,0.00096650,0.0000,9.04
45,16.802807,0.960119,0.458323,0.931655,13.533260,0.00096452,0.0000,9.00
46,16.252672,0.961905,0.330527,0.947242,14.247731,0.00096249,0.0000,9.03
47,16.017795,0.966518,0.404724,0.934053,12.718873,0.00096041,0.0000,9.03
48,15.702108,0.966220,0.270955,0.960432,16.227551,0.00095827,0.0000,8.99
49,15.190741,0.970685,0.244747,0.961631,16.532569,0.00095608,0.0000,9.01
50,14.827743,0.972619,0.322073,0.949640,14.808007,0.00095383,0.0000,9.03
51,14.472397,0.973363,0.225312,0.958034,16.853712,0.00095154,0.0000,9.02
52,14.178380,0.980208,0.162928,0.974820,18.215779,0.00094918,0.0000,8.98
53,13.881911,0.976637,0.198643,0.972422,19.183795,0.00094678,0.0000,9.03
54,13.625277,0.980804,0.202205,0.962830,18.008686,0.00094432,0.0000,9.03
55,13.250736,0.983631,0.154289,0.968825,18.836658,0.00094181,0.0000,9.10
56,13.329601,0.979762,0.270713,0.958034,17.077493,0.00093925,0.0000,9.19
57,12.870027,0.986458,0.185643,0.973621,18.357465,0.00093664,0.0000,9.39
58,12.699339,0.986161,0.152145,0.971223,18.976420,0.00093398,0.0000,9.00
59,12.525723,0.985119,0.188248,0.971223,18.393911,0.00093126,0.0000,9.01
60,12.377788,0.986310,0.186696,0.972422,18.157357,0.00092850,0.0000,9.03
61,12.179467,0.988095,0.174351,0.970024,19.410941,0.00092569,0.0000,9.04
62,11.900801,0.987054,0.197885,0.968825,18.532446,0.00092282,0.0000,8.97
63,11.632408,0.988095,0.125606,0.973621,20.049133,0.00091991,0.0000,8.99
64,11.599767,0.988839,0.140298,0.973621,19.057776,0.00091694,0.0000,8.99
65,11.336120,0.989881,0.137323,0.970024,19.128461,0.00091393,0.0000,9.06
