epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,lr,drop_path,epoch_time_sec
1,6.999451,0.000744,6.820190,0.002398,-1.353045,0.00010900,0.0000,9.54
2,6.857048,0.000893,6.737788,0.002398,-0.547227,0.00020800,0.0000,9.05
3,6.780619,0.001339,6.728508,0.001199,-0.372993,0.00030700,0.0000,8.98
4,6.756660,0.001042,6.724704,0.001199,-0.187754,0.00040600,0.0000,9.20
5,6.744051,0.000744,6.716804,0.002398,-0.224439,0.00050500,0.0000,9.17
6,6.738151,0.000744,6.713589,0.002398,-0.207109,0.00060400,0.0000,9.05
7,6.711566,0.001042,6.648059,0.005995,-0.497154,0.00070300,0.0000,8.93
8,6.647714,0.001042,6.981640,0.002398,-2.680200,0.00080200,0.0000,8.96
9,6.560255,0.001190,6.444922,0.005995,-1.044859,0.00090100,0.0000,8.98
10,6.460219,0.002679,6.339458,0.003597,-1.519534,0.00100000,0.0000,8.95
11,6.353700,0.006101,6.212123,0.009592,-1.633666,0.00099997,0.0000,9.02
12,6.198678,0.006994,6.146769,0.011990,-1.980411,0.00099988,0.0000,8.99
13,6.019881,0.010714,5.453187,0.041966,-1.359556,0.00099974,0.0000,8.97
14,5.837364,0.020238,5.192536,0.039568,-1.285198,0.00099953,0.0000,8.99
15,5.695777,0.028571,4.722298,0.088729,-0.934297,0.00099927,0.0000,9.02
16,5.553592,0.044494,4.585818,0.107914,-1.003462,0.00099895,0.0000,9.11
17,5.428821,0.055506,6.007406,0.023981,-3.293716,0.00099856,0.0000,9.02
18,5.316996,0.074107,4.453549,0.103118,-1.332219,0.00099813,0.0000,9.02
19,5.231212,0.088393,3.859599,0.201439,-0.791710,0.00099763,0.0000,9.05
20,5.134297,0.104167,4.015532,0.191847,-0.746249,0.00099707,0.0000,9.09
21,5.027057,0.134375,3.890020,0.211031,-0.760762,0.00099646,0.0000,9.20
22,4.968597,0.149256,3.813320,0.219424,-0.881174,0.00099579,0.0000,9.46
23,4.868409,0.181548,5.715439,0.061151,-3.444922,0.00099505,0.0000,9.61
24,4.775202,0.211161,3.986852,0.165468,-1.433011,0.00099427,0.0000,9.17
25,4.682070,0.231250,3.579038,0.252998,-0.995927,0.00099342,0.0000,9.26
26,4.577736,0.266815,3.318518,0.294964,-0.686299,0.00099252,0.0000,9.40
27,4.492359,0.302381,3.044734,0.378897,-0.460126,0.00099155,0.0000,8.94
28,4.411561,0.331250,3.719232,0.207434,-1.368056,0.00099053,0.0000,9.07
29,4.327898,0.363690,2.450066,0.550360,0.070788,0.00098946,0.0000,9.43
30,4.241728,0.396875,2.506607,0.514388,-0.035535,0.00098832,0.0000,10.93
31,4.171985,0.416220,2.332730,0.601918,0.258652,0.00098713,0.0000,13.72
32,4.079233,0.459375,2.172659,0.661871,0.354534,0.00098588,0.0000,13.87
33,4.005246,0.489137,3.110417,0.292566,-0.911636,0.00098458,0.0000,15.14
34,3.971426,0.494048,2.434945,0.488010,-0.181876,0.00098321,0.0000,15.92
35,3.846694,0.547024,2.078946,0.585132,0.278853,0.00098179,0.0000,16.19
36,3.768565,0.587946,2.368805,0.511990,-0.045696,0.00098032,0.0000,15.96
37,3.675477,0.625893,1.693648,0.719424,0.766619,0.00097879,0.0000,16.01
38,3.579675,0.652976,2.443327,0.458034,-0.313129,0.00097720,0.0000,16.04
39,3.536359,0.675000,1.759735,0.694245,0.631366,0.00097555,0.0000,16.08
40,3.491750,0.679167,1.340887,0.808153,1.258291,0.00097385,0.0000,16.38
41,3.426047,0.708185,1.505440,0.742206,0.994186,0.00097210,0.0000,16.22
42,3.336312,0.740774,1.364642,0.821343,1.226181,0.00097029,0.0000,16.23
43,3.294655,0.767708,1.231522,0.845324,1.441339,0.00096842,0.0000,16.03
44,3.210754,0.792708,1.051869,0.881295,1.752614,0.00096650,0.0000,15.97
45,3.173684,0.802827,1.781450,0.659472,0.531183,0.00096452,0.0000,16.14
46,3.125560,0.817857,1.266051,0.833333,1.396327,0.00096249,0.0000,16.01
47,3.077839,0.842560,1.253393,0.832134,1.382967,0.00096041,0.0000,16.15
48,3.041804,0.850595,0.864475,0.911271,2.074126,0.00095827,0.0000,16.01
49,2.975431,0.878869,1.126172,0.836930,1.538721,0.00095608,0.0000,15.98
50,2.949133,0.882440,0.775410,0.916067,2.269368,0.00095383,0.0000,16.08
51,2.909757,0.895536,1.298785,0.787770,1.274704,0.00095154,0.0000,15.91
52,2.877165,0.906845,0.999737,0.878897,1.803547,0.00094918,0.0000,16.10
53,2.839703,0.908482,0.869953,0.908873,2.067876,0.00094678,0.0000,15.92
54,2.828440,0.913095,0.758079,0.914868,2.361934,0.00094432,0.0000,15.95
55,2.788761,0.929762,0.734010,0.926859,2.431667,0.00094181,0.0000,15.83
56,2.773929,0.929613,0.608545,0.947242,2.731506,0.00093925,0.0000,15.90
57,2.742964,0.939286,0.659057,0.949640,2.625645,0.00093664,0.0000,15.78
58,2.712099,0.943899,1.034615,0.869305,1.771771,0.00093398,0.0000,16.08
59,2.695946,0.946875,0.762245,0.923261,2.346529,0.00093126,0.0000,15.96
60,2.675209,0.953720,0.709431,0.934053,2.456617,0.00092850,0.0000,15.96
61,2.635909,0.959821,0.488603,0.976019,3.178103,0.00092569,0.0000,15.95
62,2.625389,0.963690,0.496821,0.973621,3.147209,0.00092282,0.0000,16.01
63,2.612489,0.965774,0.925374,0.892086,2.022117,0.00091991,0.0000,16.01
64,2.592398,0.968750,0.706989,0.937650,2.510980,0.00091694,0.0000,15.85
65,2.580761,0.969792,0.958369,0.881295,1.988569,0.00091393,0.0000,15.96
66,2.563175,0.975893,0.585600,0.949640,2.844850,0.00091087,0.0000,15.82
