epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,consistency_loss,view_agreement,lr,drop_path,epoch_time_sec
1,18.309803,0.001190,15.606295,0.000000,-14.584423,0.332247,0.524554,0.00010900,0.0000,36.30
2,16.895908,0.000595,8.809897,0.002398,-5.810983,0.307579,0.275298,0.00020800,0.0000,35.43
3,16.531760,0.000446,7.040745,0.003597,-2.948281,0.170013,0.087054,0.00030700,0.0000,35.97
4,17.602255,0.000595,6.716123,0.005995,-2.749213,0.109413,0.095833,0.00040600,0.0000,34.88
5,19.128807,0.000298,6.546451,0.009592,-2.776161,0.092277,0.159226,0.00050500,0.0000,34.71
6,20.416851,0.000744,6.465486,0.016787,-3.280148,0.087921,0.220238,0.00060400,0.0000,34.81
7,21.580301,0.001339,6.043996,0.027578,-3.009596,0.092528,0.289137,0.00070300,0.0000,34.14
8,22.488229,0.003125,5.588524,0.053957,-2.812194,0.105767,0.336458,0.00080200,0.0000,35.16
9,23.358738,0.005060,5.992100,0.033573,-3.864260,0.120057,0.368304,0.00090100,0.0000,35.33
10,24.201959,0.007887,4.877397,0.093525,-2.531029,0.126580,0.377530,0.00100000,0.0000,35.14
11,25.042618,0.010268,4.406462,0.133094,-2.097070,0.132911,0.406101,0.00099997,0.0000,35.87
12,25.769327,0.026637,4.031727,0.197842,-1.883762,0.143154,0.409077,0.00099988,0.0000,35.59
13,26.650508,0.045982,4.073232,0.163070,-2.013857,0.147903,0.415625,0.00099974,0.0000,34.82
14,27.575961,0.088988,3.384174,0.284173,-1.264763,0.153064,0.420982,0.00099953,0.0000,35.63
15,28.571400,0.138393,3.133136,0.323741,-1.051632,0.164589,0.435119,0.00099927,0.0000,35.69
16,29.618668,0.205060,3.039487,0.332134,-1.047469,0.174805,0.466369,0.00099895,0.0000,34.46
17,30.717856,0.285119,2.465150,0.456835,-0.396095,0.188922,0.483482,0.00099856,0.0000,36.09
18,31.811906,0.349554,2.369181,0.484412,-0.249599,0.206192,0.529315,0.00099813,0.0000,35.07
19,32.913156,0.425298,2.266798,0.479616,-0.038469,0.230129,0.553869,0.00099763,0.0000,35.67
20,33.971881,0.485565,1.877713,0.583933,0.674459,0.252844,0.591220,0.00099707,0.0000,35.98
21,33.527380,0.546131,1.811630,0.585132,0.896761,0.297392,0.628571,0.00099646,0.0000,34.19
22,33.178406,0.600000,1.626550,0.652278,1.747203,0.353061,0.653423,0.00099579,0.0000,35.18
23,32.596672,0.656548,1.710447,0.619904,1.840374,0.433366,0.693899,0.00099505,0.0000,35.41
24,32.056263,0.709077,1.969969,0.623501,1.805234,0.520810,0.728869,0.00099427,0.0000,35.21
25,31.276914,0.748214,1.516297,0.709832,3.714789,0.626921,0.754464,0.00099342,0.0000,35.88
26,30.246967,0.802679,1.584472,0.711031,4.349838,0.735094,0.796131,0.00099252,0.0000,35.45
27,29.102294,0.836161,1.179138,0.796163,6.111791,0.795775,0.832143,0.00099155,0.0000,35.67
28,27.849582,0.872470,0.936722,0.851319,7.810299,0.801298,0.855060,0.00099053,0.0000,35.69
29,26.510049,0.901786,0.964415,0.828537,7.678101,0.788795,0.880655,0.00098946,0.0000,35.16
30,25.196138,0.919643,0.780114,0.857314,9.287513,0.743807,0.905952,0.00098832,0.0000,35.23
31,24.100873,0.936607,0.677149,0.886091,10.894376,0.720102,0.919940,0.00098713,0.0000,34.38
32,22.932726,0.945238,0.603951,0.892086,11.340155,0.683449,0.924107,0.00098588,0.0000,35.73
33,21.859062,0.953274,0.506197,0.916067,12.746026,0.645552,0.940327,0.00098458,0.0000,34.73
34,21.059539,0.961012,0.468625,0.918465,13.329639,0.617012,0.945833,0.00098321,0.0000,34.24
35,20.226881,0.967113,0.448725,0.928058,13.796395,0.586057,0.950298,0.00098179,0.0000,35.04
36,19.316401,0.975149,0.412579,0.926859,14.070844,0.532615,0.959226,0.00098032,0.0000,35.27
37,18.790610,0.974256,0.323487,0.942446,15.283443,0.511552,0.959226,0.00097879,0.0000,36.03
38,17.871510,0.979018,0.362116,0.937650,15.525972,0.465445,0.965774,0.00097720,0.0000,35.04
39,17.445392,0.982143,0.309479,0.947242,15.967330,0.451117,0.974405,0.00097555,0.0000,36.02
40,16.942890,0.983482,0.356918,0.940048,15.877143,0.432479,0.972768,0.00097385,0.0000,35.11
41,16.377340,0.985565,0.293765,0.950839,16.004045,0.411590,0.976339,0.00097210,0.0000,35.76
42,16.061626,0.987054,0.235066,0.956835,15.799448,0.392275,0.979167,0.00097029,0.0000,34.28
43,15.630406,0.987054,0.256597,0.955635,17.425520,0.375653,0.979911,0.00096842,0.0000,34.88
44,15.192778,0.989732,0.245583,0.962830,17.511478,0.349093,0.983482,0.00096650,0.0000,34.13
45,14.980184,0.989286,0.225025,0.965228,18.212385,0.347849,0.981845,0.00096452,0.0000,34.33
46,14.567399,0.991369,0.223671,0.961631,17.943754,0.328937,0.985268,0.00096249,0.0000,34.90
47,14.346486,0.991518,0.168793,0.964029,19.391583,0.315505,0.985714,0.00096041,0.0000,35.68
48,13.922993,0.991815,0.130586,0.977218,19.628002,0.302067,0.986607,0.00095827,0.0000,35.32
49,13.737719,0.993750,0.157483,0.967626,18.922131,0.295401,0.987649,0.00095608,0.0000,35.62
50,13.690532,0.993006,0.187045,0.971223,19.206191,0.292148,0.988542,0.00095383,0.0000,34.24
51,13.282169,0.994196,0.174144,0.971223,19.251286,0.280654,0.988542,0.00095154,0.0000,35.40
52,12.871792,0.995833,0.106225,0.973621,20.389373,0.259290,0.991964,0.00094918,0.0000,35.62
