epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,consistency_loss,view_agreement,lr,drop_path,epoch_time_sec
1,18.264186,0.000893,15.075507,0.002398,-13.701643,0.472545,0.430357,0.00010900,0.0000,24.51
2,16.832481,0.000744,9.075179,0.000000,-5.874721,0.430025,0.177679,0.00020800,0.0000,25.36
3,16.571321,0.000744,7.240770,0.002398,-3.337754,0.211473,0.069940,0.00030700,0.0000,25.13
4,17.589225,0.000149,6.780818,0.004796,-2.741756,0.109186,0.103274,0.00040600,0.0000,24.88
5,19.116648,0.000446,6.670401,0.008393,-2.936424,0.086743,0.160268,0.00050500,0.0000,25.85
6,20.410117,0.000149,6.704085,0.016787,-3.433653,0.080796,0.235417,0.00060400,0.0000,23.63
7,21.626410,0.000893,6.253498,0.020384,-3.126427,0.080931,0.299554,0.00070300,0.0000,31.93
8,22.540720,0.002232,5.905909,0.031175,-3.321968,0.093696,0.358929,0.00080200,0.0000,31.68
9,23.409296,0.002827,5.413781,0.051559,-2.921109,0.108553,0.364732,0.00090100,0.0000,31.46
10,24.227741,0.006696,5.102311,0.073141,-2.675972,0.117780,0.393452,0.00100000,0.0000,31.09
11,25.060354,0.009673,5.547335,0.045564,-3.614591,0.124447,0.410119,0.00099997,0.0000,31.13
12,25.782960,0.017113,4.750622,0.093525,-2.559825,0.127174,0.423958,0.00099988,0.0000,31.79
13,26.715131,0.036905,4.270339,0.127098,-2.179455,0.131275,0.421429,0.00099974,0.0000,31.74
14,27.693187,0.058780,4.152956,0.139089,-2.051559,0.133492,0.437798,0.00099953,0.0000,31.59
15,28.780648,0.086161,4.180833,0.154676,-2.236676,0.136743,0.440625,0.00099927,0.0000,31.96
16,29.877195,0.133185,5.711066,0.073141,-3.865266,0.144353,0.448363,0.00099895,0.0000,31.17
17,31.073031,0.183482,3.630755,0.220624,-1.749213,0.151983,0.467411,0.00099856,0.0000,31.60
18,32.209719,0.226786,2.941166,0.354916,-0.781127,0.159510,0.489435,0.00099813,0.0000,31.75
19,33.383142,0.290774,2.739113,0.395683,-0.720212,0.171025,0.518899,0.00099763,0.0000,31.50
20,34.479711,0.363244,4.566346,0.151079,-2.776820,0.190838,0.537649,0.00099707,0.0000,31.22
21,34.132628,0.422619,2.100796,0.509592,0.162432,0.213494,0.569048,0.00099646,0.0000,31.35
22,33.857109,0.478571,1.748897,0.606715,0.803997,0.241179,0.590179,0.00099579,0.0000,31.34
23,33.485761,0.536458,3.096800,0.380096,-1.179598,0.286645,0.618899,0.00099505,0.0000,31.55
24,33.168760,0.582887,1.665212,0.628297,1.248246,0.335302,0.649107,0.00099427,0.0000,31.83
25,32.810729,0.625149,1.883805,0.588729,1.136318,0.404405,0.665774,0.00099342,0.0000,31.48
26,32.201605,0.682440,2.731086,0.430456,-0.390491,0.499890,0.712054,0.00099252,0.0000,30.96
27,31.594447,0.730952,1.997037,0.604317,1.947608,0.592104,0.742560,0.00099155,0.0000,31.58
28,31.067484,0.748214,2.879720,0.544365,0.698109,0.682988,0.754762,0.00099053,0.0000,31.67
29,30.051708,0.809970,1.163749,0.784173,4.951871,0.734853,0.796131,0.00098946,0.0000,31.27
30,29.105699,0.835863,1.208959,0.774580,5.473985,0.783956,0.821875,0.00098832,0.0000,31.39
31,27.986328,0.868750,1.130509,0.809353,6.189746,0.814334,0.849256,0.00098713,0.0000,31.79
32,27.023818,0.890179,1.833943,0.700240,4.187217,0.828492,0.876190,0.00098588,0.0000,31.59
33,25.806649,0.915327,1.032901,0.821343,7.336799,0.807065,0.895536,0.00098458,0.0000,31.49
34,24.821126,0.923512,0.832491,0.857314,9.240687,0.779316,0.904018,0.00098321,0.0000,31.63
35,23.749725,0.939286,0.747202,0.866906,9.347520,0.737111,0.922024,0.00098179,0.0000,31.25
36,22.656964,0.949702,0.568013,0.910072,11.513015,0.699979,0.930060,0.00098032,0.0000,31.96
37,21.857184,0.959524,0.717994,0.894484,10.515648,0.651984,0.940327,0.00097879,0.0000,31.14
38,20.817146,0.966220,0.479338,0.930456,13.438240,0.601395,0.947024,0.00097720,0.0000,31.37
39,20.221269,0.968452,0.475077,0.919664,12.393019,0.576257,0.951339,0.00097555,0.0000,31.90
40,19.566445,0.969643,0.452225,0.937650,13.916534,0.551463,0.956548,0.00097385,0.0000,31.90
41,18.789521,0.977381,0.443683,0.936451,14.087860,0.518264,0.970387,0.00097210,0.0000,31.81
42,18.323292,0.978869,0.587485,0.917266,11.930212,0.491591,0.966220,0.00097029,0.0000,31.77
43,17.680970,0.981101,0.379888,0.942446,15.107871,0.451872,0.971131,0.00096842,0.0000,31.60
44,17.151085,0.982887,0.328688,0.960432,15.596600,0.426772,0.975595,0.00096650,0.0000,31.42
45,16.831236,0.985268,0.287411,0.960432,16.601809,0.420258,0.977679,0.00096452,0.0000,31.38
46,16.274170,0.987351,0.254252,0.959233,16.517605,0.384008,0.980208,0.00096249,0.0000,31.76
47,15.941335,0.988393,0.276884,0.960432,16.544223,0.372899,0.979762,0.00096041,0.0000,31.73
48,15.604990,0.988095,0.237132,0.967626,17.699523,0.370794,0.981101,0.00095827,0.0000,31.78
49,15.306021,0.991220,0.215111,0.967626,17.721944,0.344920,0.984673,0.00095608,0.0000,31.88
50,14.908588,0.991667,0.279018,0.961631,17.207146,0.332001,0.985268,0.00095383,0.0000,31.34
51,14.581263,0.992113,0.288787,0.965228,17.655665,0.324138,0.986310,0.00095154,0.0000,31.43
52,14.309413,0.992262,0.210665,0.970024,18.796935,0.300150,0.987798,0.00094918,0.0000,31.80
53,14.064679,0.993304,0.228055,0.971223,18.492861,0.295213,0.988095,0.00094678,0.0000,31.56
54,13.819431,0.994792,0.257620,0.971223,18.904627,0.277007,0.988988,0.00094432,0.0000,31.50
55,13.391906,0.993750,0.182877,0.976019,19.416716,0.268135,0.989137,0.00094181,0.0000,31.43
56,13.427020,0.994494,0.239426,0.968825,18.916492,0.253889,0.993155,0.00093925,0.0000,31.84
57,12.970341,0.995685,0.158643,0.974820,19.002857,0.248953,0.991220,0.00093664,0.0000,31.83
58,12.849493,0.994345,0.189709,0.972422,20.255652,0.242375,0.991518,0.00093398,0.0000,31.56
59,12.762230,0.995833,0.155282,0.973621,20.475266,0.234432,0.992708,0.00093126,0.0000,31.77
