epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,consistency_loss,view_agreement,lr,drop_path,epoch_time_sec
1,18.392607,0.001339,15.515006,0.000000,-14.220976,0.000000,1.000000,0.00010900,0.0000,13.95
2,16.880896,0.001190,9.164257,0.000000,-5.961665,0.000000,1.000000,0.00020800,0.0000,13.38
3,16.592656,0.000298,7.440896,0.002398,-3.677100,0.000000,1.000000,0.00030700,0.0000,13.57
4,17.588194,0.001339,6.908886,0.009592,-3.264946,0.000000,1.000000,0.00040600,0.0000,13.63
5,19.122866,0.000893,6.815944,0.010791,-3.436635,0.000000,1.000000,0.00050500,0.0000,13.65
6,20.436053,0.000595,7.527247,0.010791,-4.940159,0.000000,1.000000,0.00060400,0.0000,14.75
7,21.537770,0.001190,6.076309,0.034772,-3.345313,0.000000,1.000000,0.00070300,0.0000,18.03
8,22.451941,0.000744,5.937183,0.040767,-3.724312,0.000000,1.000000,0.00080200,0.0000,18.50
9,23.264426,0.004464,6.649157,0.019185,-4.840974,0.000000,1.000000,0.00090100,0.0000,18.55
10,24.024341,0.007440,10.184315,0.004796,-8.712035,0.000000,1.000000,0.00100000,0.0000,18.30
11,24.897076,0.011756,4.718927,0.098321,-2.914733,0.000000,1.000000,0.00099997,0.0000,18.47
12,25.655902,0.024107,4.247216,0.146283,-2.356333,0.000000,1.000000,0.00099988,0.0000,18.81
13,26.541784,0.037054,4.121880,0.158273,-2.245621,0.000000,1.000000,0.00099974,0.0000,18.19
14,27.443302,0.062202,4.602494,0.137890,-2.991247,0.000000,1.000000,0.00099953,0.0000,18.47
15,28.422476,0.077976,3.660564,0.219424,-1.809432,0.000000,1.000000,0.00099927,0.0000,18.22
16,29.450003,0.117411,5.029485,0.093525,-3.143325,0.000000,1.000000,0.00099895,0.0000,18.49
17,30.568482,0.156399,5.396446,0.103118,-3.731664,0.000000,1.000000,0.00099856,0.0000,18.47
18,31.647490,0.196875,4.613377,0.109113,-2.843300,0.000000,1.000000,0.00099813,0.0000,18.03
19,32.814469,0.241667,4.584220,0.236211,-3.106006,0.000000,1.000000,0.00099763,0.0000,18.13
20,33.815615,0.289137,2.513965,0.424460,-0.396647,0.000000,1.000000,0.00099707,0.0000,18.23
21,33.419359,0.332589,4.127182,0.353717,-2.399045,0.000000,1.000000,0.00099646,0.0000,18.25
22,33.007978,0.373512,4.289295,0.308153,-2.650869,0.000000,1.000000,0.00099579,0.0000,18.48
23,32.511574,0.433333,4.190423,0.238609,-2.639375,0.000000,1.000000,0.00099505,0.0000,18.66
24,32.002802,0.480506,1.906958,0.592326,1.771681,0.000000,1.000000,0.00099427,0.0000,18.04
25,31.218867,0.539583,1.684407,0.671463,3.001871,0.000000,1.000000,0.00099342,0.0000,18.38
26,30.237039,0.606101,2.884851,0.500000,0.088280,0.000000,1.000000,0.00099252,0.0000,18.43
27,29.549901,0.641815,1.411134,0.719424,3.593929,0.000000,1.000000,0.00099155,0.0000,18.31
28,28.530823,0.691071,3.086186,0.534772,0.454167,0.000000,1.000000,0.00099053,0.0000,18.63
29,27.516490,0.734524,1.374711,0.772182,5.422222,0.000000,1.000000,0.00098946,0.0000,18.32
30,26.519211,0.772024,1.585720,0.743405,4.932635,0.000000,1.000000,0.00098832,0.0000,18.25
31,25.444308,0.806250,0.869150,0.832134,8.029438,0.000000,1.000000,0.00098713,0.0000,18.11
32,24.674269,0.832143,1.197492,0.804556,6.098007,0.000000,1.000000,0.00098588,0.0000,18.45
33,23.666339,0.856101,1.190043,0.812950,6.982869,0.000000,1.000000,0.00098458,0.0000,18.67
34,22.677180,0.879315,1.000630,0.829736,8.120888,0.000000,1.000000,0.00098321,0.0000,18.61
35,21.735583,0.894643,2.102396,0.701439,3.586848,0.000000,1.000000,0.00098179,0.0000,18.29
36,20.799735,0.909524,1.263228,0.803357,6.153368,0.000000,1.000000,0.00098032,0.0000,18.24
37,20.156646,0.918452,0.478495,0.902878,11.500542,0.000000,1.000000,0.00097879,0.0000,18.06
38,19.446704,0.930060,0.526885,0.912470,11.906469,0.000000,1.000000,0.00097720,0.0000,18.65
39,18.867046,0.942262,0.378789,0.934053,13.561949,0.000000,1.000000,0.00097555,0.0000,18.38
40,18.342424,0.944196,0.477977,0.920863,12.689340,0.000000,1.000000,0.00097385,0.0000,18.39
41,17.763288,0.951637,0.501057,0.926859,12.931227,0.000000,1.000000,0.00097210,0.0000,18.57
42,17.173422,0.956994,0.498903,0.928058,12.646956,0.000000,1.000000,0.00097029,0.0000,18.21
43,16.764043,0.955506,0.437542,0.932854,13.213553,0.000000,1.000000,0.00096842,0.0000,18.72
44,16.094636,0.961756,0.362499,0.954436,14.028032,0.000000,1.000000,0.00096650,0.0000,18.48
45,15.818371,0.966964,0.333572,0.948441,15.517493,0.000000,1.000000,0.00096452,0.0000,18.49
46,15.307592,0.970089,0.402047,0.943645,13.173013,0.000000,1.000000,0.00096249,0.0000,18.22
47,15.019753,0.972619,0.490433,0.940048,13.708290,0.000000,1.000000,0.00096041,0.0000,18.08
48,14.751787,0.972619,0.220620,0.970024,16.838640,0.000000,1.000000,0.00095827,0.0000,18.08
49,14.425478,0.976488,0.193654,0.972422,17.537619,0.000000,1.000000,0.00095608,0.0000,18.54
50,14.172792,0.977827,0.233729,0.970024,17.257610,0.000000,1.000000,0.00095383,0.0000,18.33
51,13.725386,0.980060,0.250306,0.966427,16.519001,0.000000,1.000000,0.00095154,0.0000,18.40
52,13.521902,0.982440,0.202607,0.967626,16.343248,0.000000,1.000000,0.00094918,0.0000,18.09
53,13.090850,0.984375,0.220570,0.974820,17.470531,0.000000,1.000000,0.00094678,0.0000,18.37
54,13.061830,0.982738,0.210986,0.966427,17.391262,0.000000,1.000000,0.00094432,0.0000,18.52
55,12.765293,0.984226,0.203179,0.967626,18.120622,0.000000,1.000000,0.00094181,0.0000,18.34
56,12.702853,0.985565,0.189992,0.974820,18.955950,0.000000,1.000000,0.00093925,0.0000,18.32
57,12.350723,0.988095,0.213473,0.971223,18.139413,0.000000,1.000000,0.00093664,0.0000,18.42
58,12.213837,0.987649,0.172515,0.970024,17.460907,0.000000,1.000000,0.00093398,0.0000,18.34
59,12.092926,0.988542,0.210385,0.965228,18.179837,0.000000,1.000000,0.00093126,0.0000,18.36
60,11.906855,0.988988,0.188570,0.974820,18.630572,0.000000,1.000000,0.00092850,0.0000,18.58
61,11.650349,0.990476,0.176886,0.976019,19.107634,0.000000,1.000000,0.00092569,0.0000,18.18
62,11.419289,0.990179,0.256751,0.958034,17.504035,0.000000,1.000000,0.00092282,0.0000,18.41
63,11.339837,0.992560,0.211461,0.970024,18.259600,0.000000,1.000000,0.00091991,0.0000,18.52
64,11.168732,0.990476,0.178839,0.973621,19.411010,0.000000,1.000000,0.00091694,0.0000,18.22
65,11.067787,0.992560,0.150460,0.978417,20.943363,0.000000,1.000000,0.00091393,0.0000,18.22
66,10.842873,0.993750,0.176267,0.973621,20.225078,0.000000,1.000000,0.00091087,0.0000,18.11
67,10.781198,0.993155,0.134628,0.979616,19.420744,0.000000,1.000000,0.00090776,0.0000,18.43
68,10.570343,0.994048,0.175816,0.979616,19.512076,0.000000,1.000000,0.00090460,0.0000,18.49
69,10.463165,0.993006,0.115016,0.984412,21.490893,0.000000,1.000000,0.00090140,0.0000,18.51
