epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.443687,0.001653,6.733444,0.002398,0.00010900,0.0007,51.73
2,9.435380,0.000751,6.724424,0.000000,0.00020800,0.0013,50.72
3,9.416763,0.001502,6.708489,0.003597,0.00030700,0.0020,51.43
4,9.371291,0.003456,6.622464,0.002398,0.00040600,0.0027,51.13
5,9.234285,0.003305,6.465182,0.003597,0.00050500,0.0033,51.23
6,9.049312,0.007061,6.363110,0.007194,0.00060400,0.0040,51.13
7,8.835879,0.008714,6.409456,0.009592,0.00070300,0.0047,51.03
8,8.577705,0.022987,6.314887,0.011990,0.00080200,0.0053,51.40
9,8.353324,0.033804,5.820820,0.045564,0.00090100,0.0060,51.30
10,8.176618,0.045823,6.741832,0.015588,0.00100000,0.0067,51.55
11,7.975912,0.059195,5.900567,0.037170,0.00099997,0.0073,51.27
12,7.797487,0.076923,7.745376,0.019185,0.00099988,0.0080,51.30
13,7.608285,0.103966,5.656192,0.068345,0.00099974,0.0087,51.46
14,7.415202,0.131611,6.148874,0.053957,0.00099953,0.0093,51.05
15,7.229108,0.169171,5.701159,0.101918,0.00099927,0.0100,51.08
16,7.057127,0.199069,6.499354,0.046763,0.00099895,0.0107,50.90
17,6.845700,0.250751,5.002167,0.185851,0.00099856,0.0113,50.92
18,6.661587,0.294020,5.144884,0.181055,0.00099813,0.0120,51.57
19,6.440376,0.352013,6.370457,0.058753,0.00099763,0.0127,51.26
20,6.271561,0.402344,8.517785,0.032374,0.00099707,0.0133,51.08
21,6.101790,0.436599,4.843328,0.261391,0.00099646,0.0140,50.81
22,5.906216,0.490685,4.016015,0.526379,0.00099579,0.0147,51.25
23,5.721819,0.543720,4.878992,0.236211,0.00099505,0.0153,51.34
24,5.559172,0.583684,4.499490,0.350120,0.00099427,0.0160,51.32
25,5.420711,0.616136,5.249550,0.268585,0.00099342,0.0167,51.25
26,5.288967,0.651142,3.802648,0.579137,0.00099252,0.0173,51.65
27,5.162546,0.673227,5.000672,0.354916,0.00099155,0.0180,51.24
28,5.034528,0.712440,4.503386,0.352518,0.00099053,0.0187,51.35
29,4.910641,0.742037,4.361214,0.360911,0.00098946,0.0193,51.04
30,4.804455,0.764573,3.505319,0.706235,0.00098832,0.0200,50.94
31,4.714409,0.778996,3.209008,0.798561,0.00098713,0.0207,51.05
32,4.601073,0.807542,3.155750,0.809353,0.00098588,0.0213,50.96
33,4.534892,0.829627,3.478904,0.696643,0.00098458,0.0220,51.20
34,4.444944,0.842248,3.400139,0.724221,0.00098321,0.0227,51.20
35,4.357139,0.864934,2.939201,0.865707,0.00098179,0.0233,50.86
36,4.302314,0.874850,4.975337,0.328537,0.00098032,0.0240,50.92
37,4.246516,0.882812,2.903011,0.877698,0.00097879,0.0247,50.81
38,4.163986,0.902344,2.922614,0.868106,0.00097720,0.0253,50.96
39,4.092833,0.913912,3.598958,0.623501,0.00097555,0.0260,50.68
40,4.053867,0.915114,2.862993,0.887290,0.00097385,0.0267,50.58
41,4.004693,0.924730,2.683936,0.932854,0.00097210,0.0273,50.36
42,3.950903,0.930739,2.957582,0.838129,0.00097029,0.0280,50.60
43,3.933207,0.935246,2.814067,0.878897,0.00096842,0.0287,51.00
44,3.881095,0.943209,2.634595,0.935252,0.00096650,0.0293,50.90
45,3.859224,0.948468,2.686236,0.929257,0.00096452,0.0300,50.69
46,3.812569,0.953576,2.899808,0.859712,0.00096249,0.0307,50.86
47,3.799212,0.952975,2.786482,0.890887,0.00096041,0.0313,50.70
48,3.752260,0.961839,2.627413,0.930456,0.00095827,0.0320,51.19
49,3.741026,0.963041,2.657354,0.932854,0.00095608,0.0327,51.04
50,3.708923,0.966496,2.993091,0.812950,0.00095383,0.0333,50.87
51,3.677576,0.969952,2.655786,0.920863,0.00095154,0.0340,51.30
52,3.659044,0.969802,3.110381,0.779376,0.00094918,0.0347,51.23
53,3.651220,0.969952,2.575674,0.940048,0.00094678,0.0353,51.21
54,3.621779,0.974609,2.554915,0.944844,0.00094432,0.0360,51.30
55,3.597966,0.976412,2.811559,0.868106,0.00094181,0.0367,51.03
56,3.587452,0.977013,2.964888,0.818945,0.00093925,0.0373,50.89
57,3.571371,0.980319,3.233264,0.720624,0.00093664,0.0380,51.06
58,3.542056,0.982422,2.599044,0.930456,0.00093398,0.0387,51.10
59,3.544096,0.981220,2.604613,0.926859,0.00093126,0.0393,51.00
60,3.527067,0.983624,2.826315,0.857314,0.00092850,0.0400,51.01
61,3.507017,0.983474,2.532484,0.953237,0.00092569,0.0407,51.08
62,3.494828,0.986629,2.403471,0.968825,0.00092282,0.0413,50.88
63,3.483310,0.986779,2.529001,0.946043,0.00091991,0.0420,50.98
64,3.474896,0.986629,2.775925,0.868106,0.00091694,0.0427,50.64
65,3.454782,0.987530,2.402140,0.970024,0.00091393,0.0433,50.59
66,3.449869,0.989183,2.707268,0.902878,0.00091087,0.0440,50.64
67,3.429027,0.990835,2.405763,0.965228,0.00090776,0.0447,50.61
68,3.434807,0.989183,2.458357,0.955635,0.00090460,0.0453,50.59
69,3.425208,0.990084,2.536702,0.934053,0.00090140,0.0460,50.84
70,3.415684,0.990535,2.373016,0.966427,0.00089815,0.0467,50.70
71,3.402369,0.990986,2.366694,0.974820,0.00089485,0.0473,50.74
72,3.403972,0.990084,2.459429,0.958034,0.00089151,0.0480,50.68
73,3.391634,0.989633,2.414615,0.964029,0.00088812,0.0487,50.91
74,3.387944,0.990535,2.490406,0.949640,0.00088468,0.0493,50.76
75,3.377012,0.991587,2.408495,0.966427,0.00088120,0.0500,50.84
76,3.362795,0.993089,2.326355,0.976019,0.00087767,0.0507,50.90
77,3.366476,0.992037,2.296189,0.979616,0.00087410,0.0513,51.01
78,3.350902,0.993389,2.307662,0.983213,0.00087049,0.0520,51.01
79,3.353254,0.991887,2.532935,0.954436,0.00086683,0.0527,50.82
80,3.349265,0.992488,2.492905,0.952038,0.00086313,0.0533,50.83
81,3.339693,0.995343,2.323375,0.978417,0.00085939,0.0540,51.18
82,3.333981,0.993089,2.413976,0.967626,0.00085561,0.0547,50.83
83,3.329950,0.993990,2.575625,0.928058,0.00085178,0.0553,50.82
84,3.326830,0.995042,3.531976,0.610312,0.00084791,0.0560,50.76
85,3.321339,0.994441,2.381287,0.974820,0.00084401,0.0567,50.59
86,3.319607,0.993990,2.416759,0.965228,0.00084006,0.0573,50.89
87,3.310763,0.994742,2.327641,0.982014,0.00083607,0.0580,50.80
88,3.310540,0.992939,2.257155,0.984412,0.00083204,0.0587,51.24
89,3.301752,0.994291,2.295412,0.985612,0.00082797,0.0593,51.21
90,3.300537,0.993840,2.404029,0.965228,0.00082387,0.0600,50.72
91,3.294954,0.993840,2.314834,0.982014,0.00081973,0.0607,51.09
92,3.292591,0.994892,2.291718,0.983213,0.00081555,0.0613,51.11
93,3.293958,0.995042,2.349395,0.978417,0.00081133,0.0620,51.28
94,3.283981,0.994441,2.284527,0.979616,0.00080707,0.0627,50.88
95,3.283613,0.994291,2.265085,0.986811,0.00080278,0.0633,50.81
96,3.271444,0.996995,2.276432,0.986811,0.00079846,0.0640,50.54
97,3.276833,0.995493,2.247717,0.990408,0.00079410,0.0647,50.29
98,3.269177,0.996394,2.292541,0.989209,0.00078970,0.0653,50.94
99,3.260084,0.997596,2.261361,0.988010,0.00078528,0.0660,51.21
100,3.258190,0.996094,2.255962,0.980815,0.00078081,0.0667,50.84
101,3.263041,0.995343,2.249719,0.989209,0.00077632,0.0673,50.74
102,3.258229,0.995944,2.247935,0.988010,0.00077179,0.0680,51.06
103,3.259910,0.994742,2.279238,0.990408,0.00076723,0.0687,51.19
104,3.254060,0.996544,2.238542,0.990408,0.00076264,0.0693,51.05
105,3.256717,0.996094,2.257511,0.989209,0.00075802,0.0700,51.18
106,3.241783,0.997145,2.271346,0.985612,0.00075337,0.0707,51.21
107,3.248016,0.996544,2.222066,0.988010,0.00074869,0.0713,51.04
108,3.241249,0.996394,2.328770,0.965228,0.00074398,0.0720,50.97
109,3.243196,0.997145,2.329927,0.977218,0.00073924,0.0727,50.97
110,3.244230,0.997897,2.220175,0.986811,0.00073447,0.0733,50.95
111,3.238169,0.996544,2.251329,0.985612,0.00072968,0.0740,50.81
112,3.234609,0.995793,2.240207,0.989209,0.00072485,0.0747,50.69
113,3.232238,0.996695,2.269053,0.984412,0.00072001,0.0753,50.52
114,3.234130,0.997746,2.220511,0.984412,0.00071513,0.0760,50.71
115,3.232904,0.996394,2.294401,0.978417,0.00071023,0.0767,50.84
116,3.229375,0.997596,2.219095,0.989209,0.00070531,0.0773,50.80
117,3.223543,0.997897,2.209576,0.990408,0.00070036,0.0780,51.11
118,3.226527,0.996394,2.234840,0.985612,0.00069539,0.0787,50.99
119,3.222005,0.996394,2.209300,0.990408,0.00069040,0.0793,51.17
120,3.220080,0.997296,2.208852,0.985612,0.00068538,0.0800,50.60
121,3.216847,0.997897,2.211274,0.988010,0.00068035,0.0807,51.03
122,3.215862,0.999249,2.240246,0.983213,0.00067529,0.0813,50.85
123,3.223505,0.997746,2.282431,0.977218,0.00067021,0.0820,51.25
124,3.209589,0.997446,2.214974,0.990408,0.00066511,0.0827,51.10
125,3.217312,0.997145,2.269175,0.982014,0.00065999,0.0833,51.03
126,3.221935,0.997145,2.216970,0.992806,0.00065485,0.0840,51.01
127,3.213481,0.996244,2.211629,0.989209,0.00064970,0.0847,51.17
128,3.206062,0.997746,2.195005,0.988010,0.00064453,0.0853,50.89
129,3.206007,0.998047,2.195936,0.992806,0.00063934,0.0860,51.17
130,3.207343,0.997596,2.228555,0.983213,0.00063413,0.0867,51.04
131,3.207274,0.998498,2.199697,0.988010,0.00062891,0.0873,51.55
132,3.201759,0.997897,2.202894,0.989209,0.00062367,0.0880,51.67
133,3.205332,0.997596,2.359272,0.977218,0.00061842,0.0887,51.36
134,3.210956,0.996995,2.233215,0.988010,0.00061316,0.0893,51.30
135,3.198757,0.997446,2.509103,0.942446,0.00060788,0.0900,51.53
136,3.206295,0.997746,2.222203,0.986811,0.00060259,0.0907,51.40
137,3.197281,0.997296,2.364091,0.964029,0.00059728,0.0913,51.49
138,3.191172,0.998197,2.253801,0.978417,0.00059197,0.0920,51.63
139,3.198670,0.997446,2.224318,0.991607,0.00058665,0.0927,51.69
140,3.192961,0.997897,2.201371,0.991607,0.00058131,0.0933,51.45
141,3.195163,0.998648,2.222064,0.991607,0.00057597,0.0940,51.50
142,3.201357,0.996845,2.232150,0.985612,0.00057061,0.0947,51.07
143,3.196481,0.997596,2.192199,0.989209,0.00056525,0.0953,51.20
144,3.191412,0.997446,2.191199,0.992806,0.00055988,0.0960,51.43
145,3.196240,0.998047,2.186445,0.992806,0.00055451,0.0967,51.27
146,3.193731,0.997446,2.198360,0.992806,0.00054912,0.0973,51.38
147,3.187303,0.997446,2.188510,0.991607,0.00054373,0.0980,51.37
148,3.190445,0.998347,2.196712,0.988010,0.00053834,0.0987,51.18
149,3.189287,0.997746,2.193512,0.991607,0.00053294,0.0993,50.74
150,3.187098,0.997446,2.195910,0.984412,0.00052754,0.1000,50.80
151,3.190909,0.996995,2.177154,0.991607,0.00052214,0.1007,50.97
152,3.180599,0.998047,2.194624,0.991607,0.00051673,0.1013,50.98
153,3.180714,0.998047,2.197998,0.988010,0.00051132,0.1020,50.81
154,3.185882,0.998347,2.194166,0.990408,0.00050591,0.1027,51.07
155,3.186846,0.998047,2.214118,0.985612,0.00050050,0.1033,50.88
156,3.181068,0.997596,2.195831,0.991607,0.00049509,0.1040,51.23
157,3.186814,0.997746,2.182766,0.992806,0.00048968,0.1047,50.65
158,3.186790,0.997145,2.216597,0.986811,0.00048427,0.1053,50.81
159,3.181402,0.998347,2.180312,0.990408,0.00047886,0.1060,50.43
160,3.174901,0.998648,2.175887,0.991607,0.00047346,0.1067,50.74
161,3.180527,0.998047,2.185188,0.991607,0.00046806,0.1073,51.02
162,3.187169,0.996995,2.174560,0.990408,0.00046266,0.1080,50.94
163,3.172057,0.998648,2.176229,0.992806,0.00045727,0.1087,51.00
164,3.178159,0.998047,2.176273,0.992806,0.00045188,0.1093,51.17
165,3.191146,0.998798,2.163192,0.994005,0.00044649,0.1100,50.73
166,3.177501,0.998347,2.178206,0.991607,0.00044112,0.1107,50.59
167,3.181485,0.997446,2.233128,0.986811,0.00043575,0.1113,50.69
168,3.170187,0.998798,2.189574,0.991607,0.00043039,0.1120,50.68
169,3.178122,0.998047,2.171819,0.991607,0.00042503,0.1127,50.63
170,3.172942,0.998498,2.175251,0.989209,0.00041969,0.1133,50.48
171,3.173630,0.997897,2.180592,0.990408,0.00041435,0.1140,50.84
172,3.175570,0.999549,2.172370,0.991607,0.00040903,0.1147,51.14
173,3.175273,0.998347,2.158699,0.994005,0.00040372,0.1153,50.48
174,3.170648,0.997897,2.191089,0.988010,0.00039841,0.1160,50.85
175,3.171455,0.998047,2.163132,0.991607,0.00039312,0.1167,50.95
176,3.167260,0.998498,2.164849,0.990408,0.00038784,0.1173,50.79
177,3.173591,0.998948,2.175258,0.990408,0.00038258,0.1180,50.95
178,3.168627,0.998197,2.192698,0.985612,0.00037733,0.1187,51.10
179,3.180101,0.998648,2.172618,0.991607,0.00037209,0.1193,50.85
180,3.165253,0.999399,2.178339,0.990408,0.00036687,0.1200,50.70
181,3.174559,0.998047,2.180412,0.990408,0.00036166,0.1207,51.01
182,3.170087,0.997746,2.166750,0.991607,0.00035647,0.1213,50.77
183,3.173257,0.998498,2.178099,0.990408,0.00035130,0.1220,50.44
184,3.162841,0.998948,2.163926,0.991607,0.00034615,0.1227,50.37
185,3.173855,0.998498,2.162094,0.992806,0.00034101,0.1233,50.04
186,3.167271,0.998948,2.179751,0.989209,0.00033589,0.1240,50.28
187,3.162954,0.998197,2.174571,0.991607,0.00033079,0.1247,50.15
188,3.167786,0.997897,2.162640,0.992806,0.00032571,0.1253,50.18
189,3.168366,0.998498,2.162451,0.991607,0.00032065,0.1260,50.64
190,3.173476,0.998498,2.161364,0.994005,0.00031562,0.1267,50.21
191,3.173040,0.997296,2.177737,0.989209,0.00031060,0.1273,50.28
192,3.168683,0.998047,2.168375,0.994005,0.00030561,0.1280,50.07
193,3.158843,0.999249,2.163125,0.992806,0.00030064,0.1287,50.56
194,3.157929,0.999399,2.171239,0.994005,0.00029569,0.1293,50.58
195,3.170867,0.998948,2.160326,0.991607,0.00029077,0.1300,50.49
196,3.164175,0.998948,2.156698,0.994005,0.00028587,0.1307,50.65
197,3.168524,0.998347,2.168872,0.992806,0.00028099,0.1313,50.61
198,3.162673,0.998347,2.164645,0.992806,0.00027615,0.1320,50.69
199,3.166146,0.998347,2.163060,0.994005,0.00027132,0.1327,50.90
200,3.162822,0.999549,2.151932,0.994005,0.00026653,0.1333,51.02
201,3.162636,0.998498,2.153782,0.990408,0.00026176,0.1340,51.03
202,3.162701,0.999099,2.170269,0.991607,0.00025702,0.1347,50.78
203,3.159812,0.998948,2.185422,0.988010,0.00025231,0.1353,50.83
204,3.166264,0.998948,2.157867,0.991607,0.00024763,0.1360,50.85
205,3.163308,0.998648,2.144314,0.992806,0.00024298,0.1367,50.84
206,3.158546,0.999399,2.152069,0.992806,0.00023836,0.1373,50.87
207,3.160347,0.998498,2.150052,0.992806,0.00023377,0.1380,50.86
208,3.154871,0.997897,2.146490,0.992806,0.00022921,0.1387,50.92
209,3.155613,0.999249,2.148649,0.994005,0.00022468,0.1393,50.95
210,3.161817,0.998347,2.147877,0.994005,0.00022019,0.1400,50.77
211,3.163382,0.998798,2.147629,0.992806,0.00021572,0.1407,50.84
212,3.165927,0.998498,2.149349,0.994005,0.00021130,0.1413,50.63
213,3.160727,0.998047,2.142186,0.995204,0.00020690,0.1420,50.59
214,3.165247,0.998648,2.146493,0.992806,0.00020254,0.1427,50.69
215,3.162944,0.998798,2.146359,0.994005,0.00019822,0.1433,39.15
216,3.165891,0.998798,2.147145,0.991607,0.00019393,0.1440,38.01
217,3.162133,0.998347,2.145146,0.995204,0.00018967,0.1447,37.91
218,3.162581,0.998648,2.141847,0.994005,0.00018545,0.1453,37.82
219,3.159771,0.998948,2.153379,0.990408,0.00018127,0.1460,37.73
220,3.164932,0.998948,2.144871,0.992806,0.00017713,0.1467,37.82
221,3.166994,0.998798,2.145490,0.994005,0.00017303,0.1473,37.55
222,3.168553,0.998498,2.146817,0.994005,0.00016896,0.1480,37.80
223,3.169743,0.998498,2.146731,0.992806,0.00016493,0.1487,37.81
224,3.159910,0.998948,2.145155,0.994005,0.00016094,0.1493,38.00
225,3.166933,0.998498,2.140264,0.992806,0.00015699,0.1500,38.04
226,3.169935,0.998047,2.147055,0.994005,0.00015309,0.1507,38.01
227,3.158352,0.998648,2.148209,0.991607,0.00014922,0.1513,37.94
228,3.171098,0.998648,2.141978,0.994005,0.00014539,0.1520,37.75
229,3.166633,0.998798,2.146027,0.995204,0.00014161,0.1527,37.62
230,3.169040,0.997746,2.141095,0.994005,0.00013787,0.1533,37.86
231,3.169546,0.999099,2.142593,0.995204,0.00013417,0.1540,37.82
232,3.168812,0.998347,2.149619,0.992806,0.00013051,0.1547,37.69
233,3.164303,0.998948,2.144430,0.994005,0.00012690,0.1553,37.91
234,3.175682,0.999249,2.142179,0.994005,0.00012333,0.1560,37.84
235,3.168428,0.999549,2.148744,0.990408,0.00011980,0.1567,37.82
236,3.162237,0.998648,2.141551,0.994005,0.00011632,0.1573,37.97
237,3.161807,0.999099,2.137699,0.994005,0.00011288,0.1580,37.75
238,3.159363,0.998948,2.138585,0.994005,0.00010949,0.1587,37.64
239,3.168327,0.998498,2.148713,0.992806,0.00010615,0.1593,37.66
240,3.163398,0.998798,2.141931,0.994005,0.00010285,0.1600,37.74
241,3.165447,0.997596,2.140304,0.992806,0.00009960,0.1607,37.86
242,3.169116,0.998948,2.139656,0.994005,0.00009640,0.1613,38.07
243,3.166404,0.999249,2.140862,0.994005,0.00009324,0.1620,38.06
244,3.170044,0.998648,2.136989,0.995204,0.00009013,0.1627,37.90
245,3.170193,0.998498,2.141707,0.994005,0.00008707,0.1633,37.99
246,3.171712,0.998347,2.141792,0.992806,0.00008406,0.1640,38.06
247,3.167750,0.998648,2.139547,0.994005,0.00008109,0.1647,37.90
248,3.174707,0.998648,2.144244,0.991607,0.00007818,0.1653,37.94
249,3.166368,0.998347,2.141150,0.994005,0.00007531,0.1660,38.07
250,3.171192,0.998498,2.143621,0.994005,0.00007250,0.1667,38.25
251,3.175937,0.999099,2.141005,0.992806,0.00006974,0.1673,38.06
252,3.178589,0.997596,2.143222,0.994005,0.00006702,0.1680,37.39
253,3.169871,0.998347,2.140961,0.994005,0.00006436,0.1687,38.01
254,3.177349,0.997897,2.139352,0.994005,0.00006175,0.1693,38.04
255,3.174121,0.998948,2.134385,0.995204,0.00005919,0.1700,37.77
256,3.181176,0.998798,2.136274,0.995204,0.00005668,0.1707,37.77
257,3.180977,0.997296,2.135975,0.995204,0.00005422,0.1713,38.01
258,3.180642,0.998347,2.137334,0.994005,0.00005182,0.1720,37.98
