epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,1.002872,0.531250,0.693343,0.400000,0.00010900,0.0007,2.31
2,0.972160,0.437500,0.693381,0.400000,0.00020800,0.0013,1.24
3,0.979559,0.593750,0.693780,0.400000,0.00030700,0.0020,1.23
4,0.994051,0.468750,0.694716,0.400000,0.00040600,0.0027,1.25
5,0.978726,0.500000,0.696200,0.400000,0.00050500,0.0033,1.25
6,0.996236,0.406250,0.697792,0.400000,0.00060400,0.0040,1.26
7,0.989901,0.406250,0.699523,0.400000,0.00070300,0.0047,1.29
8,0.965724,0.562500,0.700375,0.400000,0.00080200,0.0053,1.27
9,0.964613,0.531250,0.700955,0.400000,0.00090100,0.0060,1.26
10,1.006689,0.468750,0.700085,0.400000,0.00100000,0.0067,1.28
11,0.953874,0.625000,0.698576,0.400000,0.00099997,0.0073,1.28
12,0.918156,0.656250,0.696560,0.400000,0.00099988,0.0080,1.25
13,0.980285,0.531250,0.695360,0.400000,0.00099974,0.0087,1.22
14,0.913322,0.656250,0.693446,0.400000,0.00099953,0.0093,1.21
15,0.988559,0.531250,0.692175,0.600000,0.00099927,0.0100,1.25
16,0.927550,0.531250,0.691847,0.600000,0.00099895,0.0107,1.21
17,0.938050,0.593750,0.693042,0.600000,0.00099856,0.0113,1.26
18,0.914277,0.656250,0.694513,0.400000,0.00099813,0.0120,1.21
19,0.921310,0.656250,0.697789,0.400000,0.00099763,0.0127,1.21
20,0.968346,0.531250,0.697940,0.400000,0.00099707,0.0133,1.25
21,0.908286,0.687500,0.693298,0.400000,0.00099646,0.0140,1.25
22,0.969386,0.562500,0.687317,0.600000,0.00099579,0.0147,1.26
23,0.970951,0.562500,0.681326,0.600000,0.00099505,0.0153,1.26
24,0.931303,0.625000,0.681806,0.600000,0.00099427,0.0160,1.27
25,0.868892,0.687500,0.699276,0.600000,0.00099342,0.0167,1.26
26,0.900795,0.625000,0.734237,0.600000,0.00099252,0.0173,1.25
27,0.862737,0.687500,0.780454,0.600000,0.00099155,0.0180,1.23
28,1.018110,0.593750,0.791219,0.600000,0.00099053,0.0187,1.28
29,0.906766,0.625000,0.785195,0.600000,0.00098946,0.0193,1.29
30,0.881656,0.656250,0.762104,0.600000,0.00098832,0.0200,1.23
31,0.929161,0.500000,0.738530,0.600000,0.00098713,0.0207,1.24
32,0.918506,0.593750,0.709866,0.600000,0.00098588,0.0213,1.26
33,0.966596,0.562500,0.697694,0.600000,0.00098458,0.0220,1.22
34,0.889052,0.718750,0.691887,0.600000,0.00098321,0.0227,1.15
35,1.019672,0.593750,0.695090,0.600000,0.00098179,0.0233,1.18
36,0.842234,0.812500,0.701928,0.600000,0.00098032,0.0240,1.17
37,0.908973,0.781250,0.723800,0.600000,0.00097879,0.0247,1.25
38,0.906352,0.656250,0.748307,0.600000,0.00097720,0.0253,1.27
39,0.889724,0.625000,0.765646,0.600000,0.00097555,0.0260,1.20
40,0.793218,0.843750,0.794272,0.600000,0.00097385,0.0267,1.21
41,0.840872,0.812500,0.828453,0.600000,0.00097210,0.0273,1.19
42,0.852652,0.656250,0.874155,0.600000,0.00097029,0.0280,1.24
43,0.844311,0.625000,0.913093,0.600000,0.00096842,0.0287,1.28
44,0.826489,0.656250,0.885486,0.600000,0.00096650,0.0293,1.24
45,0.815395,0.812500,0.824944,0.600000,0.00096452,0.0300,1.22
46,0.848048,0.718750,0.762350,0.600000,0.00096249,0.0307,1.26
47,0.761730,0.812500,0.717093,0.600000,0.00096041,0.0313,1.27
48,0.828522,0.687500,0.690101,0.600000,0.00095827,0.0320,1.19
49,0.926770,0.718750,0.690157,0.300000,0.00095608,0.0327,1.22
50,0.822695,0.843750,0.689912,0.650000,0.00095383,0.0333,1.21
51,0.745803,0.875000,0.685894,0.650000,0.00095154,0.0340,1.28
52,0.798843,0.750000,0.674782,0.650000,0.00094918,0.0347,1.23
53,0.738989,0.781250,0.645922,0.700000,0.00094678,0.0353,1.19
54,0.776167,0.843750,0.614427,0.700000,0.00094432,0.0360,1.21
55,0.780731,0.875000,0.572345,0.800000,0.00094181,0.0367,1.52
56,0.715537,0.906250,0.544121,0.950000,0.00093925,0.0373,1.25
57,0.670230,0.843750,0.523948,0.900000,0.00093664,0.0380,1.22
58,0.621198,0.937500,0.529276,0.800000,0.00093398,0.0387,1.19
59,0.794716,0.781250,0.588465,0.600000,0.00093126,0.0393,1.26
60,0.685714,0.937500,0.724166,0.600000,0.00092850,0.0400,1.27
61,0.753376,0.843750,0.854898,0.600000,0.00092569,0.0407,1.25
62,0.698776,0.843750,0.940733,0.600000,0.00092282,0.0413,1.24
63,0.737598,0.812500,0.965043,0.600000,0.00091991,0.0420,1.22
64,0.589694,0.968750,0.942018,0.600000,0.00091694,0.0427,1.25
65,0.774138,0.781250,0.814675,0.600000,0.00091393,0.0433,1.20
66,0.707857,0.843750,0.586065,0.800000,0.00091087,0.0440,1.20
67,0.705600,0.812500,0.539799,0.850000,0.00090776,0.0447,1.24
68,0.745215,0.875000,0.547665,0.850000,0.00090460,0.0453,1.28
69,0.669774,0.875000,0.564307,0.850000,0.00090140,0.0460,1.27
70,0.682167,0.843750,0.470514,0.850000,0.00089815,0.0467,1.23
71,0.665862,0.843750,0.395458,0.950000,0.00089485,0.0473,1.22
