epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.440383,0.001803,6.730262,0.003597,0.00010900,0.0007,21.19
2,9.436675,0.002103,6.731955,0.003597,0.00020800,0.0013,21.49
3,9.428730,0.000751,6.729017,0.001199,0.00030700,0.0020,22.02
4,9.425037,0.000901,6.723272,0.003597,0.00040600,0.0027,22.01
5,9.412106,0.002855,6.703593,0.001199,0.00050500,0.0033,21.90
6,9.356853,0.002103,6.623202,0.003597,0.00060400,0.0040,22.34
7,9.274789,0.003456,6.718988,0.002398,0.00070300,0.0047,21.16
8,9.202366,0.003155,6.536505,0.005995,0.00080200,0.0053,21.28
9,9.119095,0.003906,6.599787,0.003597,0.00090100,0.0060,22.69
10,9.011152,0.005709,6.376402,0.008393,0.00100000,0.0067,22.24
11,8.859950,0.007662,6.371161,0.010791,0.00099997,0.0073,21.24
12,8.728558,0.013522,6.157907,0.022782,0.00099988,0.0080,21.44
13,8.629197,0.013221,6.161923,0.016787,0.00099974,0.0087,22.84
14,8.556228,0.018029,6.123560,0.031175,0.00099953,0.0093,21.64
15,8.457014,0.021785,6.057785,0.031175,0.00099927,0.0100,22.01
16,8.360124,0.031250,5.922258,0.038369,0.00099895,0.0107,21.93
17,8.272629,0.035306,6.001523,0.046763,0.00099856,0.0113,22.05
18,8.183856,0.040715,5.734746,0.063549,0.00099813,0.0120,22.31
19,8.100198,0.043720,5.904113,0.043165,0.00099763,0.0127,21.42
20,8.049564,0.053936,6.760377,0.007194,0.00099707,0.0133,21.50
21,7.974009,0.054838,5.882318,0.043165,0.00099646,0.0140,22.73
22,7.916117,0.059645,5.766281,0.069544,0.00099579,0.0147,22.41
23,7.843387,0.070312,5.525942,0.131894,0.00099505,0.0153,21.39
24,7.787877,0.079627,5.709142,0.079137,0.00099427,0.0160,21.61
25,7.727740,0.086839,5.447376,0.140288,0.00099342,0.0167,22.58
26,7.672408,0.088792,5.645829,0.100719,0.00099252,0.0173,21.56
27,7.609539,0.094201,6.529692,0.027578,0.00099155,0.0180,21.97
28,7.561590,0.113131,5.536524,0.101918,0.00099053,0.0187,21.98
29,7.491460,0.119742,5.366137,0.178657,0.00098946,0.0193,22.23
30,7.451437,0.132362,5.433329,0.133094,0.00098832,0.0200,22.45
31,7.395863,0.138522,5.436573,0.147482,0.00098713,0.0207,21.65
32,7.356040,0.137620,5.481924,0.127098,0.00098588,0.0213,21.42
33,7.315663,0.150240,5.145231,0.232614,0.00098458,0.0220,22.47
34,7.266680,0.153095,5.188102,0.223022,0.00098321,0.0227,22.49
35,7.216389,0.165264,5.064602,0.235012,0.00098179,0.0233,21.57
36,7.191831,0.176232,5.235131,0.189448,0.00098032,0.0240,21.53
37,7.128418,0.188852,5.535552,0.085132,0.00097879,0.0247,22.51
38,7.080998,0.191707,5.080837,0.221823,0.00097720,0.0253,21.86
39,7.025129,0.193810,5.173250,0.194245,0.00097555,0.0260,21.96
40,6.999673,0.212740,5.146038,0.199041,0.00097385,0.0267,22.00
41,6.954685,0.218900,4.923352,0.287770,0.00097210,0.0273,22.15
42,6.909816,0.223858,4.839326,0.308153,0.00097029,0.0280,22.49
43,6.875302,0.237680,4.771969,0.375300,0.00096842,0.0287,21.22
44,6.816578,0.244441,4.873165,0.315348,0.00096650,0.0293,21.42
45,6.774986,0.253756,4.736666,0.362110,0.00096452,0.0300,22.64
46,6.722946,0.258413,4.869322,0.294964,0.00096249,0.0307,22.25
47,6.689496,0.274038,5.206120,0.203837,0.00096041,0.0313,21.55
48,6.629413,0.271635,4.589184,0.393285,0.00095827,0.0320,22.31
49,6.593835,0.295673,4.750283,0.294964,0.00095608,0.0327,22.51
50,6.537644,0.301532,4.860360,0.248201,0.00095383,0.0333,22.18
51,6.511755,0.308594,4.504285,0.425659,0.00095154,0.0340,22.29
52,6.476487,0.315054,4.598475,0.374101,0.00094918,0.0347,28.93
53,6.418381,0.331581,4.569350,0.387290,0.00094678,0.0353,29.66
54,6.379666,0.345102,5.052554,0.233813,0.00094432,0.0360,30.35
55,6.345747,0.341196,4.390717,0.455635,0.00094181,0.0367,28.53
56,6.321560,0.348708,4.424506,0.436451,0.00093925,0.0373,29.89
57,6.292826,0.350210,4.670502,0.315348,0.00093664,0.0380,29.47
58,6.266822,0.356520,4.581156,0.351319,0.00093398,0.0387,29.96
59,6.240614,0.367037,4.364578,0.473621,0.00093126,0.0393,29.30
60,6.197442,0.374549,4.254023,0.500000,0.00092850,0.0400,29.78
61,6.180653,0.384315,4.405061,0.444844,0.00092569,0.0407,29.14
62,6.136759,0.399189,4.208062,0.529976,0.00092282,0.0413,30.23
63,6.125772,0.396034,4.155511,0.545564,0.00091991,0.0420,29.43
64,6.087162,0.405649,4.302826,0.473621,0.00091694,0.0427,29.45
65,6.063098,0.411358,4.318818,0.470024,0.00091393,0.0433,29.45
66,6.047908,0.412410,4.563808,0.368106,0.00091087,0.0440,30.16
67,6.032524,0.417067,4.182373,0.520384,0.00090776,0.0447,29.46
68,5.986495,0.437951,4.297279,0.459233,0.00090460,0.0453,29.90
69,6.005246,0.427133,4.222311,0.497602,0.00090140,0.0460,29.54
70,5.961451,0.440355,4.121197,0.537170,0.00089815,0.0467,29.58
71,5.939375,0.442007,4.137563,0.532374,0.00089485,0.0473,30.35
72,5.929201,0.439002,4.012400,0.607914,0.00089151,0.0480,29.09
73,5.906618,0.444261,3.983785,0.597122,0.00088812,0.0487,29.84
74,5.885021,0.451472,4.166761,0.522782,0.00088468,0.0493,29.48
75,5.872685,0.457031,4.478772,0.384892,0.00088120,0.0500,29.99
76,5.829176,0.470853,4.129824,0.539568,0.00087767,0.0507,29.23
77,5.817723,0.477764,4.004419,0.573141,0.00087410,0.0513,29.42
78,5.812695,0.467999,3.906259,0.633094,0.00087049,0.0520,29.09
79,5.797517,0.480469,3.941840,0.604317,0.00086683,0.0527,30.32
80,5.773250,0.487230,4.095794,0.529976,0.00086313,0.0533,29.69
81,5.758769,0.485427,3.954486,0.598321,0.00085939,0.0540,29.55
82,5.756922,0.488882,3.971244,0.597122,0.00085561,0.0547,29.40
83,5.729851,0.492188,4.294679,0.442446,0.00085178,0.0553,29.87
84,5.703792,0.499099,4.046803,0.551559,0.00084791,0.0560,29.60
85,5.697107,0.498948,4.488884,0.368106,0.00084401,0.0567,29.82
86,5.673100,0.505559,3.957748,0.580336,0.00084006,0.0573,29.37
87,5.673935,0.506611,3.839526,0.639089,0.00083607,0.0580,29.36
88,5.677194,0.501653,3.837154,0.643885,0.00083204,0.0587,30.38
89,5.650540,0.509916,3.796922,0.654676,0.00082797,0.0593,32.29
90,5.617463,0.519081,3.912548,0.591127,0.00082387,0.0600,29.83
91,5.639146,0.517728,3.939970,0.588729,0.00081973,0.0607,31.58
92,5.619431,0.519081,3.757469,0.684652,0.00081555,0.0613,29.58
93,5.609016,0.524339,4.007965,0.558753,0.00081133,0.0620,29.88
94,5.592184,0.524639,3.741789,0.667866,0.00080707,0.0627,30.02
95,5.591751,0.530198,3.944959,0.593525,0.00080278,0.0633,29.19
96,5.567996,0.526893,3.624841,0.699041,0.00079846,0.0640,29.97
97,5.566907,0.526743,3.740839,0.669065,0.00079410,0.0647,29.30
98,5.542210,0.532903,4.092894,0.508393,0.00078970,0.0653,30.00
99,5.536336,0.533353,3.722672,0.682254,0.00078528,0.0660,29.95
100,5.520990,0.542218,3.760856,0.664269,0.00078081,0.0667,29.12
101,5.534975,0.545222,4.084399,0.510791,0.00077632,0.0673,29.01
102,5.517004,0.543570,3.687672,0.690647,0.00077179,0.0680,22.23
103,5.505507,0.546725,3.752467,0.671463,0.00076723,0.0687,22.32
104,5.499866,0.539363,3.882174,0.605516,0.00076264,0.0693,22.15
105,5.468959,0.562951,3.787262,0.652278,0.00075802,0.0700,22.90
106,5.489468,0.543720,3.814146,0.646283,0.00075337,0.0707,21.59
107,5.448633,0.553035,3.758420,0.654676,0.00074869,0.0713,22.92
108,5.437819,0.562500,3.599163,0.695444,0.00074398,0.0720,21.93
109,5.455891,0.556941,3.575310,0.729017,0.00073924,0.0727,22.30
110,5.442162,0.561899,3.754942,0.646283,0.00073447,0.0733,22.27
111,5.414361,0.567157,3.634883,0.687050,0.00072968,0.0740,22.90
112,5.448473,0.558894,3.860064,0.610312,0.00072485,0.0747,21.17
113,5.434705,0.561899,3.730158,0.657074,0.00072001,0.0753,22.91
114,5.410350,0.566406,3.704798,0.672662,0.00071513,0.0760,22.88
115,5.412825,0.567308,3.936431,0.583933,0.00071023,0.0767,21.85
116,5.394931,0.573167,3.614143,0.714628,0.00070531,0.0773,23.00
117,5.396486,0.573618,3.774833,0.636691,0.00070036,0.0780,22.33
118,5.403126,0.569261,3.729820,0.664269,0.00069539,0.0787,22.57
119,5.392566,0.578576,3.577617,0.730216,0.00069040,0.0793,22.24
120,5.392788,0.566106,3.571098,0.713429,0.00068538,0.0800,22.78
121,5.372298,0.579778,3.480807,0.756595,0.00068035,0.0807,22.08
122,5.376425,0.584135,3.471219,0.763789,0.00067529,0.0813,22.82
123,5.376382,0.581130,3.517640,0.752998,0.00067021,0.0820,22.37
124,5.329068,0.591196,3.616533,0.703837,0.00066511,0.0827,22.97
125,5.339257,0.581581,3.390285,0.780576,0.00065999,0.0833,22.26
126,5.355070,0.579177,3.472987,0.749400,0.00065485,0.0840,22.56
127,5.346918,0.586689,3.545163,0.726619,0.00064970,0.0847,22.65
128,5.333172,0.578576,3.803572,0.634293,0.00064453,0.0853,22.13
129,5.337683,0.583383,3.508623,0.739808,0.00063934,0.0860,22.60
130,5.320375,0.593149,3.609702,0.707434,0.00063413,0.0867,22.14
131,5.330807,0.589694,3.418048,0.762590,0.00062891,0.0873,22.90
132,5.324939,0.592849,3.502505,0.742206,0.00062367,0.0880,21.97
133,5.287093,0.596304,3.704174,0.677458,0.00061842,0.0887,22.88
134,5.322200,0.595553,3.490810,0.725420,0.00061316,0.0893,22.25
135,5.285409,0.598858,3.508611,0.729017,0.00060788,0.0900,22.33
136,5.302089,0.594351,3.444537,0.761391,0.00060259,0.0907,22.33
137,5.311677,0.592548,3.626988,0.702638,0.00059728,0.0913,22.90
138,5.316427,0.587590,3.387292,0.776978,0.00059197,0.0920,21.63
139,5.296005,0.594952,3.546180,0.730216,0.00058665,0.0927,22.82
140,5.289270,0.599760,3.683262,0.669065,0.00058131,0.0933,22.24
141,5.285884,0.591647,3.430275,0.768585,0.00057597,0.0940,22.49
142,5.292011,0.593450,3.338453,0.782974,0.00057061,0.0947,22.55
143,5.281600,0.600661,3.299898,0.800959,0.00056525,0.0953,22.37
144,5.271550,0.607422,3.455390,0.739808,0.00055988,0.0960,22.40
145,5.290888,0.599008,3.412177,0.756595,0.00055451,0.0967,22.31
146,5.260876,0.614183,3.423048,0.751799,0.00054912,0.0973,22.87
147,5.270230,0.601262,3.548201,0.720624,0.00054373,0.0980,22.06
148,5.269490,0.603516,3.474152,0.773381,0.00053834,0.0987,22.93
149,5.266717,0.605319,3.497497,0.743405,0.00053294,0.0993,22.31
150,5.245764,0.609826,3.433539,0.764988,0.00052754,0.1000,22.90
151,5.253423,0.604417,3.512639,0.726619,0.00052214,0.1007,22.25
152,5.258940,0.606220,3.415728,0.766187,0.00051673,0.1013,22.69
153,5.253135,0.605769,3.631246,0.685851,0.00051132,0.1020,22.08
154,5.243556,0.607272,3.425388,0.773381,0.00050591,0.1027,22.88
155,5.269973,0.598257,3.331285,0.781775,0.00050050,0.1033,22.10
156,5.256096,0.609225,3.451494,0.760192,0.00049509,0.1040,22.44
157,5.260858,0.611478,3.484541,0.758993,0.00048968,0.1047,22.87
158,5.246873,0.599910,3.436804,0.755396,0.00048427,0.1053,22.01
159,5.249212,0.606971,3.436290,0.768585,0.00047886,0.1060,22.95
160,5.239027,0.613882,3.314269,0.794964,0.00047346,0.1067,22.36
161,5.240249,0.611478,3.581537,0.700240,0.00046806,0.1073,22.33
162,5.244071,0.603215,3.530199,0.731415,0.00046266,0.1080,22.28
163,5.248093,0.605168,3.402033,0.775779,0.00045727,0.1087,22.73
