epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.640126,0.001803,6.805920,0.001199,0.00010900,0.0007,22.43
2,9.489864,0.001052,6.731901,0.001199,0.00020800,0.0013,21.09
3,9.435622,0.001052,6.727506,0.000000,0.00030700,0.0020,21.36
4,9.428774,0.001052,6.725642,0.002398,0.00040600,0.0027,21.39
5,9.416207,0.001352,6.720183,0.001199,0.00050500,0.0033,20.60
6,9.397240,0.001052,6.709406,0.000000,0.00060400,0.0040,21.35
7,9.334092,0.003155,6.571769,0.007194,0.00070300,0.0047,21.35
8,9.181163,0.005108,6.606042,0.003597,0.00080200,0.0053,21.43
9,9.005388,0.005108,6.349868,0.013189,0.00090100,0.0060,21.36
10,8.863643,0.008714,6.567796,0.007194,0.00100000,0.0067,20.74
11,8.732487,0.011719,6.314541,0.007194,0.00099997,0.0073,21.49
12,8.548393,0.019231,6.592127,0.003597,0.00099988,0.0080,21.39
13,8.361550,0.024489,5.990073,0.017986,0.00099974,0.0087,21.42
14,8.223628,0.034405,6.392601,0.009592,0.00099953,0.0093,21.33
15,8.101824,0.042819,5.700695,0.071942,0.00099927,0.0100,21.57
16,7.977531,0.046875,5.802305,0.041966,0.00099895,0.0107,21.55
17,7.867070,0.059044,7.035489,0.011990,0.00099856,0.0113,21.45
18,7.755073,0.077975,5.915759,0.053957,0.00099813,0.0120,21.46
19,7.654081,0.086689,6.003170,0.029976,0.00099763,0.0127,20.66
20,7.549205,0.100661,6.592661,0.023981,0.00099707,0.0133,21.46
21,7.462755,0.110276,6.160337,0.047962,0.00099646,0.0140,21.45
22,7.353494,0.127704,5.605779,0.071942,0.00099579,0.0147,21.61
23,7.248823,0.146034,5.665018,0.079137,0.00099505,0.0153,21.49
24,7.127469,0.173227,5.191922,0.166667,0.00099427,0.0160,21.33
25,7.011104,0.193359,5.496858,0.117506,0.00099342,0.0167,21.29
26,6.916161,0.216346,5.415328,0.112710,0.00099252,0.0173,21.34
27,6.801392,0.242188,5.458786,0.118705,0.00099155,0.0180,21.41
28,6.692919,0.261869,5.194900,0.155875,0.00099053,0.0187,21.10
29,6.598767,0.279597,4.850978,0.256595,0.00098946,0.0193,21.58
30,6.511131,0.299429,4.530183,0.388489,0.00098832,0.0200,21.40
31,6.416099,0.326773,5.169693,0.217026,0.00098713,0.0207,21.51
32,6.328982,0.355018,5.952292,0.085132,0.00098588,0.0213,21.55
33,6.240949,0.364934,4.746914,0.269784,0.00098458,0.0220,20.67
34,6.136441,0.398137,5.154295,0.189448,0.00098321,0.0227,21.53
35,6.082987,0.409706,4.462069,0.386091,0.00098179,0.0233,21.44
36,5.996056,0.435397,5.525018,0.178657,0.00098032,0.0240,21.48
37,5.887409,0.466346,4.487943,0.374101,0.00097879,0.0247,21.43
38,5.813541,0.479417,4.382918,0.395683,0.00097720,0.0253,21.32
39,5.738401,0.512620,5.333691,0.178657,0.00097555,0.0260,21.43
40,5.661068,0.525841,5.261641,0.202638,0.00097385,0.0267,21.38
41,5.602241,0.537560,4.576652,0.351319,0.00097210,0.0273,21.48
42,5.538678,0.557993,4.849166,0.269784,0.00097029,0.0280,20.77
43,5.455443,0.591346,3.923230,0.623501,0.00096842,0.0287,21.44
44,5.413664,0.592248,3.861863,0.622302,0.00096650,0.0293,21.42
45,5.323734,0.618840,4.477317,0.364508,0.00096452,0.0300,21.40
46,5.248576,0.635517,4.046807,0.538369,0.00096249,0.0307,13.95
47,5.207856,0.646484,4.594487,0.333333,0.00096041,0.0313,12.25
48,5.137259,0.666466,4.255430,0.482014,0.00095827,0.0320,12.05
49,5.083996,0.678486,3.977821,0.547962,0.00095608,0.0327,12.00
50,5.046182,0.685697,3.982306,0.561151,0.00095383,0.0333,11.53
51,5.001314,0.700871,3.845813,0.594724,0.00095154,0.0340,12.31
52,4.951869,0.710186,4.526085,0.404077,0.00094918,0.0347,12.07
53,4.886005,0.736779,4.305059,0.434053,0.00094678,0.0353,12.00
54,4.853943,0.742939,4.144269,0.500000,0.00094432,0.0360,11.67
55,4.823526,0.748197,4.028992,0.509592,0.00094181,0.0367,12.19
56,4.762770,0.762019,3.537746,0.730216,0.00093925,0.0373,11.87
57,4.735488,0.768329,3.302194,0.809353,0.00093664,0.0380,12.33
58,4.674307,0.790415,3.407767,0.772182,0.00093398,0.0387,12.06
59,4.669193,0.784255,3.370170,0.775779,0.00093126,0.0393,12.18
60,4.626068,0.801232,3.527873,0.707434,0.00092850,0.0400,12.29
61,4.590562,0.809495,3.408635,0.735012,0.00092569,0.0407,12.12
62,4.551096,0.818660,3.581271,0.707434,0.00092282,0.0413,12.00
63,4.528848,0.817458,3.133703,0.857314,0.00091991,0.0420,12.04
64,4.493628,0.830679,3.861940,0.569544,0.00091694,0.0427,11.94
65,4.463225,0.839393,4.213150,0.496403,0.00091393,0.0433,12.17
66,4.442503,0.843299,3.612145,0.653477,0.00091087,0.0440,12.01
67,4.406054,0.849159,3.223783,0.816547,0.00090776,0.0447,11.95
68,4.401404,0.841046,3.451951,0.725420,0.00090460,0.0453,12.08
69,4.365153,0.854267,3.239666,0.805755,0.00090140,0.0460,11.73
70,4.341031,0.858774,3.025822,0.880096,0.00089815,0.0467,12.05
71,4.329206,0.856070,3.263410,0.798561,0.00089485,0.0473,12.16
72,4.304645,0.866286,3.027292,0.877698,0.00089151,0.0480,12.21
73,4.267648,0.881310,3.029762,0.872902,0.00088812,0.0487,12.09
74,4.266567,0.872296,2.985324,0.886091,0.00088468,0.0493,11.74
75,4.237819,0.888972,3.037965,0.870504,0.00088120,0.0500,12.04
76,4.221026,0.883864,3.249010,0.800959,0.00087767,0.0507,12.06
77,4.198868,0.892127,3.102852,0.823741,0.00087410,0.0513,12.08
78,4.191219,0.891977,3.074070,0.851319,0.00087049,0.0520,12.20
79,4.165489,0.897686,3.084903,0.853717,0.00086683,0.0527,12.44
80,4.158741,0.895883,3.043206,0.856115,0.00086313,0.0533,12.16
81,4.149737,0.900691,2.953520,0.888489,0.00085939,0.0540,12.04
82,4.114889,0.905048,3.443563,0.727818,0.00085561,0.0547,12.00
83,4.103947,0.902794,3.945367,0.546763,0.00085178,0.0553,12.16
84,4.109118,0.906100,3.004753,0.870504,0.00084791,0.0560,12.27
85,4.079457,0.907452,2.892507,0.910072,0.00084401,0.0567,12.31
86,4.069782,0.911358,2.935342,0.889688,0.00084006,0.0573,12.16
87,4.061330,0.909555,2.971848,0.878897,0.00083607,0.0580,12.21
88,4.056967,0.911809,2.803882,0.920863,0.00083204,0.0587,12.17
89,4.041491,0.914363,3.001213,0.870504,0.00082797,0.0593,12.11
90,4.026908,0.922326,2.787674,0.929257,0.00082387,0.0600,12.11
91,4.024855,0.915565,2.806318,0.922062,0.00081973,0.0607,12.12
92,4.017487,0.919621,2.943881,0.890887,0.00081555,0.0613,11.98
93,3.992891,0.927584,2.745778,0.937650,0.00081133,0.0620,12.22
94,3.990122,0.922776,2.986534,0.869305,0.00080707,0.0627,12.22
95,3.968259,0.932091,2.787227,0.934053,0.00080278,0.0633,12.23
96,3.977306,0.925331,2.711856,0.940048,0.00079846,0.0640,12.25
97,3.957428,0.933744,2.789905,0.930456,0.00079410,0.0647,12.10
98,3.960123,0.931941,2.797317,0.911271,0.00078970,0.0653,11.90
99,3.942987,0.932993,3.262941,0.764988,0.00078528,0.0660,12.09
100,3.926000,0.938702,2.675702,0.944844,0.00078081,0.0667,12.09
101,3.928458,0.936749,2.748741,0.934053,0.00077632,0.0673,12.20
102,3.915590,0.933293,2.777400,0.917266,0.00077179,0.0680,12.21
103,3.919890,0.935547,2.682851,0.950839,0.00076723,0.0687,12.17
104,3.898793,0.940956,2.721995,0.932854,0.00076264,0.0693,12.11
105,3.895104,0.942758,2.997370,0.852518,0.00075802,0.0700,12.04
106,3.890533,0.940505,2.756192,0.931655,0.00075337,0.0707,12.15
107,3.881840,0.945463,2.851850,0.916067,0.00074869,0.0713,12.31
108,3.873329,0.944712,3.373315,0.721823,0.00074398,0.0720,11.98
109,3.872215,0.943960,2.658569,0.946043,0.00073924,0.0727,12.35
110,3.873884,0.940355,2.610592,0.956835,0.00073447,0.0733,12.30
111,3.861382,0.944111,2.642583,0.961631,0.00072968,0.0740,12.17
112,3.850549,0.947566,2.853037,0.894484,0.00072485,0.0747,12.02
113,3.845604,0.950721,2.651135,0.959233,0.00072001,0.0753,11.95
114,3.846233,0.945312,2.786043,0.912470,0.00071513,0.0760,12.20
115,3.834002,0.952975,2.659043,0.955635,0.00071023,0.0767,12.26
116,3.829693,0.950421,2.623746,0.953237,0.00070531,0.0773,11.97
117,3.819368,0.951923,2.654995,0.941247,0.00070036,0.0780,12.29
118,3.818054,0.953125,2.725446,0.917266,0.00069539,0.0787,12.11
119,3.818166,0.951022,2.657730,0.948441,0.00069040,0.0793,12.46
120,3.802423,0.956130,2.611676,0.962830,0.00068538,0.0800,12.30
121,3.805142,0.956731,2.521936,0.971223,0.00068035,0.0807,12.43
122,3.804643,0.952674,2.724580,0.925659,0.00067529,0.0813,12.18
123,3.803807,0.949669,2.773853,0.908873,0.00067021,0.0820,11.67
124,3.782853,0.955829,2.560269,0.967626,0.00066511,0.0827,12.03
125,3.795226,0.958834,2.588512,0.961631,0.00065999,0.0833,12.13
126,3.783803,0.955078,2.599838,0.960432,0.00065485,0.0840,12.11
127,3.778648,0.956881,2.892951,0.876499,0.00064970,0.0847,12.23
128,3.781236,0.958534,2.737800,0.934053,0.00064453,0.0853,12.10
129,3.791461,0.955379,3.691162,0.660671,0.00063934,0.0860,12.21
130,3.768439,0.959285,2.589175,0.955635,0.00063413,0.0867,11.41
131,3.766840,0.959585,2.596922,0.956835,0.00062891,0.0873,12.13
132,3.758421,0.961538,2.574915,0.968825,0.00062367,0.0880,11.44
133,3.758072,0.960637,2.714470,0.934053,0.00061842,0.0887,12.28
134,3.762009,0.964543,2.641533,0.953237,0.00061316,0.0893,12.13
135,3.755830,0.957332,2.598836,0.970024,0.00060788,0.0900,12.20
136,3.756806,0.955679,2.623100,0.952038,0.00060259,0.0907,12.38
137,3.739170,0.960787,3.040835,0.829736,0.00059728,0.0913,12.14
138,3.739816,0.959736,2.954967,0.854916,0.00059197,0.0920,11.97
139,3.729295,0.964694,2.622938,0.952038,0.00058665,0.0927,12.12
140,3.731172,0.965144,2.509229,0.972422,0.00058131,0.0933,12.23
141,3.732749,0.963041,2.734765,0.929257,0.00057597,0.0940,12.11
142,3.746452,0.961989,2.480638,0.977218,0.00057061,0.0947,12.16
143,3.737386,0.963642,2.557600,0.958034,0.00056525,0.0953,11.92
144,3.728740,0.967548,2.657443,0.946043,0.00055988,0.0960,12.04
145,3.724042,0.964844,2.575421,0.958034,0.00055451,0.0967,12.10
146,3.728324,0.958834,2.598674,0.955635,0.00054912,0.0973,12.20
147,3.716189,0.965895,2.537744,0.967626,0.00054373,0.0980,12.12
148,3.716862,0.966346,2.527479,0.973621,0.00053834,0.0987,12.34
149,3.713450,0.965445,2.637400,0.942446,0.00053294,0.0993,12.26
150,3.708092,0.966647,2.638268,0.938849,0.00052754,0.1000,12.47
151,3.708920,0.966647,2.605169,0.949640,0.00052214,0.1007,12.20
152,3.709360,0.966046,2.579276,0.959233,0.00051673,0.1013,12.16
153,3.696035,0.968299,2.486636,0.977218,0.00051132,0.1020,12.39
154,3.696458,0.967248,2.465133,0.976019,0.00050591,0.1027,12.19
155,3.698255,0.968299,2.642755,0.948441,0.00050050,0.1033,12.20
156,3.692866,0.967698,2.477397,0.978417,0.00049509,0.1040,12.28
157,3.697176,0.965895,2.501076,0.973621,0.00048968,0.1047,12.16
158,3.692945,0.968750,2.497245,0.977218,0.00048427,0.1053,12.18
159,3.695112,0.969050,2.517903,0.974820,0.00047886,0.1060,12.16
160,3.692236,0.968750,2.470910,0.977218,0.00047346,0.1067,12.17
161,3.687037,0.967248,2.573849,0.948441,0.00046806,0.1073,12.18
162,3.680693,0.974159,2.479391,0.976019,0.00046266,0.1080,12.06
163,3.675232,0.969050,2.525157,0.971223,0.00045727,0.1087,11.68
164,3.681593,0.970403,2.489796,0.971223,0.00045188,0.1093,12.37
165,3.699075,0.965595,2.524509,0.971223,0.00044649,0.1100,12.06
166,3.684929,0.966196,2.469709,0.977218,0.00044112,0.1107,11.95
167,3.672483,0.973257,2.463662,0.979616,0.00043575,0.1113,12.25
168,3.668072,0.974609,2.471091,0.974820,0.00043039,0.1120,12.17
169,3.679864,0.970403,3.233485,0.767386,0.00042503,0.1127,12.14
170,3.671708,0.969802,2.470806,0.980815,0.00041969,0.1133,11.84
171,3.665356,0.972506,2.448948,0.973621,0.00041435,0.1140,12.04
172,3.672237,0.972055,2.563397,0.967626,0.00040903,0.1147,12.04
173,3.669286,0.972806,2.580187,0.955635,0.00040372,0.1153,12.21
174,3.667331,0.970553,2.510698,0.971223,0.00039841,0.1160,12.09
175,3.665591,0.973257,2.470954,0.978417,0.00039312,0.1167,12.04
176,3.640530,0.977314,2.549157,0.964029,0.00038784,0.1173,12.14
177,3.655261,0.973107,2.677054,0.930456,0.00038258,0.1180,12.23
178,3.659761,0.971304,2.453757,0.986811,0.00037733,0.1187,12.21
179,3.663605,0.973708,2.470749,0.976019,0.00037209,0.1193,12.14
180,3.656474,0.972506,2.595326,0.946043,0.00036687,0.1200,11.89
181,3.646101,0.976863,2.509970,0.974820,0.00036166,0.1207,11.70
182,3.661325,0.972656,2.470537,0.977218,0.00035647,0.1213,11.82
183,3.659387,0.968900,2.520861,0.966427,0.00035130,0.1220,11.83
184,3.645075,0.973558,2.572375,0.962830,0.00034615,0.1227,11.90
185,3.663942,0.970853,2.450519,0.979616,0.00034101,0.1233,12.18
186,3.644918,0.973558,2.455251,0.978417,0.00033589,0.1240,12.17
187,3.659032,0.976262,2.568473,0.958034,0.00033079,0.1247,12.00
188,3.650710,0.976412,2.476903,0.979616,0.00032571,0.1253,12.27
189,3.656145,0.973708,2.442146,0.973621,0.00032065,0.1260,11.99
190,3.654614,0.971304,2.480519,0.977218,0.00031562,0.1267,12.00
191,3.636380,0.975060,2.429331,0.983213,0.00031060,0.1273,12.15
192,3.642837,0.976863,2.586350,0.947242,0.00030561,0.1280,11.95
193,3.642593,0.975361,2.406172,0.980815,0.00030064,0.1287,12.12
194,3.642937,0.972957,2.449772,0.983213,0.00029569,0.1293,12.03
195,3.645000,0.975060,2.448118,0.984412,0.00029077,0.1300,11.98
196,3.646567,0.971755,2.416534,0.984412,0.00028587,0.1307,12.15
197,3.637413,0.973107,2.461819,0.980815,0.00028099,0.1313,12.00
198,3.632208,0.975811,2.437546,0.985612,0.00027615,0.1320,12.03
199,3.627490,0.976262,2.492771,0.976019,0.00027132,0.1327,12.10
200,3.638744,0.975210,2.421357,0.983213,0.00026653,0.1333,12.10
201,3.635984,0.979117,2.432386,0.982014,0.00026176,0.1340,11.90
202,3.635537,0.975361,2.456755,0.977218,0.00025702,0.1347,12.19
203,3.634509,0.977764,2.421857,0.980815,0.00025231,0.1353,11.98
204,3.628256,0.976713,2.484350,0.967626,0.00024763,0.1360,12.06
205,3.627645,0.977915,2.404603,0.985612,0.00024298,0.1367,12.21
206,3.626500,0.978966,2.456248,0.983213,0.00023836,0.1373,12.28
207,3.623629,0.979718,2.418095,0.984412,0.00023377,0.1380,12.08
208,3.623392,0.977314,2.398310,0.985612,0.00022921,0.1387,11.92
209,3.620695,0.979567,2.451644,0.982014,0.00022468,0.1393,11.99
210,3.639268,0.972506,2.411946,0.986811,0.00022019,0.1400,12.13
211,3.626680,0.975661,2.441861,0.978417,0.00021572,0.1407,12.01
212,3.629810,0.973708,2.418146,0.990408,0.00021130,0.1413,12.13
213,3.621377,0.978365,2.433855,0.980815,0.00020690,0.1420,12.03
214,3.631242,0.976863,2.430418,0.983213,0.00020254,0.1427,12.10
215,3.623033,0.977614,2.433272,0.980815,0.00019822,0.1433,12.00
216,3.622859,0.975811,2.408178,0.984412,0.00019393,0.1440,12.01
217,3.626905,0.973558,2.447356,0.983213,0.00018967,0.1447,12.25
218,3.621111,0.977764,2.458134,0.979616,0.00018545,0.1453,11.75
219,3.619612,0.978966,2.416881,0.984412,0.00018127,0.1460,11.95
220,3.627672,0.975661,2.439618,0.977218,0.00017713,0.1467,12.28
221,3.627505,0.974309,2.422499,0.986811,0.00017303,0.1473,11.93
222,3.619257,0.980018,2.417589,0.989209,0.00016896,0.1480,12.14
223,3.625581,0.976713,2.428647,0.985612,0.00016493,0.1487,11.92
224,3.621259,0.974760,2.395143,0.990408,0.00016094,0.1493,12.00
225,3.618676,0.976863,2.398044,0.988010,0.00015699,0.1500,12.11
226,3.618294,0.978065,2.422674,0.982014,0.00015309,0.1507,12.23
227,3.622417,0.978666,2.417820,0.990408,0.00014922,0.1513,12.18
228,3.630034,0.978365,2.427661,0.986811,0.00014539,0.1520,12.16
229,3.627209,0.977464,2.418522,0.989209,0.00014161,0.1527,12.20
230,3.628058,0.974309,2.398745,0.985612,0.00013787,0.1533,12.04
231,3.623062,0.980319,2.441708,0.984412,0.00013417,0.1540,11.96
232,3.622836,0.976262,2.395373,0.988010,0.00013051,0.1547,11.84
233,3.623586,0.977314,2.423885,0.985612,0.00012690,0.1553,11.72
234,3.628529,0.975511,2.397646,0.986811,0.00012333,0.1560,12.09
