epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.650177,0.001653,6.798749,0.001199,0.00010900,0.0007,11.18
2,9.514331,0.001202,6.733196,0.001199,0.00020800,0.0013,10.70
3,9.447759,0.001803,6.728345,0.001199,0.00030700,0.0020,10.53
4,9.433056,0.001202,6.724448,0.001199,0.00040600,0.0027,10.46
5,9.403299,0.001653,6.698906,0.002398,0.00050500,0.0033,10.59
6,9.321768,0.001202,6.612161,0.003597,0.00060400,0.0040,10.71
7,9.179161,0.003606,7.575391,0.003597,0.00070300,0.0047,10.70
8,9.023672,0.004657,6.778229,0.002398,0.00080200,0.0053,10.77
9,8.870156,0.009165,6.436807,0.009592,0.00090100,0.0060,10.76
10,8.733422,0.011869,7.011703,0.005995,0.00100000,0.0067,10.74
11,8.568570,0.014273,7.107885,0.003597,0.00099997,0.0073,10.84
12,8.384393,0.024339,5.989352,0.026379,0.00099988,0.0080,10.84
13,8.208770,0.032452,6.126725,0.021583,0.00099974,0.0087,10.85
14,8.043875,0.046875,5.988394,0.028777,0.00099953,0.0093,10.81
15,7.903124,0.052434,6.150180,0.022782,0.00099927,0.0100,10.95
16,7.782288,0.071965,5.535463,0.085132,0.00099895,0.0107,15.38
17,7.679483,0.082332,6.175609,0.028777,0.00099856,0.0113,25.60
18,7.563716,0.089694,6.053204,0.043165,0.00099813,0.0120,27.00
19,7.461879,0.105319,8.067665,0.007194,0.00099763,0.0127,25.81
20,7.349648,0.122746,6.650831,0.026379,0.00099707,0.0133,25.30
21,7.260801,0.127254,5.658767,0.071942,0.00099646,0.0140,25.33
22,7.160711,0.145733,5.420063,0.087530,0.00099579,0.0147,25.50
23,7.070529,0.153696,6.727948,0.026379,0.00099505,0.0153,25.25
24,6.967544,0.174880,6.679484,0.031175,0.00099427,0.0160,25.56
25,6.849867,0.198017,5.100502,0.152278,0.00099342,0.0167,24.83
26,6.772974,0.218149,7.743568,0.015588,0.00099252,0.0173,24.84
27,6.630958,0.248047,5.699285,0.058753,0.00099155,0.0180,24.84
28,6.535998,0.262169,4.982491,0.183453,0.00099053,0.0187,24.90
29,6.443923,0.276142,4.603143,0.353717,0.00098946,0.0193,25.17
30,6.342742,0.305589,4.633147,0.318945,0.00098832,0.0200,25.56
31,6.246718,0.332332,4.557933,0.320144,0.00098713,0.0207,24.86
32,6.122797,0.367188,5.671206,0.139089,0.00098588,0.0213,24.99
33,6.015115,0.385667,6.431190,0.089928,0.00098458,0.0220,24.92
34,5.904042,0.413762,4.965936,0.239808,0.00098321,0.0227,25.03
35,5.818311,0.433143,5.493675,0.134293,0.00098179,0.0233,25.58
36,5.722896,0.454778,5.028325,0.187050,0.00098032,0.0240,25.36
37,5.590261,0.495192,4.897339,0.248201,0.00097879,0.0247,25.14
38,5.516830,0.517879,4.842520,0.236211,0.00097720,0.0253,25.15
39,5.447976,0.534856,4.699809,0.278177,0.00097555,0.0260,25.15
40,5.351691,0.558594,6.211158,0.116307,0.00097385,0.0267,25.15
41,5.288173,0.570763,4.491486,0.340528,0.00097210,0.0273,25.75
42,5.211321,0.593600,4.374085,0.388489,0.00097029,0.0280,25.06
43,5.144406,0.620042,4.339087,0.414868,0.00096842,0.0287,25.11
44,5.072856,0.637019,6.469369,0.080336,0.00096650,0.0293,24.99
45,4.975455,0.661358,6.421971,0.091127,0.00096452,0.0300,25.02
46,4.913413,0.675781,3.466412,0.745803,0.00096249,0.0307,24.92
47,4.869743,0.687951,3.556324,0.683453,0.00096041,0.0313,25.43
48,4.776084,0.719201,3.692096,0.628297,0.00095827,0.0320,25.02
49,4.757826,0.716947,3.365637,0.773381,0.00095608,0.0327,25.01
50,4.711567,0.728666,5.799141,0.166667,0.00095383,0.0333,25.05
51,4.657460,0.752554,3.736749,0.609113,0.00095154,0.0340,25.11
52,4.623363,0.751953,3.276509,0.770983,0.00094918,0.0347,25.22
53,4.569087,0.765475,5.376696,0.172662,0.00094678,0.0353,25.65
54,4.522160,0.783654,3.892488,0.567146,0.00094432,0.0360,25.11
55,4.504023,0.779898,3.241850,0.797362,0.00094181,0.0367,24.97
56,4.456820,0.792067,4.548878,0.327338,0.00093925,0.0373,25.08
57,4.436141,0.803486,3.312157,0.755396,0.00093664,0.0380,24.93
58,4.396606,0.813251,4.005635,0.509592,0.00093398,0.0387,25.53
59,4.365780,0.818209,3.713635,0.585132,0.00093126,0.0393,25.13
60,4.326317,0.830980,3.610030,0.635492,0.00092850,0.0400,24.82
61,4.303429,0.835186,3.231006,0.781775,0.00092569,0.0407,24.88
62,4.263857,0.840595,3.418974,0.712230,0.00092282,0.0413,24.73
63,4.240753,0.844802,3.816086,0.587530,0.00091991,0.0420,24.99
64,4.211289,0.857873,3.102116,0.838129,0.00091694,0.0427,25.66
65,4.185238,0.864934,3.188485,0.796163,0.00091393,0.0433,24.87
66,4.185870,0.866887,3.638593,0.610312,0.00091087,0.0440,24.85
67,4.140535,0.876352,3.613769,0.633094,0.00090776,0.0447,24.89
68,4.136762,0.872296,2.865639,0.908873,0.00090460,0.0453,25.02
69,4.101819,0.878005,3.048276,0.838129,0.00090140,0.0460,25.02
70,4.083153,0.884165,3.591395,0.609113,0.00089815,0.0467,25.64
71,4.066089,0.888672,2.876868,0.900480,0.00089485,0.0473,25.08
72,4.050522,0.893480,3.042825,0.839329,0.00089151,0.0480,25.02
73,4.022925,0.904597,3.336520,0.733813,0.00088812,0.0487,24.82
74,4.017967,0.899189,2.927132,0.870504,0.00088468,0.0493,24.72
75,3.994851,0.906701,3.626300,0.623501,0.00088120,0.0500,25.07
76,3.982623,0.905349,3.524453,0.665468,0.00087767,0.0507,25.11
77,3.954221,0.916016,3.088497,0.814149,0.00087410,0.0513,24.89
78,3.951979,0.911659,3.343617,0.715827,0.00087049,0.0520,24.98
79,3.933178,0.913612,2.763847,0.907674,0.00086683,0.0527,25.02
80,3.923364,0.913762,2.894766,0.875300,0.00086313,0.0533,25.02
81,3.906589,0.920373,3.199623,0.781775,0.00085939,0.0540,25.62
82,3.875731,0.926833,3.101203,0.817746,0.00085561,0.0547,24.96
83,3.884745,0.922626,2.914636,0.889688,0.00085178,0.0553,25.10
84,3.885947,0.919772,4.498098,0.350120,0.00084791,0.0560,25.02
85,3.855276,0.929838,2.742955,0.906475,0.00084401,0.0567,24.94
86,3.845364,0.931190,2.739700,0.912470,0.00084006,0.0573,25.02
87,3.826043,0.934495,2.908943,0.870504,0.00083607,0.0580,25.63
88,3.827731,0.932993,3.674356,0.592326,0.00083204,0.0587,24.93
89,3.813748,0.933744,2.873064,0.886091,0.00082797,0.0593,24.92
90,3.809315,0.941106,2.967044,0.863309,0.00082387,0.0600,24.84
91,3.801838,0.937350,3.066101,0.827338,0.00081973,0.0607,25.13
92,3.800471,0.934946,2.734683,0.918465,0.00081555,0.0613,25.21
93,3.787753,0.941256,3.105565,0.791367,0.00081133,0.0620,25.61
94,3.781185,0.941106,3.417181,0.678657,0.00080707,0.0627,24.82
95,3.756065,0.948317,2.568165,0.953237,0.00080278,0.0633,24.69
96,3.767179,0.945913,3.200008,0.763789,0.00079846,0.0640,24.83
97,3.749444,0.951322,2.730317,0.918465,0.00079410,0.0647,24.98
98,3.748417,0.944261,2.716883,0.918465,0.00078970,0.0653,25.24
99,3.742268,0.946364,2.929171,0.851319,0.00078528,0.0660,25.07
100,3.733241,0.945613,2.642013,0.931655,0.00078081,0.0667,24.89
101,3.723149,0.950571,2.557656,0.950839,0.00077632,0.0673,24.85
102,3.721661,0.952825,2.796403,0.889688,0.00077179,0.0680,24.93
103,3.700253,0.954778,2.626663,0.938849,0.00076723,0.0687,24.70
104,3.704705,0.951773,3.128284,0.794964,0.00076264,0.0693,25.41
105,3.694077,0.957933,2.930287,0.851319,0.00075802,0.0700,24.83
106,3.697674,0.957332,2.703101,0.924460,0.00075337,0.0707,24.62
107,3.682848,0.960487,2.919122,0.853717,0.00074869,0.0713,24.76
108,3.684543,0.952524,2.615877,0.944844,0.00074398,0.0720,24.74
109,3.676546,0.957181,2.731917,0.910072,0.00073924,0.0727,24.78
110,3.674655,0.959886,2.544784,0.956835,0.00073447,0.0733,25.46
111,3.662566,0.962139,2.607963,0.948441,0.00072968,0.0740,24.70
112,3.659064,0.960787,2.729498,0.905276,0.00072485,0.0747,24.71
113,3.658961,0.960337,2.584256,0.936451,0.00072001,0.0753,24.66
114,3.662735,0.955829,2.572926,0.946043,0.00071513,0.0760,24.89
115,3.646217,0.963191,2.833879,0.886091,0.00071023,0.0767,24.89
116,3.635581,0.966797,2.519605,0.954436,0.00070531,0.0773,25.38
117,3.631299,0.962290,2.544027,0.954436,0.00070036,0.0780,24.89
118,3.629424,0.962891,2.629908,0.934053,0.00069539,0.0787,24.88
119,3.642470,0.961989,3.068031,0.820144,0.00069040,0.0793,25.07
120,3.624642,0.968299,2.763641,0.890887,0.00068538,0.0800,25.30
121,3.627810,0.964694,2.485654,0.961631,0.00068035,0.0807,25.57
122,3.615449,0.966046,2.564200,0.947242,0.00067529,0.0813,25.44
123,3.629417,0.962740,2.539719,0.964029,0.00067021,0.0820,24.96
