epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.431125,0.001352,6.729086,0.001199,0.00010900,0.0007,30.22
2,9.429333,0.001803,6.726348,0.001199,0.00020800,0.0013,29.15
3,9.420107,0.000901,6.714937,0.003597,0.00030700,0.0020,28.91
4,9.383575,0.002855,6.635742,0.004796,0.00040600,0.0027,29.03
5,9.278171,0.004808,6.517629,0.007194,0.00050500,0.0033,29.05
6,9.116126,0.007963,6.324601,0.007194,0.00060400,0.0040,28.98
7,8.957777,0.009766,6.572848,0.003597,0.00070300,0.0047,28.90
8,8.806775,0.013522,6.481065,0.010791,0.00080200,0.0053,29.01
9,8.640786,0.022987,7.139769,0.005995,0.00090100,0.0060,29.01
10,8.484928,0.031250,6.364518,0.013189,0.00100000,0.0067,29.02
11,8.315370,0.039814,6.164553,0.027578,0.00099997,0.0073,29.01
12,8.164487,0.052584,5.887035,0.050360,0.00099988,0.0080,29.01
13,8.009872,0.071514,6.601215,0.019185,0.00099974,0.0087,29.04
14,7.855015,0.088642,5.594273,0.085132,0.00099953,0.0093,28.99
15,7.730364,0.104718,5.679341,0.055156,0.00099927,0.0100,28.96
16,7.583219,0.131310,5.455724,0.097122,0.00099895,0.0107,29.01
17,7.471837,0.143930,5.132905,0.189448,0.00099856,0.0113,28.95
18,7.354353,0.165715,5.419829,0.095923,0.00099813,0.0120,29.05
19,7.251225,0.190505,5.384687,0.107914,0.00099763,0.0127,29.05
20,7.116290,0.213341,5.126249,0.172662,0.00099707,0.0133,29.03
21,6.990893,0.240535,4.805379,0.276978,0.00099646,0.0140,29.03
22,6.908203,0.262019,4.743082,0.293765,0.00099579,0.0147,29.04
23,6.802354,0.291316,5.547129,0.094724,0.00099505,0.0153,29.08
24,6.692901,0.310246,5.407383,0.122302,0.00099427,0.0160,29.03
25,6.568518,0.342548,4.724102,0.292566,0.00099342,0.0167,28.97
26,6.460662,0.372596,4.578430,0.326139,0.00099252,0.0173,28.92
27,6.351193,0.408504,5.008415,0.239808,0.00099155,0.0180,29.01
28,6.245959,0.433444,4.622009,0.328537,0.00099053,0.0187,29.03
29,6.136336,0.474008,5.878316,0.097122,0.00098946,0.0193,29.08
30,6.050561,0.496394,4.965659,0.214628,0.00098832,0.0200,29.13
31,5.946548,0.519381,5.677620,0.171463,0.00098713,0.0207,29.09
