epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,0.985908,0.375000,0.689205,0.600000,0.00010900,0.0007,1.99
2,0.974518,0.562500,0.688805,0.600000,0.00020800,0.0013,1.05
3,1.002757,0.468750,0.688539,0.600000,0.00030700,0.0020,1.07
4,0.974672,0.406250,0.688577,0.600000,0.00040600,0.0027,1.05
5,0.942402,0.656250,0.688969,0.600000,0.00050500,0.0033,1.07
6,0.929867,0.656250,0.689088,0.600000,0.00060400,0.0040,1.05
7,0.924567,0.625000,0.689565,0.600000,0.00070300,0.0047,1.01
8,0.938859,0.656250,0.691007,0.600000,0.00080200,0.0053,1.10
9,0.890227,0.718750,0.692474,0.600000,0.00090100,0.0060,1.08
10,0.921227,0.687500,0.694679,0.400000,0.00100000,0.0067,1.13
11,0.920368,0.687500,0.696259,0.400000,0.00099997,0.0073,1.09
12,0.848196,0.687500,0.697537,0.400000,0.00099988,0.0080,1.09
13,0.850894,0.750000,0.696304,0.400000,0.00099974,0.0087,1.08
14,0.903645,0.718750,0.694394,0.400000,0.00099953,0.0093,1.04
15,0.698703,0.875000,0.689773,0.600000,0.00099927,0.0100,1.08
16,0.907082,0.718750,0.686892,0.600000,0.00099895,0.0107,1.09
17,0.730132,0.906250,0.683754,0.600000,0.00099856,0.0113,1.04
18,0.759278,0.843750,0.680527,0.600000,0.00099813,0.0120,1.06
19,0.723993,0.843750,0.678176,0.600000,0.00099763,0.0127,1.06
20,0.763171,0.812500,0.684329,0.600000,0.00099707,0.0133,1.08
21,0.698452,0.781250,0.702735,0.600000,0.00099646,0.0140,1.05
22,0.737345,0.781250,0.737501,0.600000,0.00099579,0.0147,1.11
23,0.822191,0.843750,0.776978,0.600000,0.00099505,0.0153,1.09
24,0.664659,0.875000,0.809380,0.600000,0.00099427,0.0160,1.12
25,0.667982,0.906250,0.835974,0.600000,0.00099342,0.0167,1.10
26,0.687652,0.906250,0.837870,0.600000,0.00099252,0.0173,1.07
27,0.689789,0.875000,0.828302,0.600000,0.00099155,0.0180,1.11
28,0.550776,1.000000,0.821382,0.600000,0.00099053,0.0187,1.12
29,0.580618,0.968750,0.808805,0.600000,0.00098946,0.0193,1.10
30,0.558915,0.937500,0.794476,0.600000,0.00098832,0.0200,1.09
31,0.593114,0.906250,0.769804,0.600000,0.00098713,0.0207,1.07
32,0.654980,0.906250,0.741832,0.600000,0.00098588,0.0213,1.10
33,0.640932,0.906250,0.702310,0.600000,0.00098458,0.0220,1.14
34,0.595715,0.906250,0.683618,0.600000,0.00098321,0.0227,1.14
35,0.612507,0.906250,0.673410,0.600000,0.00098179,0.0233,1.12
36,0.562524,0.968750,0.673741,0.600000,0.00098032,0.0240,1.04
37,0.552054,0.968750,0.672827,0.600000,0.00097879,0.0247,1.07
38,0.598891,0.906250,0.666378,0.600000,0.00097720,0.0253,1.07
39,0.573753,0.937500,0.647965,0.600000,0.00097555,0.0260,1.07
40,0.537858,1.000000,0.648328,0.600000,0.00097385,0.0267,1.07
41,0.592175,0.937500,0.652919,0.600000,0.00097210,0.0273,1.08
42,0.739702,0.812500,0.653762,0.600000,0.00097029,0.0280,1.08
43,0.617475,0.937500,0.634613,0.600000,0.00096842,0.0287,1.09
44,0.669263,0.906250,0.596544,0.600000,0.00096650,0.0293,1.08
45,0.532501,1.000000,0.550656,0.800000,0.00096452,0.0300,1.06
46,0.569284,0.937500,0.485123,0.850000,0.00096249,0.0307,1.07
47,0.812495,0.812500,0.444821,0.850000,0.00096041,0.0313,1.03
48,0.564046,0.937500,0.433979,1.000000,0.00095827,0.0320,1.06
49,0.544775,0.968750,0.432720,1.000000,0.00095608,0.0327,1.07
50,0.612433,0.906250,0.424703,1.000000,0.00095383,0.0333,1.04
51,0.635547,0.937500,0.431614,1.000000,0.00095154,0.0340,1.05
52,0.747116,0.812500,0.439736,1.000000,0.00094918,0.0347,1.09
53,0.617866,0.937500,0.414620,1.000000,0.00094678,0.0353,1.13
54,0.638904,0.906250,0.429485,1.000000,0.00094432,0.0360,1.06
55,0.659335,0.812500,0.437291,0.900000,0.00094181,0.0367,1.15
56,0.613881,0.937500,0.409555,0.950000,0.00093925,0.0373,1.14
57,0.641204,0.843750,0.360561,1.000000,0.00093664,0.0380,1.08
58,0.596179,0.906250,0.360167,1.000000,0.00093398,0.0387,1.11
59,0.574022,0.937500,0.349638,1.000000,0.00093126,0.0393,1.10
60,0.621235,0.937500,0.349004,1.000000,0.00092850,0.0400,1.07
61,0.527244,1.000000,0.353837,1.000000,0.00092569,0.0407,1.08
62,0.597968,0.968750,0.353283,1.000000,0.00092282,0.0413,1.11
63,0.593454,0.906250,0.355786,1.000000,0.00091991,0.0420,1.10
64,0.538940,1.000000,0.356383,1.000000,0.00091694,0.0427,1.08
65,0.567165,1.000000,0.352811,1.000000,0.00091393,0.0433,1.09
66,0.558878,0.937500,0.356393,1.000000,0.00091087,0.0440,1.03
67,0.597851,1.000000,0.357172,1.000000,0.00090776,0.0447,1.09
68,0.536704,0.968750,0.351869,1.000000,0.00090460,0.0453,1.07
69,0.565271,1.000000,0.350570,1.000000,0.00090140,0.0460,1.11
70,0.553661,0.968750,0.348667,1.000000,0.00089815,0.0467,1.08
71,0.593599,0.906250,0.355400,1.000000,0.00089485,0.0473,1.08
72,0.524854,1.000000,0.365324,1.000000,0.00089151,0.0480,1.06
73,0.565836,0.937500,0.364687,1.000000,0.00088812,0.0487,1.10
74,0.540192,1.000000,0.361545,1.000000,0.00088468,0.0493,1.12
75,0.534677,1.000000,0.355517,1.000000,0.00088120,0.0500,1.14
