global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
1,1,1,6.848663,0.000000,0.0000,6.658544,0.0072,0.024905,12,125.6
2,1,2,6.583653,0.000000,0.0054,6.491714,0.0120,0.024623,12,127.9
3,1,3,6.284048,0.000000,0.0099,6.250546,0.0180,0.024157,12,150.5
4,1,4,5.937119,0.000000,0.0195,6.775769,0.0108,0.023516,12,175.8
5,1,5,5.543770,0.000000,0.0385,5.602860,0.0360,0.022708,12,190.2
6,1,6,5.215405,0.000000,0.0643,5.554721,0.0600,0.021748,12,174.5
7,1,7,4.864361,0.000000,0.1094,5.044135,0.1067,0.020649,12,215.0
8,1,8,4.500460,0.000000,0.1647,5.036808,0.1103,0.019430,12,212.6
9,1,9,4.158151,0.000000,0.2266,4.340733,0.2410,0.018109,12,238.3
10,1,10,3.791860,0.000000,0.3131,4.348686,0.2530,0.016708,12,233.6
11,1,11,3.493998,4.204909,0.3930,4.052275,0.3022,0.015249,12,439.9
12,1,12,3.227687,3.920340,0.4697,3.533137,0.4640,0.013753,12,418.3
13,1,13,2.985299,3.742701,0.5475,3.292892,0.5396,0.012247,12,353.4
14,1,14,2.786842,3.576127,0.6226,3.158422,0.5779,0.010751,12,281.6
15,1,15,2.617460,3.399840,0.6971,3.134099,0.5707,0.009292,12,306.1
16,1,16,2.462519,3.268299,0.7524,2.859860,0.6607,0.007891,12,370.8
17,1,17,2.338808,3.139692,0.8005,2.910488,0.6547,0.006570,12,519.1
18,1,18,2.244267,3.074632,0.8344,2.708350,0.7038,0.005351,12,528.0
19,1,19,2.152552,2.989219,0.8690,2.649880,0.7218,0.004252,12,517.9
20,1,20,2.085162,2.921642,0.8942,2.527144,0.7602,0.003292,12,510.7
21,1,21,2.041392,2.880492,0.9084,2.516009,0.7686,0.002484,12,517.1
22,1,22,1.991621,2.852681,0.9228,2.471532,0.7758,0.001843,12,514.7
23,1,23,1.971210,2.826273,0.9249,2.460433,0.7818,0.001377,12,505.5
24,1,24,1.952996,2.793729,0.9324,2.451160,0.7794,0.001095,12,501.3
25,1,25,1.945273,2.774004,0.9366,2.447187,0.7782,0.001000,12,514.1
26,2,1,6.814726,0.000000,0.0003,6.733597,0.0012,0.024905,7,240.8
27,2,2,6.743041,0.000000,0.0012,6.739499,0.0012,0.024623,7,237.0
28,2,3,6.721487,0.000000,0.0009,6.741074,0.0012,0.024157,7,238.2
29,2,4,6.709628,0.000000,0.0018,6.745460,0.0012,0.023516,7,250.3
30,2,5,6.691152,0.000000,0.0012,6.789544,0.0012,0.022708,7,228.1
31,2,6,6.627810,0.000000,0.0021,6.605181,0.0048,0.021748,7,192.0
32,2,7,6.495531,0.000000,0.0036,6.485817,0.0048,0.020649,7,201.6
33,2,8,6.326404,0.000000,0.0057,6.270131,0.0108,0.019430,7,199.5
34,2,9,6.090750,0.000000,0.0072,6.413002,0.0108,0.018109,7,191.9
35,2,10,5.886616,0.000000,0.0156,6.064237,0.0180,0.016708,7,204.5
36,2,11,5.700913,6.065733,0.0261,5.777730,0.0336,0.015249,7,350.7
37,2,12,5.519578,5.931188,0.0291,5.563131,0.0480,0.013753,7,326.9
38,2,13,5.359805,5.822035,0.0487,5.514696,0.0468,0.012247,7,339.3
39,2,14,5.215739,5.712207,0.0580,5.653550,0.0360,0.010751,7,331.9
40,2,15,5.088771,5.580563,0.0757,5.414066,0.0564,0.009292,7,326.4
41,2,16,4.893655,5.466858,0.0983,4.992431,0.1307,0.007891,7,277.3
42,2,17,4.728180,5.313527,0.1295,5.023294,0.1391,0.006570,7,253.2
43,2,18,4.492614,5.182923,0.1626,4.755576,0.1906,0.005351,7,249.5
44,2,19,4.320265,5.046892,0.2073,4.617966,0.2050,0.004252,7,253.8
45,2,20,4.151189,4.910674,0.2584,4.470235,0.2650,0.003292,7,249.5
46,2,21,3.992825,4.804334,0.3062,4.374422,0.2926,0.002484,7,252.2
47,2,22,3.854213,4.710162,0.3528,4.271687,0.3153,0.001843,7,251.6
48,2,23,3.763836,4.653920,0.3747,4.244468,0.3261,0.001377,7,226.7
49,2,24,3.675358,4.598606,0.4096,4.223748,0.3273,0.001095,7,218.0
50,2,25,3.644283,4.539154,0.4237,4.096730,0.3729,0.001000,7,217.7
51,3,1,6.768406,0.000000,0.0006,6.728163,0.0012,0.024905,4,89.9
52,3,2,6.715306,0.000000,0.0015,6.717578,0.0012,0.024623,4,89.8
53,3,3,6.677775,0.000000,0.0018,6.670547,0.0012,0.024157,4,89.2
54,3,4,6.565104,0.000000,0.0036,6.549965,0.0060,0.023516,4,89.7
55,3,5,6.407774,0.000000,0.0048,6.373059,0.0132,0.022708,4,89.5
56,3,6,6.192365,0.000000,0.0090,6.190939,0.0144,0.021748,4,89.6
57,3,7,6.016905,0.000000,0.0120,5.976908,0.0192,0.020649,4,89.3
58,3,8,5.834455,0.000000,0.0207,5.815344,0.0276,0.019430,4,89.8
59,3,9,5.665227,0.000000,0.0264,5.628802,0.0420,0.018109,4,89.7
60,3,10,5.515471,0.000000,0.0352,5.532693,0.0444,0.016708,4,89.1
61,3,11,5.293260,5.702276,0.0592,5.283636,0.0863,0.015249,4,173.5
62,3,12,5.101824,5.512537,0.0760,5.173969,0.0947,0.013753,4,174.5
63,3,13,4.878652,5.377112,0.1049,4.864828,0.1547,0.012247,4,174.2
64,3,14,4.656947,5.178608,0.1328,4.796549,0.1487,0.010751,4,172.7
65,3,15,4.458781,5.016239,0.1770,4.728768,0.1691,0.009292,4,222.9
