global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
1,1,1,6.851469,0.000000,0.0006,6.664671,0.0036,0.024905,12,138.6
2,1,2,6.625091,0.000000,0.0033,6.566506,0.0024,0.024623,12,136.9
3,1,3,6.337611,0.000000,0.0063,6.421715,0.0144,0.024157,12,136.8
4,1,4,5.943908,0.000000,0.0180,6.502545,0.0108,0.023516,12,138.0
5,1,5,5.544925,0.000000,0.0409,5.573529,0.0396,0.022708,12,137.7
6,1,6,5.208262,0.000000,0.0661,5.437109,0.0624,0.021748,12,136.3
7,1,7,4.858917,0.000000,0.1118,5.116669,0.1019,0.020649,12,138.4
8,1,8,4.516542,0.000000,0.1647,4.715361,0.1727,0.019430,12,140.2
9,1,9,4.171791,0.000000,0.2221,4.904925,0.1583,0.018109,12,137.1
10,1,10,3.794454,0.000000,0.3170,4.662128,0.1930,0.016708,12,137.6
11,1,11,3.456712,4.224565,0.4087,3.693150,0.4065,0.015249,12,265.3
12,1,12,3.154472,3.912199,0.5000,3.570895,0.4556,0.013753,12,265.1
13,1,13,2.905494,3.714979,0.5820,3.243877,0.5576,0.012247,12,264.9
14,1,14,2.703005,3.555661,0.6572,3.097315,0.5827,0.010751,12,266.7
15,1,15,2.512681,3.377242,0.7344,3.008573,0.6067,0.009292,12,265.6
16,1,16,2.361762,3.238898,0.7779,2.873213,0.6679,0.007891,12,268.6
17,1,17,2.233977,3.118485,0.8359,2.800520,0.6823,0.006570,12,266.4
18,1,18,2.139039,3.027430,0.8624,2.611596,0.7374,0.005351,12,263.4
19,1,19,2.036461,2.942065,0.8987,2.567655,0.7374,0.004252,12,266.4
20,1,20,1.964633,2.881325,0.9285,2.449386,0.7578,0.003292,12,265.6
21,1,21,1.929249,2.817162,0.9336,2.450966,0.7686,0.002484,12,269.5
22,1,22,1.885966,2.808315,0.9468,2.397657,0.7818,0.001843,12,267.6
23,1,23,1.863773,2.774129,0.9492,2.371661,0.7842,0.001377,12,265.4
24,1,24,1.838536,2.732098,0.9603,2.366293,0.7926,0.001095,12,265.2
25,1,25,1.825676,2.716192,0.9594,2.348399,0.7974,0.001000,12,265.7
26,2,1,6.815925,0.000000,0.0003,6.734478,0.0012,0.024905,7,116.2
27,2,2,6.729333,0.000000,0.0015,6.740411,0.0012,0.024623,7,115.5
28,2,3,6.719053,0.000000,0.0018,6.746991,0.0024,0.024157,7,121.0
29,2,4,6.702599,0.000000,0.0030,6.724414,0.0036,0.023516,7,118.9
30,2,5,6.660373,0.000000,0.0024,6.683093,0.0048,0.022708,7,118.2
31,2,6,6.547088,0.000000,0.0045,6.546767,0.0036,0.021748,7,120.4
32,2,7,6.360541,0.000000,0.0069,6.425194,0.0096,0.020649,7,119.5
33,2,8,6.132565,0.000000,0.0126,6.144270,0.0168,0.019430,7,118.2
34,2,9,5.881753,0.000000,0.0165,5.880280,0.0264,0.018109,7,117.6
35,2,10,5.662646,0.000000,0.0291,5.697617,0.0336,0.016708,7,119.7
36,2,11,5.476068,5.917859,0.0409,5.645626,0.0384,0.015249,7,236.4
37,2,12,5.304722,5.781730,0.0487,5.309603,0.0695,0.013753,7,233.7
