global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
1,1,1,6.746832,0.000000,0.0018,6.696285,0.0048,0.024905,5,50.1
2,1,2,6.415870,0.000000,0.0069,6.459859,0.0084,0.024623,5,47.2
3,1,3,6.074202,0.000000,0.0159,6.004837,0.0180,0.024157,5,46.2
4,1,4,5.694803,0.000000,0.0379,5.663240,0.0504,0.023516,5,44.7
5,1,5,5.309387,0.000000,0.0619,5.443087,0.0791,0.022708,5,43.6
6,1,6,4.934711,0.000000,0.1025,5.136235,0.0983,0.021748,5,43.7
7,1,7,4.577865,0.000000,0.1502,5.240883,0.1163,0.020649,5,45.3
8,1,8,4.240057,0.000000,0.2320,4.659554,0.1894,0.019430,5,48.0
9,1,9,3.889348,0.000000,0.3026,5.555800,0.1199,0.018109,5,44.8
10,1,10,3.590435,0.000000,0.3810,5.996735,0.1043,0.016708,5,45.4
11,1,11,3.363874,4.086494,0.4552,3.660329,0.4472,0.015249,5,92.5
12,1,12,3.121267,3.892151,0.5264,3.680950,0.4101,0.013753,5,92.1
13,1,13,2.889858,3.711087,0.6010,3.648846,0.4748,0.012247,5,88.0
14,1,14,2.715573,3.543711,0.6620,3.256299,0.5659,0.010751,5,87.2
15,1,15,2.567253,3.432410,0.7079,3.138691,0.5887,0.009292,5,90.8
16,1,16,2.431773,3.338692,0.7641,3.080320,0.6079,0.007891,5,86.0
17,1,17,2.325048,3.229726,0.8041,2.875529,0.6703,0.006570,5,87.1
18,1,18,2.278016,3.168660,0.8203,2.844719,0.6811,0.005351,5,87.0
19,1,19,2.190177,3.094329,0.8498,2.725912,0.7098,0.004252,5,91.6
20,1,20,2.126207,3.067768,0.8663,2.670477,0.7242,0.003292,5,90.6
21,1,21,2.075019,3.013465,0.8852,2.599634,0.7386,0.002484,5,89.1
22,1,22,2.024931,2.988966,0.9029,2.607975,0.7278,0.001843,5,85.7
23,1,23,2.019322,2.964327,0.9075,2.580072,0.7482,0.001377,5,90.6
24,1,24,1.992053,2.944826,0.9168,2.562204,0.7602,0.001095,5,88.1
25,1,25,1.981102,2.935372,0.9153,2.512544,0.7710,0.001000,5,88.8
26,2,1,6.720651,0.000000,0.0009,6.588508,0.0048,0.024905,4,65.8
27,2,2,6.484609,0.000000,0.0057,6.395407,0.0036,0.024623,4,64.4
28,2,3,6.126530,0.000000,0.0129,6.201441,0.0180,0.024157,4,67.1
29,2,4,5.829067,0.000000,0.0198,5.730972,0.0372,0.023516,4,67.8
30,2,5,5.537283,0.000000,0.0394,5.614321,0.0504,0.022708,4,67.2
31,2,6,5.288058,0.000000,0.0634,5.495248,0.0576,0.021748,4,69.5
32,2,7,5.038576,0.000000,0.0874,5.419981,0.0755,0.020649,4,68.9
33,2,8,4.740592,0.000000,0.1244,5.430532,0.0875,0.019430,4,68.7
34,2,9,4.458373,0.000000,0.1773,5.034664,0.1331,0.018109,4,69.1
35,2,10,4.156825,0.000000,0.2362,4.388921,0.2602,0.016708,4,67.2
36,2,11,3.854762,4.499445,0.3092,4.231099,0.2878,0.015249,4,123.9
37,2,12,3.585992,4.258743,0.3975,4.050308,0.3453,0.013753,4,127.4
38,2,13,3.313149,4.034522,0.4778,3.716808,0.4365,0.012247,4,130.8
39,2,14,3.084524,3.859098,0.5535,3.535889,0.4832,0.010751,4,129.6
40,2,15,2.920713,3.705451,0.6058,3.285777,0.5540,0.009292,4,126.0
41,2,16,2.737111,3.554575,0.6803,3.386750,0.5312,0.007891,4,128.4
42,2,17,2.614191,3.438166,0.7181,3.112421,0.6283,0.006570,4,128.3
43,2,18,2.522049,3.350777,0.7491,2.989726,0.6391,0.005351,4,129.6
44,2,19,2.431684,3.294532,0.7852,2.902732,0.6679,0.004252,4,128.3
45,2,20,2.346526,3.232432,0.8113,2.826890,0.6751,0.003292,4,127.8
46,2,21,2.299412,3.158538,0.8290,2.797779,0.7002,0.002484,4,128.4
47,2,22,2.245203,3.136809,0.8507,2.758355,0.7158,0.001843,4,128.5
48,2,23,2.217323,3.112933,0.8648,2.712598,0.7170,0.001377,4,129.7
49,2,24,2.203673,3.086699,0.8627,2.712422,0.7266,0.001095,4,127.7
50,2,25,2.184507,3.079873,0.8717,2.721091,0.7158,0.001000,4,130.3
51,3,1,6.748639,0.000000,0.0024,7.142436,0.0012,0.024905,3,88.3
52,3,2,6.499080,0.000000,0.0051,6.348548,0.0132,0.024623,3,89.4
53,3,3,6.201997,0.000000,0.0111,6.527275,0.0108,0.024157,3,88.8
54,3,4,5.899769,0.000000,0.0183,6.009348,0.0180,0.023516,3,88.7
55,3,5,5.657091,0.000000,0.0349,6.062853,0.0288,0.022708,3,87.1
56,3,6,5.374344,0.000000,0.0496,5.763526,0.0468,0.021748,3,86.6
57,3,7,5.111084,0.000000,0.0772,5.128348,0.0983,0.020649,3,88.5
58,3,8,4.863530,0.000000,0.1079,4.932062,0.1379,0.019430,3,88.2
59,3,9,4.554107,0.000000,0.1683,4.880680,0.1499,0.018109,3,87.2
60,3,10,4.235016,0.000000,0.2269,4.744248,0.1847,0.016708,3,86.9
61,3,11,3.886054,4.524237,0.3023,4.302333,0.2638,0.015249,3,160.0
62,3,12,3.540324,4.253139,0.3930,4.018009,0.3585,0.013753,3,163.6
63,3,13,3.246002,4.011757,0.4754,3.689656,0.4365,0.012247,3,166.5
64,3,14,2.969491,3.768418,0.5676,3.333436,0.5480,0.010751,3,163.3
65,3,15,2.736228,3.594502,0.6403,3.169263,0.5899,0.009292,3,162.9
66,3,16,2.544127,3.440178,0.7215,3.026905,0.6175,0.007891,3,165.3
67,3,17,2.413582,3.307694,0.7668,2.904071,0.6499,0.006570,3,160.1
68,3,18,2.287614,3.171696,0.8074,2.777450,0.6894,0.005351,3,163.7
69,3,19,2.172885,3.077757,0.8465,2.717680,0.7026,0.004252,3,165.9
70,3,20,2.092103,2.985732,0.8729,2.612722,0.7398,0.003292,3,162.7
71,3,21,2.036849,2.943523,0.8984,2.572010,0.7554,0.002484,3,166.3
72,3,22,1.985075,2.896606,0.9138,2.554433,0.7554,0.001843,3,165.9
73,3,23,1.951310,2.886306,0.9204,2.480195,0.7722,0.001377,3,164.9
74,3,24,1.934579,2.839779,0.9255,2.495624,0.7566,0.001095,3,166.0
