global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
1,1,1,6.718073,0.000000,0.0012,6.688082,0.0048,0.024976,8,38.7
2,1,2,6.615295,0.000000,0.0063,6.587840,0.0048,0.024905,8,37.5
3,1,3,6.406604,0.000000,0.0072,6.367732,0.0048,0.024787,8,37.9
4,1,4,6.155728,0.000000,0.0117,6.765759,0.0060,0.024623,8,38.0
5,1,5,5.905328,0.000000,0.0207,8.021960,0.0024,0.024413,8,37.4
6,1,6,5.742105,0.000000,0.0204,6.135019,0.0180,0.024157,8,37.3
7,1,7,5.589428,0.000000,0.0282,6.482253,0.0072,0.023858,8,37.7
8,1,8,5.492381,0.000000,0.0394,5.708835,0.0348,0.023516,8,37.7
9,1,9,5.386559,0.000000,0.0433,6.029959,0.0204,0.023132,8,37.6
10,1,10,5.288431,0.000000,0.0481,6.891870,0.0048,0.022708,8,38.0
11,1,11,5.178797,0.000000,0.0658,5.357899,0.0887,0.022246,8,37.4
12,1,12,5.058983,0.000000,0.0832,6.758537,0.0276,0.021748,8,37.6
13,1,13,4.907146,0.000000,0.1064,5.640637,0.0647,0.021215,8,38.0
14,1,14,4.752119,0.000000,0.1361,5.516528,0.0695,0.020649,8,38.1
15,1,15,4.615186,0.000000,0.1629,5.797970,0.0516,0.020053,8,37.4
16,1,16,4.452216,5.024626,0.1803,5.709470,0.0516,0.019430,8,72.8
17,1,17,4.330373,4.938111,0.2121,5.031150,0.1379,0.018781,8,72.4
18,1,18,4.164325,4.820486,0.2623,5.117188,0.1115,0.018109,8,72.5
19,1,19,4.040002,4.693044,0.2861,4.919141,0.1631,0.017417,8,72.7
20,1,20,3.939246,4.629145,0.3152,4.660476,0.2038,0.016708,8,72.9
21,1,21,3.802699,4.531382,0.3516,4.926968,0.1499,0.015984,8,72.9
22,1,22,3.732445,4.465913,0.3663,4.587075,0.2086,0.015249,8,72.9
23,1,23,3.638827,4.365244,0.4105,4.287039,0.2974,0.014504,8,72.9
24,1,24,3.517104,4.293033,0.4387,4.274379,0.2842,0.013753,8,73.3
25,1,25,3.454818,4.229948,0.4621,4.197577,0.3070,0.013000,8,73.4
26,1,26,3.370036,4.154876,0.4964,4.698274,0.2290,0.012247,8,73.4
27,1,27,3.322357,4.110710,0.5147,4.135055,0.3369,0.011496,8,72.4
28,1,28,3.230270,4.072705,0.5406,4.091594,0.3333,0.010751,8,72.7
29,1,29,3.169612,3.995134,0.5625,3.884207,0.4185,0.010016,8,72.9
30,1,30,3.115400,3.972325,0.5934,3.765259,0.4580,0.009292,8,72.8
31,1,31,3.047073,3.924216,0.6085,3.797548,0.4496,0.008583,8,73.1
32,1,32,3.012500,3.874851,0.6184,3.841238,0.4281,0.007891,8,72.7
33,1,33,2.967132,3.864480,0.6334,3.627079,0.4844,0.007219,8,72.5
34,1,34,2.915778,3.792305,0.6629,3.634501,0.4856,0.006570,8,72.5
35,1,35,2.915749,3.772605,0.6620,3.512550,0.5300,0.005947,8,72.6
36,1,36,2.873699,3.757579,0.6731,3.542235,0.5048,0.005351,8,72.7
37,1,37,2.804802,3.724095,0.7076,3.504703,0.5264,0.004785,8,72.9
38,1,38,2.778427,3.710027,0.7094,3.392286,0.5504,0.004252,8,72.5
39,1,39,2.729024,3.673775,0.7323,3.366470,0.5540,0.003754,8,73.1
40,1,40,2.735401,3.652844,0.7308,3.358540,0.5408,0.003292,8,72.6
41,1,41,2.705294,3.664903,0.7368,3.300086,0.5743,0.002868,8,70.6
42,1,42,2.695994,3.625737,0.7536,3.323785,0.5659,0.002484,8,71.1
43,1,43,2.677761,3.613818,0.7506,3.270389,0.5899,0.002142,8,72.0
44,1,44,2.666553,3.604676,0.7557,3.317407,0.5635,0.001843,8,72.4
45,1,45,2.642289,3.603711,0.7617,3.267729,0.5815,0.001587,8,73.6
46,1,46,2.635955,3.588911,0.7668,3.263467,0.5827,0.001377,8,73.0
47,1,47,2.612760,3.580352,0.7740,3.211959,0.6019,0.001213,8,73.0
48,1,48,2.615832,3.564451,0.7764,3.213568,0.6007,0.001095,8,72.5
49,1,49,2.614336,3.558295,0.7755,3.235328,0.5911,0.001024,8,72.3
50,1,50,2.605321,3.563484,0.7846,3.213118,0.5983,0.001000,8,73.0
51,2,1,6.729690,0.000000,0.0009,6.717771,0.0012,0.024976,5,35.1
52,2,2,6.636932,0.000000,0.0048,6.796379,0.0036,0.024905,5,34.4
53,2,3,6.386015,0.000000,0.0084,6.499716,0.0048,0.024787,5,34.7
54,2,4,6.092357,0.000000,0.0153,6.418995,0.0108,0.024623,5,34.1
55,2,5,5.796225,0.000000,0.0240,6.038666,0.0216,0.024413,5,33.9
56,2,6,5.528152,0.000000,0.0412,6.645943,0.0108,0.024157,5,33.7
57,2,7,5.295767,0.000000,0.0601,5.869058,0.0288,0.023858,5,34.1
58,2,8,5.085190,0.000000,0.0817,5.524717,0.0552,0.023516,5,34.8
59,2,9,4.898685,0.000000,0.0944,5.164495,0.0959,0.023132,5,34.5
60,2,10,4.725721,0.000000,0.1247,5.252991,0.0827,0.022708,5,35.0
