global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
1,1,1,6.688053,0.000000,0.0036,6.620702,0.0036,0.024905,10,56.3
2,1,2,6.342148,0.000000,0.0081,6.216950,0.0132,0.024623,10,53.7
3,1,3,5.968827,0.000000,0.0240,5.792461,0.0408,0.024157,10,54.6
4,1,4,5.549691,0.000000,0.0418,5.460896,0.0839,0.023516,10,54.6
5,1,5,5.066883,0.000000,0.0886,5.182936,0.1043,0.022708,10,54.9
6,1,6,4.598360,0.000000,0.1505,4.762180,0.1859,0.021748,10,54.7
7,1,7,4.157507,0.000000,0.2191,4.930541,0.1523,0.020649,10,54.1
8,1,8,3.786520,0.000000,0.3035,4.676930,0.1990,0.019430,10,52.7
9,1,9,3.445805,0.000000,0.4108,3.975843,0.3489,0.018109,10,54.3
10,1,10,3.146722,0.000000,0.4913,3.942496,0.3549,0.016708,10,54.3
11,1,11,2.884186,3.666114,0.5724,3.318355,0.5324,0.015249,10,102.5
12,1,12,2.627450,3.424939,0.6779,2.976559,0.6259,0.013753,10,102.7
13,1,13,2.411020,3.261159,0.7539,2.914086,0.6403,0.012247,10,103.1
14,1,14,2.277373,3.061255,0.8089,2.789227,0.6930,0.010751,10,103.0
15,1,15,2.135003,2.971343,0.8453,2.598228,0.7374,0.009292,10,102.4
16,1,16,2.043488,2.874519,0.8828,2.505552,0.7590,0.007891,10,102.1
17,1,17,1.944374,2.792315,0.9222,2.443155,0.7782,0.006570,10,102.1
18,1,18,1.886845,2.736511,0.9414,2.415112,0.7878,0.005351,10,102.5
19,1,19,1.845888,2.670361,0.9459,2.337550,0.8118,0.004252,10,103.0
20,1,20,1.804608,2.641566,0.9561,2.354960,0.7986,0.003292,10,101.5
21,1,21,1.760698,2.609919,0.9678,2.293722,0.8070,0.002484,10,103.4
22,1,22,1.747186,2.587684,0.9681,2.270703,0.8177,0.001843,10,102.9
23,1,23,1.722761,2.561845,0.9763,2.251442,0.8213,0.001377,10,101.8
24,1,24,1.707371,2.543117,0.9772,2.243355,0.8261,0.001095,10,101.6
25,1,25,1.707750,2.540645,0.9727,2.240325,0.8213,0.001000,10,103.2
26,2,1,6.701250,0.000000,0.0036,6.633021,0.0036,0.024905,6,48.5
27,2,2,6.372392,0.000000,0.0087,6.182259,0.0192,0.024623,6,47.8
28,2,3,5.872747,0.000000,0.0276,5.959367,0.0264,0.024157,6,48.0
29,2,4,5.378565,0.000000,0.0538,5.461584,0.0707,0.023516,6,46.4
30,2,5,4.925309,0.000000,0.0983,4.981583,0.1307,0.022708,6,47.3
31,2,6,4.497648,0.000000,0.1593,5.162318,0.1031,0.021748,6,47.1
32,2,7,4.102313,0.000000,0.2473,4.535869,0.1918,0.020649,6,47.1
33,2,8,3.722084,0.000000,0.3137,4.173629,0.3082,0.019430,6,46.7
34,2,9,3.404176,0.000000,0.4117,3.724835,0.3813,0.018109,6,48.4
35,2,10,3.090464,0.000000,0.5075,3.557676,0.4221,0.016708,6,47.8
36,2,11,2.816408,3.602472,0.6064,3.159380,0.5683,0.015249,6,88.6
37,2,12,2.574144,3.365972,0.6773,2.958522,0.6343,0.013753,6,89.7
38,2,13,2.363708,3.168247,0.7656,2.896444,0.6427,0.012247,6,89.2
39,2,14,2.176791,2.978117,0.8392,2.634616,0.7134,0.010751,6,89.3
40,2,15,2.046860,2.864632,0.8762,2.575739,0.7074,0.009292,6,88.9
41,2,16,1.975322,2.769721,0.8963,2.484829,0.7662,0.007891,6,88.7
42,2,17,1.872568,2.704941,0.9291,2.411993,0.7710,0.006570,6,90.0
43,2,18,1.815398,2.645127,0.9507,2.344240,0.7866,0.005351,6,89.1
44,2,19,1.763965,2.590183,0.9678,2.301500,0.7914,0.004252,6,88.6
45,2,20,1.730939,2.556213,0.9697,2.267664,0.8141,0.003292,6,89.2
46,2,21,1.693677,2.537612,0.9775,2.242807,0.8058,0.002484,6,88.9
47,2,22,1.683582,2.496954,0.9802,2.231644,0.8165,0.001843,6,89.0
