epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,lr,drop_path,epoch_time_sec
1,13.078848,0.001190,9.795804,0.000000,-6.984672,0.00010900,0.0000,11.41
2,13.315432,0.000893,7.140280,0.004796,-3.055942,0.00020800,0.0000,10.70
3,14.344300,0.000298,6.721811,0.004796,-2.741567,0.00030700,0.0000,10.71
4,16.040805,0.000744,6.724278,0.008393,-3.647974,0.00040600,0.0000,10.66
5,17.253866,0.000893,6.961620,0.004796,-4.740176,0.00050500,0.0000,10.71
6,18.261558,0.001637,6.181553,0.021583,-4.114996,0.00060400,0.0000,10.67
7,19.290560,0.003274,6.502830,0.025180,-4.706172,0.00070300,0.0000,10.65
8,20.313246,0.008036,5.586101,0.061151,-3.891670,0.00080200,0.0000,10.65
9,21.433239,0.011310,4.833897,0.099520,-3.218169,0.00090100,0.0000,10.76
10,22.478272,0.021429,6.526726,0.046763,-5.134411,0.00100000,0.0000,10.68
11,23.584833,0.029315,5.771460,0.075540,-4.547328,0.00099997,0.0000,10.64
12,24.473716,0.058036,4.612160,0.146283,-3.408088,0.00099988,0.0000,10.66
13,25.413905,0.086012,4.419834,0.185851,-3.133433,0.00099974,0.0000,10.71
14,26.266402,0.132292,3.623709,0.242206,-2.200579,0.00099953,0.0000,10.69
15,27.209740,0.188690,2.841884,0.400480,-1.122662,0.00099927,0.0000,10.74
16,28.236529,0.247917,5.042857,0.136691,-3.993850,0.00099895,0.0000,10.91
17,29.133071,0.317708,3.150397,0.351319,-1.520037,0.00099856,0.0000,10.92
18,29.989057,0.392708,3.538678,0.334532,-1.936168,0.00099813,0.0000,10.91
19,30.738210,0.479018,1.936869,0.546763,0.463647,0.00099763,0.0000,10.92
20,31.473163,0.555208,2.363584,0.523981,0.187689,0.00099707,0.0000,10.89
21,30.533303,0.631696,4.734905,0.330935,-2.982963,0.00099646,0.0000,10.90
22,29.839662,0.675595,1.273883,0.731415,3.506801,0.00099579,0.0000,10.88
23,28.650535,0.746280,1.312074,0.729017,3.694500,0.00099505,0.0000,10.88
24,27.349426,0.807589,0.822139,0.840528,6.460220,0.00099427,0.0000,10.91
25,26.043411,0.850595,1.416302,0.763789,4.189570,0.00099342,0.0000,10.92
26,24.680184,0.881399,1.745219,0.718225,3.544002,0.00099252,0.0000,10.89
27,23.444013,0.901190,0.665021,0.884892,8.682864,0.00099155,0.0000,10.88
28,21.952414,0.931250,0.544255,0.890887,8.993320,0.00099053,0.0000,10.96
29,20.746037,0.943452,0.383529,0.929257,12.180970,0.00098946,0.0000,10.94
30,19.332591,0.952530,0.540565,0.905276,9.913528,0.00098832,0.0000,10.87
31,18.180548,0.963988,0.282171,0.955635,13.520451,0.00098713,0.0000,10.98
32,17.038043,0.974702,0.217354,0.961631,14.334067,0.00098588,0.0000,10.94
