epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,consistency_loss,view_agreement,lr,drop_path,epoch_time_sec
1,12.135991,0.001786,9.023443,0.001199,-6.027160,0.000000,1.000000,0.00010900,0.0000,17.11
2,12.428713,0.000149,6.969231,0.004796,-2.533644,0.000000,1.000000,0.00020800,0.0000,16.08
3,13.937869,0.000595,6.762691,0.008393,-2.952352,0.000000,1.000000,0.00030700,0.0000,16.32
4,15.453457,0.000149,7.102831,0.005995,-4.172314,0.000000,1.000000,0.00040600,0.0000,16.08
5,16.536641,0.000893,6.663208,0.016787,-4.160085,0.000000,1.000000,0.00050500,0.0000,15.97
6,17.588236,0.001637,5.776060,0.033573,-3.748903,0.000000,1.000000,0.00060400,0.0000,16.19
7,18.636826,0.005506,5.530224,0.049161,-3.639738,0.000000,1.000000,0.00070300,0.0000,15.74
8,19.737612,0.007292,6.671534,0.029976,-5.258633,0.000000,1.000000,0.00080200,0.0000,15.87
9,20.850974,0.016071,4.497225,0.149880,-2.883629,0.000000,1.000000,0.00090100,0.0000,15.94
10,22.009221,0.023363,5.725021,0.088729,-4.508556,0.000000,1.000000,0.00100000,0.0000,15.92
11,23.253379,0.034821,7.719694,0.028777,-6.566004,0.000000,1.000000,0.00099997,0.0000,16.18
12,24.143427,0.059077,5.680296,0.098321,-4.494212,0.000000,1.000000,0.00099988,0.0000,15.92
13,25.081782,0.094048,4.967729,0.146283,-3.793991,0.000000,1.000000,0.00099974,0.0000,16.23
14,26.029300,0.149107,3.026349,0.329736,-1.443304,0.000000,1.000000,0.00099953,0.0000,16.20
15,26.923837,0.211161,2.973659,0.384892,-1.286404,0.000000,1.000000,0.00099927,0.0000,16.29
16,27.893970,0.272619,4.013446,0.276978,-2.653482,0.000000,1.000000,0.00099895,0.0000,15.95
17,28.770178,0.348958,6.361564,0.098321,-5.366159,0.000000,1.000000,0.00099856,0.0000,16.30
18,29.650214,0.420982,3.165349,0.402878,-1.164922,0.000000,1.000000,0.00099813,0.0000,16.05
19,30.495580,0.491071,1.588840,0.642686,1.423389,0.000000,1.000000,0.00099763,0.0000,16.04
20,31.249144,0.555655,2.666311,0.453237,-0.488697,0.000000,1.000000,0.00099707,0.0000,16.19
21,30.338702,0.633036,1.334003,0.729017,3.244350,0.000000,1.000000,0.00099646,0.0000,15.89
22,29.656634,0.685268,4.965197,0.274580,-3.408091,0.000000,1.000000,0.00099579,0.0000,15.94
23,28.634080,0.742113,5.132720,0.304556,-3.518225,0.000000,1.000000,0.00099505,0.0000,16.17
24,27.348234,0.801488,1.045051,0.794964,4.792506,0.000000,1.000000,0.00099427,0.0000,15.86
25,26.183775,0.833780,1.235105,0.751799,4.658713,0.000000,1.000000,0.00099342,0.0000,15.90
26,24.801952,0.880060,0.756814,0.859712,7.231481,0.000000,1.000000,0.00099252,0.0000,15.89
27,23.341350,0.912798,0.496018,0.907674,9.823899,0.000000,1.000000,0.00099155,0.0000,15.57
